Year,Sex,Province,Units,Value
2013,,,%,5.6
2018,,,%,4.1
2023,,,%,8.8
2018,,Araba/Álava,%,3.4
2023,,Araba/Álava,%,11.1
2013,,Araba/Álava,%,6.1
2013,,Bizkaia,%,5.6
2023,,Bizkaia,%,7.6
2018,,Bizkaia,%,3.9
2018,,Gipuzkoa,%,4.7
2023,,Gipuzkoa,%,9.6
2013,,Gipuzkoa,%,5.4
2018,Female,,%,4.8
2013,Female,,%,6.5
2023,Female,,%,9.8
2023,Female,Araba/Álava,%,14.2
2013,Female,Araba/Álava,%,7.1
2018,Female,Araba/Álava,%,5.0
2013,Female,Bizkaia,%,6.6
2023,Female,Bizkaia,%,8.6
2018,Female,Bizkaia,%,4.6
2023,Female,Gipuzkoa,%,9.8
2018,Female,Gipuzkoa,%,5.1
2013,Female,Gipuzkoa,%,6.0
2013,Male,,%,4.7
2018,Male,,%,3.3
2023,Male,,%,7.6
2023,Male,Araba/Álava,%,7.9
2013,Male,Araba/Álava,%,5.1
2018,Male,Araba/Álava,%,1.6
2013,Male,Bizkaia,%,4.5
2023,Male,Bizkaia,%,6.4
2018,Male,Bizkaia,%,3.1
2013,Male,Gipuzkoa,%,4.8
2023,Male,Gipuzkoa,%,9.4
2018,Male,Gipuzkoa,%,4.2
