Year,Series,Enfermedad no transmisible,Sexo,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2023,Tasa de mortalidad,Diabetes,,,,,Por 100.000 habitantes,,21.7
2015,Tasa de mortalidad,Cáncer,,,,,Por 100.000 habitantes,,284.0
2019,Tasa de mortalidad prematura (entre 30 y 70 años),"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,,,,Porcentaje,,9.6
2023,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,,,,Por 100.000 habitantes,,612.8
2020,Tasa de mortalidad,Enfermedades cardiovasculares,,,,,Por 100.000 habitantes,,255.5
2019,Tasa de mortalidad,Enfermedades cardiovasculares,,,,,Por 100.000 habitantes,,256.3
2016,Tasa de mortalidad,Enfermedades respiratorias crónicas,,,,,Por 100.000 habitantes,,76.3
2018,Tasa de mortalidad,Cáncer,,,,,Por 100.000 habitantes,,281.7
2011,Tasa de mortalidad,Diabetes,,,,,Por 100.000 habitantes,,22.0
2012,Tasa de mortalidad,Diabetes,,,,,Por 100.000 habitantes,,21.8
2012,Tasa de mortalidad,Enfermedades respiratorias crónicas,,,,,Por 100.000 habitantes,,71.1
2010,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,,,,Por 100.000 habitantes,,616.2
2015,Tasa de mortalidad,Enfermedades respiratorias crónicas,,,,,Por 100.000 habitantes,,78.8
2013,Tasa de mortalidad,Enfermedades respiratorias crónicas,,,,,Por 100.000 habitantes,,69.2
2019,Tasa de mortalidad,Enfermedades respiratorias crónicas,,,,,Por 100.000 habitantes,,76.6
2016,Tasa de mortalidad,Enfermedades cardiovasculares,,,,,Por 100.000 habitantes,,263.8
2020,Tasa de mortalidad,Enfermedades respiratorias crónicas,,,,,Por 100.000 habitantes,,56.0
2020,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,,,,Por 100.000 habitantes,,607.8
2011,Tasa de mortalidad,Enfermedades respiratorias crónicas,,,,,Por 100.000 habitantes,,65.4
2010,Tasa de mortalidad,Diabetes,,,,,Por 100.000 habitantes,,23.9
2022,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,,,,Por 100.000 habitantes,,625.9
2019,Tasa de mortalidad,Cáncer,,,,,Por 100.000 habitantes,,277.6
2014,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,,,,Por 100.000 habitantes,,620.7
2017,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,,,,Por 100.000 habitantes,,647.2
2014,Tasa de mortalidad,Enfermedades respiratorias crónicas,,,,,Por 100.000 habitantes,,68.7
2017,Tasa de mortalidad,Enfermedades cardiovasculares,,,,,Por 100.000 habitantes,,264.6
2023,Tasa de mortalidad,Cáncer,,,,,Por 100.000 habitantes,,274.9
2022,Tasa de mortalidad,Cáncer,,,,,Por 100.000 habitantes,,282.3
