Year,Series,Sexua,Lurralde historikoa,Units,Value
2013,Lesio okupazional hilgarriak,,,100.000 langileko,3.8
2021,Lesio okupazional hilgarriak,,,100.000 langileko,3.7
2018,Lesio okupazional hilgarriak,,,100.000 langileko,4.0
2019,Lesio okupazional hilgarriak,,,100.000 langileko,3.2
2017,Lesio okupazional hilgarriak,,,100.000 langileko,3.5
2016,Lesio okupazional hilgarriak,,,100.000 langileko,4.4
2022,Lesio okupazional hilgarriak,,,100.000 langileko,3.1
2015,Lesio okupazional hilgarriak,,,100.000 langileko,3.7
2020,Lesio okupazional hilgarriak,,,100.000 langileko,2.9
2014,Lesio okupazional hilgarriak,,,100.000 langileko,3.4
2024,Lesio okupazional hilgarriak,,,100.000 langileko,2.7
2023,Lesio okupazional hilgarriak,,,100.000 langileko,3.1
2016,Lesio okupazional hilgarriak,,Araba / Álava,100.000 langileko,3.7
2022,Lesio okupazional hilgarriak,,Araba / Álava,100.000 langileko,3.5
2023,Lesio okupazional hilgarriak,,Araba / Álava,100.000 langileko,3.4
2017,Lesio okupazional hilgarriak,,Araba / Álava,100.000 langileko,2.2
2021,Lesio okupazional hilgarriak,,Araba / Álava,100.000 langileko,6.9
2013,Lesio okupazional hilgarriak,,Araba / Álava,100.000 langileko,3.8
2019,Lesio okupazional hilgarriak,,Araba / Álava,100.000 langileko,4.8
2014,Lesio okupazional hilgarriak,,Araba / Álava,100.000 langileko,3.0
2015,Lesio okupazional hilgarriak,,Araba / Álava,100.000 langileko,2.2
2018,Lesio okupazional hilgarriak,,Araba / Álava,100.000 langileko,4.2
2024,Lesio okupazional hilgarriak,,Araba / Álava,100.000 langileko,2.7
2020,Lesio okupazional hilgarriak,,Araba / Álava,100.000 langileko,3.5
2014,Lesio okupazional hilgarriak,,Bizkaia,100.000 langileko,3.3
2021,Lesio okupazional hilgarriak,,Bizkaia,100.000 langileko,2.7
2017,Lesio okupazional hilgarriak,,Bizkaia,100.000 langileko,3.6
2013,Lesio okupazional hilgarriak,,Bizkaia,100.000 langileko,4.0
2016,Lesio okupazional hilgarriak,,Bizkaia,100.000 langileko,5.8
2019,Lesio okupazional hilgarriak,,Bizkaia,100.000 langileko,2.7
2022,Lesio okupazional hilgarriak,,Bizkaia,100.000 langileko,2.0
2024,Lesio okupazional hilgarriak,,Bizkaia,100.000 langileko,1.6
2018,Lesio okupazional hilgarriak,,Bizkaia,100.000 langileko,4.6
2015,Lesio okupazional hilgarriak,,Bizkaia,100.000 langileko,3.3
2020,Lesio okupazional hilgarriak,,Bizkaia,100.000 langileko,3.4
2023,Lesio okupazional hilgarriak,,Bizkaia,100.000 langileko,2.6
2016,Lesio okupazional hilgarriak,,Gipuzkoa,100.000 langileko,2.7
2020,Lesio okupazional hilgarriak,,Gipuzkoa,100.000 langileko,1.9
2015,Lesio okupazional hilgarriak,,Gipuzkoa,100.000 langileko,5.0
2017,Lesio okupazional hilgarriak,,Gipuzkoa,100.000 langileko,3.9
2018,Lesio okupazional hilgarriak,,Gipuzkoa,100.000 langileko,2.9
2013,Lesio okupazional hilgarriak,,Gipuzkoa,100.000 langileko,3.7
2019,Lesio okupazional hilgarriak,,Gipuzkoa,100.000 langileko,3.1
2014,Lesio okupazional hilgarriak,,Gipuzkoa,100.000 langileko,3.7
2021,Lesio okupazional hilgarriak,,Gipuzkoa,100.000 langileko,3.8
2024,Lesio okupazional hilgarriak,,Gipuzkoa,100.000 langileko,4.5
2023,Lesio okupazional hilgarriak,,Gipuzkoa,100.000 langileko,3.7
2022,Lesio okupazional hilgarriak,,Gipuzkoa,100.000 langileko,4.6
2017,Lesio okupazional hilgarriak,Emakumea,,100.000 langileko,0.5
2020,Lesio okupazional hilgarriak,Emakumea,,100.000 langileko,0.2
2013,Lesio okupazional hilgarriak,Emakumea,,100.000 langileko,0.2
2019,Lesio okupazional hilgarriak,Emakumea,,100.000 langileko,0.7
2022,Lesio okupazional hilgarriak,Emakumea,,100.000 langileko,0.7
2023,Lesio okupazional hilgarriak,Emakumea,,100.000 langileko,0.9
