Year,Series,Educational level,Units,Value
2023,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Pre-primary,PT,100
2022,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Pre-primary,PT,100
2010,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Pre-primary,PT,100
2021,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Pre-primary,PT,100
2014,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Pre-primary,PT,100
2011,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Pre-primary,PT,100
2016,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Pre-primary,PT,100
2013,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Pre-primary,PT,100
2019,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Pre-primary,PT,100
2018,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Pre-primary,PT,100
2020,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Pre-primary,PT,100
2024,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Pre-primary,PT,100
2012,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Pre-primary,PT,100
2015,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Pre-primary,PT,100
2017,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Pre-primary,PT,100
2013,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Primary,PT,100
2016,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Primary,PT,100
2015,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Primary,PT,100
2010,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Primary,PT,100
2017,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Primary,PT,100
2022,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Primary,PT,100
2023,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Primary,PT,100
2012,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Primary,PT,100
2018,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Primary,PT,100
2021,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Primary,PT,100
2020,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Primary,PT,100
2024,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Primary,PT,100
2019,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Primary,PT,100
2014,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Primary,PT,100
2011,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Primary,PT,100
2016,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Lower secondary,PT,100
2018,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Lower secondary,PT,100
2021,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Lower secondary,PT,100
2022,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Lower secondary,PT,100
2019,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Lower secondary,PT,100
2024,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Lower secondary,PT,100
2020,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Lower secondary,PT,100
2015,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Lower secondary,PT,100
2013,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Lower secondary,PT,100
2010,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Lower secondary,PT,100
2012,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Lower secondary,PT,100
2014,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Lower secondary,PT,100
2017,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Lower secondary,PT,100
2023,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Lower secondary,PT,100
2011,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Lower secondary,PT,100
2010,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Upper secondary,PT,100
2020,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Upper secondary,PT,100
2012,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Upper secondary,PT,100
2011,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Upper secondary,PT,100
2014,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Upper secondary,PT,100
2013,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Upper secondary,PT,100
2015,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Upper secondary,PT,100
2018,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Upper secondary,PT,100
2016,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Upper secondary,PT,100
2024,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Upper secondary,PT,100
2017,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Upper secondary,PT,100
2019,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Upper secondary,PT,100
2022,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Upper secondary,PT,100
2021,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Upper secondary,PT,100
2023,"Proportion of teachers with the minimum required qualifications, broken down by educational level",Upper secondary,PT,100
