Year,Series,Income group,Province,Units,Value
2020,Growth rate of household expenditure per capita,,,PT,-1.1
2012,Growth rate of household expenditure per capita,,,PT,0.5
2020,Growth rate of household income per capita,,,PT,4.5
2017,Growth rate of household expenditure per capita,,,PT,0.8
2014,Growth rate of household income per capita,,,PT,-0.9
2015,Growth rate of household expenditure per capita,,,PT,0.6
2019,Growth rate of household expenditure per capita,,,PT,1.7
2016,Growth rate of household expenditure per capita,,,PT,0.5
2012,Growth rate of household income per capita,,,PT,-1.0
2008,Growth rate of household income per capita,,,PT,4.2
2018,Growth rate of household expenditure per capita,,,PT,1.2
2011,Growth rate of household expenditure per capita,,,PT,1.7
2014,Growth rate of household expenditure per capita,,,PT,0.1
2022,Growth rate of household expenditure per capita,,,PT,1.3
2021,Growth rate of household expenditure per capita,,,PT,-0.3
2022,Growth rate of household income per capita,,,PT,3.2
2018,Growth rate of household income per capita,,,PT,1.6
2013,Growth rate of household expenditure per capita,,,PT,0.0
2016,Growth rate of household income per capita,,,PT,1.0
2021,Growth rate of household expenditure per capita,,Araba/Álava,PT,0.9
2018,Growth rate of household expenditure per capita,,Araba/Álava,PT,0.9
2017,Growth rate of household expenditure per capita,,Araba/Álava,PT,-0.1
2022,Growth rate of household expenditure per capita,,Araba/Álava,PT,2.5
2013,Growth rate of household expenditure per capita,,Araba/Álava,PT,-1.3
2015,Growth rate of household expenditure per capita,,Araba/Álava,PT,1.1
2011,Growth rate of household expenditure per capita,,Araba/Álava,PT,0.3
2014,Growth rate of household expenditure per capita,,Araba/Álava,PT,-2.4
2019,Growth rate of household expenditure per capita,,Araba/Álava,PT,1.0
2012,Growth rate of household expenditure per capita,,Araba/Álava,PT,0.2
2020,Growth rate of household expenditure per capita,,Araba/Álava,PT,-1.9
2016,Growth rate of household expenditure per capita,,Araba/Álava,PT,1.0
2022,Growth rate of household expenditure per capita,,Bizkaia,PT,1.0
2016,Growth rate of household expenditure per capita,,Bizkaia,PT,0.1
2020,Growth rate of household expenditure per capita,,Bizkaia,PT,-1.5
2021,Growth rate of household expenditure per capita,,Bizkaia,PT,-0.5
2011,Growth rate of household expenditure per capita,,Bizkaia,PT,1.9
2017,Growth rate of household expenditure per capita,,Bizkaia,PT,0.3
2014,Growth rate of household expenditure per capita,,Bizkaia,PT,1.0
2012,Growth rate of household expenditure per capita,,Bizkaia,PT,0.5
2015,Growth rate of household expenditure per capita,,Bizkaia,PT,0.3
2018,Growth rate of household expenditure per capita,,Bizkaia,PT,1.0
2013,Growth rate of household expenditure per capita,,Bizkaia,PT,-0.2
2019,Growth rate of household expenditure per capita,,Bizkaia,PT,1.5
2019,Growth rate of household expenditure per capita,,Gipuzkoa,PT,2.5
2016,Growth rate of household expenditure per capita,,Gipuzkoa,PT,1.2
2015,Growth rate of household expenditure per capita,,Gipuzkoa,PT,1.0
2022,Growth rate of household expenditure per capita,,Gipuzkoa,PT,1.2
