Year,Institution,Province,Units,Value
2011,Elected in Provincial Assemblies,Gipuzkoa,%,49.0
2013,Elected in Provincial Assemblies,Gipuzkoa,%,49.0
2017,Elected in Provincial Assemblies,Gipuzkoa,%,50.0
2019,Elected in Provincial Assemblies,Gipuzkoa,%,54.9
2022,Elected in Provincial Assemblies,Gipuzkoa,%,54.9
2018,Elected in Provincial Assemblies,Gipuzkoa,%,50.0
2020,Elected in Provincial Assemblies,Gipuzkoa,%,54.9
2021,Elected in Provincial Assemblies,Gipuzkoa,%,54.9
2016,Elected in Provincial Assemblies,Gipuzkoa,%,50.0
2015,Elected in Provincial Assemblies,Gipuzkoa,%,50.0
2014,Elected in Provincial Assemblies,Gipuzkoa,%,49.0
2012,Elected in Provincial Assemblies,Gipuzkoa,%,49.0
2013,Mayors,,%,22.3
2022,Mayors,,%,30.3
2014,Mayors,,%,23.1
2017,Mayors,,%,25.2
2011,Mayors,,%,22.0
2023,Mayors,,%,33.1
2012,Mayors,,%,22.0
2024,Mayors,,%,34.3
2019,Mayors,,%,29.2
2015,Mayors,,%,25.2
2010,Mayors,,%,19.9
2021,Mayors,,%,30.3
2018,Mayors,,%,25.2
2016,Mayors,,%,25.2
2020,Mayors,,%,29.2
2020,Council Members,,%,47.8
2024,Council Members,,%,46.5
2022,Council Members,,%,47.5
2016,Council Members,,%,41.4
2017,Council Members,,%,41.4
2010,Council Members,,%,27.8
2015,Council Members,,%,41.4
2011,Council Members,,%,40.4
2012,Council Members,,%,40.4
2021,Council Members,,%,47.5
2018,Council Members,,%,41.4
2013,Council Members,,%,40.5
2023,Council Members,,%,48.3
2019,Council Members,,%,47.8
2014,Council Members,,%,40.3
