Year,Sex,Province,Units,Value
2023,,,%,69.7
2017,,,%,76.0
2020,,,%,71.8
2019,,,%,69.5
2014,,,%,76.4
2018,,,%,64.0
2022,,,%,69.2
2020,,Araba/Álava,%,73.7
2018,,Araba/Álava,%,64.3
2019,,Araba/Álava,%,69.6
2017,,Araba/Álava,%,75.2
2023,,Araba/Álava,%,72.5
2014,,Araba/Álava,%,76.3
2022,,Araba/Álava,%,68.1
2023,,Bizkaia,%,68.0
2017,,Bizkaia,%,73.9
2020,,Bizkaia,%,69.8
2019,,Bizkaia,%,67.9
2014,,Bizkaia,%,75.3
2022,,Bizkaia,%,66.5
2018,,Bizkaia,%,61.8
2019,,Gipuzkoa,%,72.0
2022,,Gipuzkoa,%,74.0
2023,,Gipuzkoa,%,71.2
2018,,Gipuzkoa,%,67.4
2020,,Gipuzkoa,%,74.3
2017,,Gipuzkoa,%,79.8
2014,,Gipuzkoa,%,78.3
2023,Female,,%,57.0
2019,Female,,%,55.4
2014,Female,,%,65.6
2018,Female,,%,50.6
2022,Female,,%,55.4
2017,Female,,%,63.8
2020,Female,,%,60.2
2020,Female,Araba/Álava,%,62.0
2014,Female,Araba/Álava,%,66.1
2022,Female,Araba/Álava,%,54.6
2019,Female,Araba/Álava,%,56.8
2017,Female,Araba/Álava,%,62.5
2018,Female,Araba/Álava,%,53.7
2023,Female,Araba/Álava,%,58.6
2019,Female,Bizkaia,%,53.6
2023,Female,Bizkaia,%,56.1
2022,Female,Bizkaia,%,53.0
2017,Female,Bizkaia,%,60.6
2018,Female,Bizkaia,%,48.4
2020,Female,Bizkaia,%,58.0
2014,Female,Bizkaia,%,65.1
2023,Female,Gipuzkoa,%,57.7
2022,Female,Gipuzkoa,%,59.9
2020,Female,Gipuzkoa,%,62.9
2019,Female,Gipuzkoa,%,57.6
2018,Female,Gipuzkoa,%,52.7
2017,Female,Gipuzkoa,%,69.5
2014,Female,Gipuzkoa,%,66.3
2023,Male,,%,83.6
2014,Male,,%,87.9
2022,Male,,%,84.1
2019,Male,,%,84.7
2018,Male,,%,78.5
2020,Male,,%,84.5
2017,Male,,%,89.2
2023,Male,Araba/Álava,%,87.2
2018,Male,Araba/Álava,%,75.5
2017,Male,Araba/Álava,%,88.5
2022,Male,Araba/Álava,%,82.2
2020,Male,Araba/Álava,%,86.0
2019,Male,Araba/Álava,%,83.2
2014,Male,Araba/Álava,%,86.8
2023,Male,Bizkaia,%,81.2
2022,Male,Bizkaia,%,81.6
2020,Male,Bizkaia,%,82.7
2019,Male,Bizkaia,%,83.5
2018,Male,Bizkaia,%,76.5
2017,Male,Bizkaia,%,88.6
2014,Male,Bizkaia,%,86.4
2020,Male,Gipuzkoa,%,86.5
2019,Male,Gipuzkoa,%,87.3
2018,Male,Gipuzkoa,%,83.0
2017,Male,Gipuzkoa,%,90.7
2014,Male,Gipuzkoa,%,90.9
2023,Male,Gipuzkoa,%,85.6
2022,Male,Gipuzkoa,%,88.7
