Year,Expenditure,Units,Value
2017,Over 25%,%,1.4
2018,Over 25%,%,1.4
2019,Over 25%,%,1.7
2012,Over 25%,%,1.3
2020,Over 25%,%,0.9
2014,Over 25%,%,1.2
2016,Over 25%,%,1.2
2022,Over 25%,%,1.7
2015,Over 25%,%,1.6
2021,Over 25%,%,1.3
2010,Over 25%,%,1.2
2013,Over 25%,%,1.3
2011,Over 25%,%,1.6
2023,Over 25%,%,1.4
2020,Over 10%,%,7.6
2017,Over 10%,%,6.6
2011,Over 10%,%,5.5
2010,Over 10%,%,5.1
2015,Over 10%,%,6.8
2022,Over 10%,%,7.6
2016,Over 10%,%,7.0
2018,Over 10%,%,7.0
2013,Over 10%,%,6.1
2012,Over 10%,%,5.4
2021,Over 10%,%,7.2
2019,Over 10%,%,8.2
2023,Over 10%,%,8.3
2014,Over 10%,%,5.5
