Year,Series,Province,County,Municipality,Units,GeoCode,Value
2010,Proportion of municipalities with a municipal emergency plan,,,,%,,33.73
2023,Proportion of municipalities with a municipal emergency plan,,,,%,,34.52
2018,Proportion of municipalities with a municipal emergency plan,,,,%,,34.13
2021,Proportion of municipalities with a municipal emergency plan,,,,%,,34.52
2014,Proportion of municipalities with a municipal emergency plan,,,,%,,34.13
2013,Proportion of municipalities with a municipal emergency plan,,,,%,,33.73
2016,Proportion of municipalities with a municipal emergency plan,,,,%,,34.13
2020,Proportion of municipalities with a municipal emergency plan,,,,%,,34.13
2011,Proportion of municipalities with a municipal emergency plan,,,,%,,33.73
2017,Proportion of municipalities with a municipal emergency plan,,,,%,,34.13
2024,Proportion of municipalities with a municipal emergency plan,,,,%,,35.32
2022,Proportion of municipalities with a municipal emergency plan,,,,%,,34.52
2015,Proportion of municipalities with a municipal emergency plan,,,,%,,34.13
2019,Proportion of municipalities with a municipal emergency plan,,,,%,,34.13
2012,Proportion of municipalities with a municipal emergency plan,,,,%,,33.73
2017,Proportion of municipalities with a municipal emergency plan,,,Abadiño,%,Abadiño,100.0
2021,Proportion of municipalities with a municipal emergency plan,,,Abadiño,%,Abadiño,100.0
2020,Proportion of municipalities with a municipal emergency plan,,,Abadiño,%,Abadiño,100.0
2019,Proportion of municipalities with a municipal emergency plan,,,Abadiño,%,Abadiño,100.0
2011,Proportion of municipalities with a municipal emergency plan,,,Abadiño,%,Abadiño,100.0
2018,Proportion of municipalities with a municipal emergency plan,,,Abadiño,%,Abadiño,100.0
2023,Proportion of municipalities with a municipal emergency plan,,,Abadiño,%,Abadiño,100.0
2022,Proportion of municipalities with a municipal emergency plan,,,Abadiño,%,Abadiño,100.0
2016,Proportion of municipalities with a municipal emergency plan,,,Abadiño,%,Abadiño,100.0
2024,Proportion of municipalities with a municipal emergency plan,,,Abadiño,%,Abadiño,100.0
2015,Proportion of municipalities with a municipal emergency plan,,,Abadiño,%,Abadiño,100.0
2010,Proportion of municipalities with a municipal emergency plan,,,Abadiño,%,Abadiño,100.0
2013,Proportion of municipalities with a municipal emergency plan,,,Abadiño,%,Abadiño,100.0
2014,Proportion of municipalities with a municipal emergency plan,,,Abadiño,%,Abadiño,100.0
2012,Proportion of municipalities with a municipal emergency plan,,,Abadiño,%,Abadiño,100.0
2017,Proportion of municipalities with a municipal emergency plan,,,Abaltzisketa,%,Abaltzisketa,0.0
2013,Proportion of municipalities with a municipal emergency plan,,,Abaltzisketa,%,Abaltzisketa,0.0
