Year,Series,Educational level,Units,Value
2016,Completion rate (lower secondary and upper secondary education),Lower secondary,PT,95.5
2022,Completion rate (lower secondary and upper secondary education),Lower secondary,PT,94.9
2020,Completion rate (lower secondary and upper secondary education),Lower secondary,PT,99.4
2015,Completion rate (lower secondary and upper secondary education),Lower secondary,PT,94.7
2021,Completion rate (lower secondary and upper secondary education),Lower secondary,PT,98.1
2019,Completion rate (lower secondary and upper secondary education),Lower secondary,PT,97.0
2018,Completion rate (lower secondary and upper secondary education),Lower secondary,PT,95.2
2017,Completion rate (lower secondary and upper secondary education),Lower secondary,PT,96.0
2016,Completion rate (lower secondary and upper secondary education),Upper secondary,PT,79.1
2018,Completion rate (lower secondary and upper secondary education),Upper secondary,PT,80.9
2019,Completion rate (lower secondary and upper secondary education),Upper secondary,PT,82.7
2020,Completion rate (lower secondary and upper secondary education),Upper secondary,PT,81.5
2021,Completion rate (lower secondary and upper secondary education),Upper secondary,PT,82.9
2015,Completion rate (lower secondary and upper secondary education),Upper secondary,PT,79.4
2017,Completion rate (lower secondary and upper secondary education),Upper secondary,PT,77.9
2022,Completion rate (lower secondary and upper secondary education),Upper secondary,PT,84.7
