Year,Series,Province,Units,Value
2017,Year-on-year rate of change in GDP,,%,2.7
2012,Year-on-year rate of change in GDP,,%,-2.1
2010,Year-on-year rate of change in GDP,,%,0.6
2013,Year-on-year rate of change in GDP,,%,-1.8
2024,Year-on-year rate of change in GDP,,%,2.5
2011,Year-on-year rate of change in GDP,,%,0.2
2018,Year-on-year rate of change in GDP,,%,3.1
2021,Year-on-year rate of change in GDP,,%,6.1
2020,Year-on-year rate of change in GDP,,%,-9.5
2019,Year-on-year rate of change in GDP,,%,2.3
2014,Year-on-year rate of change in GDP,,%,1.6
2015,Year-on-year rate of change in GDP,,%,2.9
2016,Year-on-year rate of change in GDP,,%,3.4
2023,Year-on-year rate of change in GDP,,%,3.0
2022,Year-on-year rate of change in GDP,,%,5.7
2014,Year-on-year rate of change in GDP,Araba/Álava,%,2.0
2020,Year-on-year rate of change in GDP,Araba/Álava,%,-10.4
2023,Year-on-year rate of change in GDP,Araba/Álava,%,3.5
2016,Year-on-year rate of change in GDP,Araba/Álava,%,3.1
2012,Year-on-year rate of change in GDP,Araba/Álava,%,-2.5
2021,Year-on-year rate of change in GDP,Araba/Álava,%,7.4
2010,Year-on-year rate of change in GDP,Araba/Álava,%,1.1
2015,Year-on-year rate of change in GDP,Araba/Álava,%,2.8
2022,Year-on-year rate of change in GDP,Araba/Álava,%,4.3
2024,Year-on-year rate of change in GDP,Araba/Álava,%,2.2
2018,Year-on-year rate of change in GDP,Araba/Álava,%,2.2
2011,Year-on-year rate of change in GDP,Araba/Álava,%,0.7
2019,Year-on-year rate of change in GDP,Araba/Álava,%,2.0
2013,Year-on-year rate of change in GDP,Araba/Álava,%,-1.8
2017,Year-on-year rate of change in GDP,Araba/Álava,%,2.1
2021,Year-on-year rate of change in GDP,Bizkaia,%,5.9
2016,Year-on-year rate of change in GDP,Bizkaia,%,3.5
2014,Year-on-year rate of change in GDP,Bizkaia,%,1.4
2020,Year-on-year rate of change in GDP,Bizkaia,%,-8.8
2023,Year-on-year rate of change in GDP,Bizkaia,%,2.8
2019,Year-on-year rate of change in GDP,Bizkaia,%,2.2
2018,Year-on-year rate of change in GDP,Bizkaia,%,2.9
2022,Year-on-year rate of change in GDP,Bizkaia,%,6.9
2024,Year-on-year rate of change in GDP,Bizkaia,%,2.8
2010,Year-on-year rate of change in GDP,Bizkaia,%,0.4
2013,Year-on-year rate of change in GDP,Bizkaia,%,-1.7
