Year,Access technology,Province,Units,Value
2018,,,Per 100 people,35.4
2013,,,Per 100 people,29.0
2022,,,Per 100 people,39.3
2010,,,Per 100 people,24.6
2021,,,Per 100 people,38.8
2014,,,Per 100 people,30.6
2012,,,Per 100 people,26.9
2016,,,Per 100 people,33.4
2020,,,Per 100 people,37.3
2017,,,Per 100 people,33.9
2015,,,Per 100 people,32.0
2019,,,Per 100 people,36.5
2011,,,Per 100 people,26.0
2019,,Araba/Álava,Per 100 people,35.9
2010,,Araba/Álava,Per 100 people,24.9
2015,,Araba/Álava,Per 100 people,31.9
2011,,Araba/Álava,Per 100 people,26.1
2017,,Araba/Álava,Per 100 people,34.7
2021,,Araba/Álava,Per 100 people,39.1
2014,,Araba/Álava,Per 100 people,30.6
2018,,Araba/Álava,Per 100 people,35.9
2016,,Araba/Álava,Per 100 people,34.3
2012,,Araba/Álava,Per 100 people,26.6
2020,,Araba/Álava,Per 100 people,36.2
2022,,Araba/Álava,Per 100 people,39.1
2013,,Araba/Álava,Per 100 people,29.0
2015,,Bizkaia,Per 100 people,31.6
2020,,Bizkaia,Per 100 people,37.4
2018,,Bizkaia,Per 100 people,35.0
2012,,Bizkaia,Per 100 people,26.5
2011,,Bizkaia,Per 100 people,25.7
2019,,Bizkaia,Per 100 people,36.5
2017,,Bizkaia,Per 100 people,32.8
2016,,Bizkaia,Per 100 people,32.8
2014,,Bizkaia,Per 100 people,30.1
2010,,Bizkaia,Per 100 people,24.2
2021,,Bizkaia,Per 100 people,38.5
2022,,Bizkaia,Per 100 people,39.0
2013,,Bizkaia,Per 100 people,28.7
2022,,Gipuzkoa,Per 100 people,39.9
2014,,Gipuzkoa,Per 100 people,31.4
2018,,Gipuzkoa,Per 100 people,35.6
2012,,Gipuzkoa,Per 100 people,27.6
2021,,Gipuzkoa,Per 100 people,39.2
2019,,Gipuzkoa,Per 100 people,36.7
2015,,Gipuzkoa,Per 100 people,32.7
2017,,Gipuzkoa,Per 100 people,35.2
2013,,Gipuzkoa,Per 100 people,29.5
2020,,Gipuzkoa,Per 100 people,37.5
2010,,Gipuzkoa,Per 100 people,25.2
2016,,Gipuzkoa,Per 100 people,33.9
2011,,Gipuzkoa,Per 100 people,26.4
2018,DSL,,Per 100 people,5.8
2020,DSL,,Per 100 people,2.5
2014,DSL,,Per 100 people,16.6
2013,DSL,,Per 100 people,16.6
2017,DSL,,Per 100 people,8.3
2015,DSL,,Per 100 people,15.4
2012,DSL,,Per 100 people,15.3
2022,DSL,,Per 100 people,1.3
2021,DSL,,Per 100 people,1.9
2011,DSL,,Per 100 people,14.5
2016,DSL,,Per 100 people,11.3
2010,DSL,,Per 100 people,14.1
2019,DSL,,Per 100 people,3.8
2012,DSL,Araba/Álava,Per 100 people,17.5
2020,DSL,Araba/Álava,Per 100 people,2.3
2019,DSL,Araba/Álava,Per 100 people,4.6
2016,DSL,Araba/Álava,Per 100 people,13.2
2011,DSL,Araba/Álava,Per 100 people,17.2
2010,DSL,Araba/Álava,Per 100 people,17.4
2021,DSL,Araba/Álava,Per 100 people,1.5
2013,DSL,Araba/Álava,Per 100 people,18.9
2014,DSL,Araba/Álava,Per 100 people,18.8
2017,DSL,Araba/Álava,Per 100 people,9.6
2015,DSL,Araba/Álava,Per 100 people,17.2
2022,DSL,Araba/Álava,Per 100 people,1.0
