Year,Series,Province,County,Municipality,Units,GeoCode,Value
2010,Proportion of municipalities covered by a territorial land use plan (PTP),,,,%,,59.13
2023,Proportion of municipalities covered by a territorial land use plan (PTP),,,,%,,100.0
2018,Proportion of municipalities covered by a territorial land use plan (PTP),,,,%,,88.89
2021,Proportion of municipalities covered by a territorial land use plan (PTP),,,,%,,100.0
2014,Proportion of municipalities covered by a territorial land use plan (PTP),,,,%,,67.46
2013,Proportion of municipalities covered by a territorial land use plan (PTP),,,,%,,67.46
2016,Proportion of municipalities covered by a territorial land use plan (PTP),,,,%,,67.46
2020,Proportion of municipalities covered by a territorial land use plan (PTP),,,,%,,88.89
2011,Proportion of municipalities covered by a territorial land use plan (PTP),,,,%,,59.13
2017,Proportion of municipalities covered by a territorial land use plan (PTP),,,,%,,88.89
2024,Proportion of municipalities covered by a territorial land use plan (PTP),,,,%,,100.0
2022,Proportion of municipalities covered by a territorial land use plan (PTP),,,,%,,100.0
2015,Proportion of municipalities covered by a territorial land use plan (PTP),,,,%,,67.46
2019,Proportion of municipalities covered by a territorial land use plan (PTP),,,,%,,88.89
2012,Proportion of municipalities covered by a territorial land use plan (PTP),,,,%,,67.46
2017,Proportion of municipalities covered by a territorial land use plan (PTP),,,Abadiño,%,Abadiño,100.0
2021,Proportion of municipalities covered by a territorial land use plan (PTP),,,Abadiño,%,Abadiño,100.0
2020,Proportion of municipalities covered by a territorial land use plan (PTP),,,Abadiño,%,Abadiño,100.0
2019,Proportion of municipalities covered by a territorial land use plan (PTP),,,Abadiño,%,Abadiño,100.0
2011,Proportion of municipalities covered by a territorial land use plan (PTP),,,Abadiño,%,Abadiño,0.0
2018,Proportion of municipalities covered by a territorial land use plan (PTP),,,Abadiño,%,Abadiño,100.0
2023,Proportion of municipalities covered by a territorial land use plan (PTP),,,Abadiño,%,Abadiño,100.0
2022,Proportion of municipalities covered by a territorial land use plan (PTP),,,Abadiño,%,Abadiño,100.0
2016,Proportion of municipalities covered by a territorial land use plan (PTP),,,Abadiño,%,Abadiño,100.0
2024,Proportion of municipalities covered by a territorial land use plan (PTP),,,Abadiño,%,Abadiño,100.0
2015,Proportion of municipalities covered by a territorial land use plan (PTP),,,Abadiño,%,Abadiño,100.0
2010,Proportion of municipalities covered by a territorial land use plan (PTP),,,Abadiño,%,Abadiño,0.0
2013,Proportion of municipalities covered by a territorial land use plan (PTP),,,Abadiño,%,Abadiño,100.0
2014,Proportion of municipalities covered by a territorial land use plan (PTP),,,Abadiño,%,Abadiño,100.0
2012,Proportion of municipalities covered by a territorial land use plan (PTP),,,Abadiño,%,Abadiño,100.0
2017,Proportion of municipalities covered by a territorial land use plan (PTP),,,Abaltzisketa,%,Abaltzisketa,0.0
2013,Proportion of municipalities covered by a territorial land use plan (PTP),,,Abaltzisketa,%,Abaltzisketa,0.0
2019,Proportion of municipalities covered by a territorial land use plan (PTP),,,Abaltzisketa,%,Abaltzisketa,0.0
2016,Proportion of municipalities covered by a territorial land use plan (PTP),,,Abaltzisketa,%,Abaltzisketa,0.0
2024,Proportion of municipalities covered by a territorial land use plan (PTP),,,Abaltzisketa,%,Abaltzisketa,100.0
2018,Proportion of municipalities covered by a territorial land use plan (PTP),,,Abaltzisketa,%,Abaltzisketa,0.0
2015,Proportion of municipalities covered by a territorial land use plan (PTP),,,Abaltzisketa,%,Abaltzisketa,0.0
2020,Proportion of municipalities covered by a territorial land use plan (PTP),,,Abaltzisketa,%,Abaltzisketa,0.0
2023,Proportion of municipalities covered by a territorial land use plan (PTP),,,Abaltzisketa,%,Abaltzisketa,100.0
2012,Proportion of municipalities covered by a territorial land use plan (PTP),,,Abaltzisketa,%,Abaltzisketa,0.0
2010,Proportion of municipalities covered by a territorial land use plan (PTP),,,Abaltzisketa,%,Abaltzisketa,0.0
2011,Proportion of municipalities covered by a territorial land use plan (PTP),,,Abaltzisketa,%,Abaltzisketa,0.0
2022,Proportion of municipalities covered by a territorial land use plan (PTP),,,Abaltzisketa,%,Abaltzisketa,100.0
2021,Proportion of municipalities covered by a territorial land use plan (PTP),,,Abaltzisketa,%,Abaltzisketa,100.0
2014,Proportion of municipalities covered by a territorial land use plan (PTP),,,Abaltzisketa,%,Abaltzisketa,0.0
2015,Proportion of municipalities covered by a territorial land use plan (PTP),,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,100.0
2011,Proportion of municipalities covered by a territorial land use plan (PTP),,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,100.0
