Year,Series,Sex,Province,Units,Value
2013,Fatal occupational injuries,,,"Per 100,000 employees",0.7
2021,Fatal occupational injuries,,,"Per 100,000 employees",0.4
2018,Fatal occupational injuries,,,"Per 100,000 employees",0.3
2019,Fatal occupational injuries,,,"Per 100,000 employees",0.4
2017,Fatal occupational injuries,,,"Per 100,000 employees",0.8
2016,Fatal occupational injuries,,,"Per 100,000 employees",0.7
2022,Fatal occupational injuries,,,"Per 100,000 employees",0.5
2015,Fatal occupational injuries,,,"Per 100,000 employees",0.6
2020,Fatal occupational injuries,,,"Per 100,000 employees",0.6
2014,Fatal occupational injuries,,,"Per 100,000 employees",0.2
2024,Fatal occupational injuries,,,"Per 100,000 employees",0.5
2023,Fatal occupational injuries,,,"Per 100,000 employees",0.4
2016,Fatal occupational injuries,,Araba/Álava,"Per 100,000 employees",0.7
2022,Fatal occupational injuries,,Araba/Álava,"Per 100,000 employees",0.7
2023,Fatal occupational injuries,,Araba/Álava,"Per 100,000 employees",0.0
2017,Fatal occupational injuries,,Araba/Álava,"Per 100,000 employees",1.4
2021,Fatal occupational injuries,,Araba/Álava,"Per 100,000 employees",0.7
2013,Fatal occupational injuries,,Araba/Álava,"Per 100,000 employees",0.8
2019,Fatal occupational injuries,,Araba/Álava,"Per 100,000 employees",0.7
2014,Fatal occupational injuries,,Araba/Álava,"Per 100,000 employees",0.0
2015,Fatal occupational injuries,,Araba/Álava,"Per 100,000 employees",0.0
2018,Fatal occupational injuries,,Araba/Álava,"Per 100,000 employees",0.7
2024,Fatal occupational injuries,,Araba/Álava,"Per 100,000 employees",0.7
2020,Fatal occupational injuries,,Araba/Álava,"Per 100,000 employees",0.7
2014,Fatal occupational injuries,,Bizkaia,"Per 100,000 employees",0.2
2021,Fatal occupational injuries,,Bizkaia,"Per 100,000 employees",0.4
2017,Fatal occupational injuries,,Bizkaia,"Per 100,000 employees",0.4
2013,Fatal occupational injuries,,Bizkaia,"Per 100,000 employees",0.7
2016,Fatal occupational injuries,,Bizkaia,"Per 100,000 employees",0.9
2019,Fatal occupational injuries,,Bizkaia,"Per 100,000 employees",0.2
2022,Fatal occupational injuries,,Bizkaia,"Per 100,000 employees",0.6
2024,Fatal occupational injuries,,Bizkaia,"Per 100,000 employees",0.4
2018,Fatal occupational injuries,,Bizkaia,"Per 100,000 employees",0.2
2015,Fatal occupational injuries,,Bizkaia,"Per 100,000 employees",0.2
2020,Fatal occupational injuries,,Bizkaia,"Per 100,000 employees",0.4
2023,Fatal occupational injuries,,Bizkaia,"Per 100,000 employees",0.4
2016,Fatal occupational injuries,,Gipuzkoa,"Per 100,000 employees",0.3
2020,Fatal occupational injuries,,Gipuzkoa,"Per 100,000 employees",1.0
2015,Fatal occupational injuries,,Gipuzkoa,"Per 100,000 employees",1.3
2017,Fatal occupational injuries,,Gipuzkoa,"Per 100,000 employees",1.0
2018,Fatal occupational injuries,,Gipuzkoa,"Per 100,000 employees",0.3
