Year,Series,Units,Value
2016,Domestic material consumption in absolute terms,Kilotons,21507.9
2017,Domestic material consumption in absolute terms,Kilotons,26656.6
2020,Domestic material consumption in absolute terms,Kilotons,22965.0
2013,Domestic material consumption in absolute terms,Kilotons,18163.8
2018,Domestic material consumption in absolute terms,Kilotons,28476.5
2015,Domestic material consumption in absolute terms,Kilotons,23794.7
2022,Domestic material consumption in absolute terms,Kilotons,22897.1
2011,Domestic material consumption in absolute terms,Kilotons,23308.8
2012,Domestic material consumption in absolute terms,Kilotons,21098.6
2019,Domestic material consumption in absolute terms,Kilotons,27538.3
2010,Domestic material consumption in absolute terms,Kilotons,30845.5
2014,Domestic material consumption in absolute terms,Kilotons,19620.0
2021,Domestic material consumption in absolute terms,Kilotons,26738.0
2020,Domestic material consumption per capita,Tons per capita,10.5
2013,Domestic material consumption per capita,Tons per capita,8.3
2016,Domestic material consumption per capita,Tons per capita,9.9
2015,Domestic material consumption per capita,Tons per capita,11.0
2022,Domestic material consumption per capita,Tons per capita,10.5
2012,Domestic material consumption per capita,Tons per capita,9.7
2011,Domestic material consumption per capita,Tons per capita,10.7
2014,Domestic material consumption per capita,Tons per capita,9.0
2021,Domestic material consumption per capita,Tons per capita,12.2
2018,Domestic material consumption per capita,Tons per capita,13.0
2010,Domestic material consumption per capita,Tons per capita,14.2
2019,Domestic material consumption per capita,Tons per capita,12.6
2017,Domestic material consumption per capita,Tons per capita,12.2
2010,Domestic material consumption per GDP,Kg per euro of GDP,407.5
2011,Domestic material consumption per GDP,Kg per euro of GDP,307.2
2012,Domestic material consumption per GDP,Kg per euro of GDP,283.9
2015,Domestic material consumption per GDP,Kg per euro of GDP,311.8
2013,Domestic material consumption per GDP,Kg per euro of GDP,249.1
2014,Domestic material consumption per GDP,Kg per euro of GDP,264.6
2016,Domestic material consumption per GDP,Kg per euro of GDP,272.9
2017,Domestic material consumption per GDP,Kg per euro of GDP,329.1
2018,Domestic material consumption per GDP,Kg per euro of GDP,341.0
2019,Domestic material consumption per GDP,Kg per euro of GDP,322.4
2020,Domestic material consumption per GDP,Kg per euro of GDP,296.9
2021,Domestic material consumption per GDP,Kg per euro of GDP,325.9
2022,Domestic material consumption per GDP,Kg per euro of GDP,264.1
