Year,Series,Province,Units,Value
2015,Proportion of households covered by 3.5G mobile networks,,%,99.89
2014,Proportion of households covered by 3.5G mobile networks,,%,99.4
2012,Proportion of households covered by 3.5G mobile networks,,%,96.6
2019,Proportion of households covered by 3.5G mobile networks,,%,99.97
2020,Proportion of households covered by 3.5G mobile networks,,%,99.99
2016,Proportion of households covered by 3.5G mobile networks,,%,99.85
2017,Proportion of households covered by 3.5G mobile networks,,%,99.96
2018,Proportion of households covered by 3.5G mobile networks,,%,99.97
2013,Proportion of households covered by 3.5G mobile networks,,%,99.5
2016,Proportion of households covered by 3.5G mobile networks,Araba/Álava,%,99.83
2019,Proportion of households covered by 3.5G mobile networks,Araba/Álava,%,99.93
2018,Proportion of households covered by 3.5G mobile networks,Araba/Álava,%,99.93
2015,Proportion of households covered by 3.5G mobile networks,Araba/Álava,%,99.81
2017,Proportion of households covered by 3.5G mobile networks,Araba/Álava,%,99.94
2020,Proportion of households covered by 3.5G mobile networks,Araba/Álava,%,100.0
2014,Proportion of households covered by 3.5G mobile networks,Araba/Álava,%,98.7
2019,Proportion of households covered by 3.5G mobile networks,Bizkaia,%,100.0
2020,Proportion of households covered by 3.5G mobile networks,Bizkaia,%,99.99
2014,Proportion of households covered by 3.5G mobile networks,Bizkaia,%,99.8
2016,Proportion of households covered by 3.5G mobile networks,Bizkaia,%,99.94
2015,Proportion of households covered by 3.5G mobile networks,Bizkaia,%,99.98
2017,Proportion of households covered by 3.5G mobile networks,Bizkaia,%,100.0
2018,Proportion of households covered by 3.5G mobile networks,Bizkaia,%,100.0
2015,Proportion of households covered by 3.5G mobile networks,Gipuzkoa,%,99.79
2017,Proportion of households covered by 3.5G mobile networks,Gipuzkoa,%,99.92
2018,Proportion of households covered by 3.5G mobile networks,Gipuzkoa,%,99.95
2020,Proportion of households covered by 3.5G mobile networks,Gipuzkoa,%,99.99
2019,Proportion of households covered by 3.5G mobile networks,Gipuzkoa,%,99.95
2014,Proportion of households covered by 3.5G mobile networks,Gipuzkoa,%,99.0
2016,Proportion of households covered by 3.5G mobile networks,Gipuzkoa,%,99.78
2017,Proportion of households covered by 4G mobile networks,,%,99.01
2025,Proportion of households covered by 4G mobile networks,,%,99.96
2020,Proportion of households covered by 4G mobile networks,,%,99.98
2015,Proportion of households covered by 4G mobile networks,,%,79.64
2021,Proportion of households covered by 4G mobile networks,,%,99.99
2018,Proportion of households covered by 4G mobile networks,,%,99.89
2024,Proportion of households covered by 4G mobile networks,,%,99.96
2022,Proportion of households covered by 4G mobile networks,,%,99.97
2014,Proportion of households covered by 4G mobile networks,,%,55.1
2023,Proportion of households covered by 4G mobile networks,,%,99.96
2016,Proportion of households covered by 4G mobile networks,,%,93.46
2019,Proportion of households covered by 4G mobile networks,,%,99.95
2019,Proportion of households covered by 4G mobile networks,Araba/Álava,%,99.7
2018,Proportion of households covered by 4G mobile networks,Araba/Álava,%,99.7
2017,Proportion of households covered by 4G mobile networks,Araba/Álava,%,97.92
2022,Proportion of households covered by 4G mobile networks,Araba/Álava,%,99.97
2020,Proportion of households covered by 4G mobile networks,Araba/Álava,%,99.99
2025,Proportion of households covered by 4G mobile networks,Araba/Álava,%,99.95
2016,Proportion of households covered by 4G mobile networks,Araba/Álava,%,90.02
2023,Proportion of households covered by 4G mobile networks,Araba/Álava,%,99.92
2024,Proportion of households covered by 4G mobile networks,Araba/Álava,%,99.95
2015,Proportion of households covered by 4G mobile networks,Araba/Álava,%,79.54
2021,Proportion of households covered by 4G mobile networks,Araba/Álava,%,99.98
