Year,Series,Province,Units,Value
2017,GDP generated by tourism as a proportion of total GDP,,%,6.4
2021,GDP generated by tourism as a proportion of total GDP,,%,4.0
2015,GDP generated by tourism as a proportion of total GDP,,%,6.3
2018,GDP generated by tourism as a proportion of total GDP,,%,6.3
2012,GDP generated by tourism as a proportion of total GDP,,%,5.7
2016,GDP generated by tourism as a proportion of total GDP,,%,6.5
2014,GDP generated by tourism as a proportion of total GDP,,%,5.9
2013,GDP generated by tourism as a proportion of total GDP,,%,5.9
2020,GDP generated by tourism as a proportion of total GDP,,%,3.8
2011,GDP generated by tourism as a proportion of total GDP,,%,5.5
2022,GDP generated by tourism as a proportion of total GDP,,%,5.5
2010,GDP generated by tourism as a proportion of total GDP,,%,5.4
2019,GDP generated by tourism as a proportion of total GDP,,%,6.3
2023,GDP generated by tourism as a proportion of total GDP,,%,6.6
2012,GDP generated by tourism as a proportion of total GDP,Araba/Álava,%,5.2
2020,GDP generated by tourism as a proportion of total GDP,Araba/Álava,%,3.4
2011,GDP generated by tourism as a proportion of total GDP,Araba/Álava,%,4.8
2014,GDP generated by tourism as a proportion of total GDP,Araba/Álava,%,5.1
2021,GDP generated by tourism as a proportion of total GDP,Araba/Álava,%,3.7
2023,GDP generated by tourism as a proportion of total GDP,Araba/Álava,%,5.7
2019,GDP generated by tourism as a proportion of total GDP,Araba/Álava,%,5.1
2013,GDP generated by tourism as a proportion of total GDP,Araba/Álava,%,5.1
2010,GDP generated by tourism as a proportion of total GDP,Araba/Álava,%,4.6
2018,GDP generated by tourism as a proportion of total GDP,Araba/Álava,%,5.2
2017,GDP generated by tourism as a proportion of total GDP,Araba/Álava,%,5.3
2022,GDP generated by tourism as a proportion of total GDP,Araba/Álava,%,4.7
2015,GDP generated by tourism as a proportion of total GDP,Araba/Álava,%,5.3
2016,GDP generated by tourism as a proportion of total GDP,Araba/Álava,%,5.4
2020,GDP generated by tourism as a proportion of total GDP,Bizkaia,%,3.2
2014,GDP generated by tourism as a proportion of total GDP,Bizkaia,%,5.3
2021,GDP generated by tourism as a proportion of total GDP,Bizkaia,%,3.4
2018,GDP generated by tourism as a proportion of total GDP,Bizkaia,%,5.7
2013,GDP generated by tourism as a proportion of total GDP,Bizkaia,%,5.2
2016,GDP generated by tourism as a proportion of total GDP,Bizkaia,%,5.8
2011,GDP generated by tourism as a proportion of total GDP,Bizkaia,%,4.8
2010,GDP generated by tourism as a proportion of total GDP,Bizkaia,%,4.7
2012,GDP generated by tourism as a proportion of total GDP,Bizkaia,%,5.0
2017,GDP generated by tourism as a proportion of total GDP,Bizkaia,%,5.8
2019,GDP generated by tourism as a proportion of total GDP,Bizkaia,%,5.7
2022,GDP generated by tourism as a proportion of total GDP,Bizkaia,%,4.7
2015,GDP generated by tourism as a proportion of total GDP,Bizkaia,%,5.6
2023,GDP generated by tourism as a proportion of total GDP,Bizkaia,%,5.7
2013,GDP generated by tourism as a proportion of total GDP,Gipuzkoa,%,7.2
2011,GDP generated by tourism as a proportion of total GDP,Gipuzkoa,%,6.8
2012,GDP generated by tourism as a proportion of total GDP,Gipuzkoa,%,7.1
2010,GDP generated by tourism as a proportion of total GDP,Gipuzkoa,%,6.8
2017,GDP generated by tourism as a proportion of total GDP,Gipuzkoa,%,7.9
2015,GDP generated by tourism as a proportion of total GDP,Gipuzkoa,%,7.8
2023,GDP generated by tourism as a proportion of total GDP,Gipuzkoa,%,8.4
2022,GDP generated by tourism as a proportion of total GDP,Gipuzkoa,%,7.0
2020,GDP generated by tourism as a proportion of total GDP,Gipuzkoa,%,4.7
2019,GDP generated by tourism as a proportion of total GDP,Gipuzkoa,%,7.8
2021,GDP generated by tourism as a proportion of total GDP,Gipuzkoa,%,5.2
2018,GDP generated by tourism as a proportion of total GDP,Gipuzkoa,%,7.7
2016,GDP generated by tourism as a proportion of total GDP,Gipuzkoa,%,8.1
2014,GDP generated by tourism as a proportion of total GDP,Gipuzkoa,%,7.4
2010,GDP growth rate generated by tourism,,%,1.9
2019,GDP growth rate generated by tourism,,%,0.0
2022,GDP growth rate generated by tourism,,%,37.5
2016,GDP growth rate generated by tourism,,%,3.2
2020,GDP growth rate generated by tourism,,%,-39.7
2012,GDP growth rate generated by tourism,,%,3.6
2021,GDP growth rate generated by tourism,,%,5.3
2011,GDP growth rate generated by tourism,,%,1.9
2013,GDP growth rate generated by tourism,,%,3.5
2023,GDP growth rate generated by tourism,,%,20.0
2017,GDP growth rate generated by tourism,,%,-1.5
2014,GDP growth rate generated by tourism,,%,0.0
2015,GDP growth rate generated by tourism,,%,6.8
2018,GDP growth rate generated by tourism,,%,-1.6
2022,GDP growth rate generated by tourism,Araba/Álava,%,27.0
2020,GDP growth rate generated by tourism,Araba/Álava,%,-33.3
2018,GDP growth rate generated by tourism,Araba/Álava,%,-1.9
2010,GDP growth rate generated by tourism,Araba/Álava,%,7.0
2014,GDP growth rate generated by tourism,Araba/Álava,%,0.0
2013,GDP growth rate generated by tourism,Araba/Álava,%,-1.9
2017,GDP growth rate generated by tourism,Araba/Álava,%,-1.9
2015,GDP growth rate generated by tourism,Araba/Álava,%,3.9
2021,GDP growth rate generated by tourism,Araba/Álava,%,8.8
2023,GDP growth rate generated by tourism,Araba/Álava,%,21.3
2011,GDP growth rate generated by tourism,Araba/Álava,%,4.3
2012,GDP growth rate generated by tourism,Araba/Álava,%,8.3
2016,GDP growth rate generated by tourism,Araba/Álava,%,1.9
2019,GDP growth rate generated by tourism,Araba/Álava,%,-1.9
2020,GDP growth rate generated by tourism,Bizkaia,%,-43.9
2023,GDP growth rate generated by tourism,Bizkaia,%,21.3
2022,GDP growth rate generated by tourism,Bizkaia,%,38.2
2021,GDP growth rate generated by tourism,Bizkaia,%,6.3
2017,GDP growth rate generated by tourism,Bizkaia,%,0.0
2011,GDP growth rate generated by tourism,Bizkaia,%,2.1
2010,GDP growth rate generated by tourism,Bizkaia,%,2.2
2015,GDP growth rate generated by tourism,Bizkaia,%,5.7
2012,GDP growth rate generated by tourism,Bizkaia,%,4.2
2014,GDP growth rate generated by tourism,Bizkaia,%,1.9
2013,GDP growth rate generated by tourism,Bizkaia,%,4.0
2019,GDP growth rate generated by tourism,Bizkaia,%,0.0
2016,GDP growth rate generated by tourism,Bizkaia,%,3.6
2018,GDP growth rate generated by tourism,Bizkaia,%,-1.7
2010,GDP growth rate generated by tourism,Gipuzkoa,%,-1.4
2018,GDP growth rate generated by tourism,Gipuzkoa,%,-2.5
2020,GDP growth rate generated by tourism,Gipuzkoa,%,-39.7
2016,GDP growth rate generated by tourism,Gipuzkoa,%,3.8
2013,GDP growth rate generated by tourism,Gipuzkoa,%,1.4
2022,GDP growth rate generated by tourism,Gipuzkoa,%,34.6
2015,GDP growth rate generated by tourism,Gipuzkoa,%,5.4
2017,GDP growth rate generated by tourism,Gipuzkoa,%,-2.5
2014,GDP growth rate generated by tourism,Gipuzkoa,%,2.8
2023,GDP growth rate generated by tourism,Gipuzkoa,%,20.0
2011,GDP growth rate generated by tourism,Gipuzkoa,%,0.0
2019,GDP growth rate generated by tourism,Gipuzkoa,%,1.3
2021,GDP growth rate generated by tourism,Gipuzkoa,%,10.6
2012,GDP growth rate generated by tourism,Gipuzkoa,%,4.4
