Year,Sexua,Lurralde historikoa,Units,Value
2011,,,%,10.9
2010,,,%,10.9
2020,,,%,8.5
2014,,,%,9.9
2013,,,%,13.2
2024,,,%,6.7
2021,,,%,7.9
2019,,,%,8.0
2023,,,%,8.0
2016,,,%,9.2
2015,,,%,8.2
2018,,,%,8.7
2012,,,%,11.6
2017,,,%,9.4
2022,,,%,8.6
2015,,Araba / Álava,%,8.2
2023,,Araba / Álava,%,9.1
2016,,Araba / Álava,%,8.5
2021,,Araba / Álava,%,7.6
2024,,Araba / Álava,%,6.3
2017,,Araba / Álava,%,12.0
2018,,Araba / Álava,%,8.7
2019,,Araba / Álava,%,9.1
2011,,Araba / Álava,%,12.6
2012,,Araba / Álava,%,13.0
2014,,Araba / Álava,%,9.4
2020,,Araba / Álava,%,9.5
2013,,Araba / Álava,%,13.6
2010,,Araba / Álava,%,12.7
2022,,Araba / Álava,%,8.6
2015,,Bizkaia,%,8.3
2014,,Bizkaia,%,10.7
2017,,Bizkaia,%,8.6
2010,,Bizkaia,%,11.4
2023,,Bizkaia,%,8.8
2012,,Bizkaia,%,11.2
2022,,Bizkaia,%,10.3
2024,,Bizkaia,%,7.3
2016,,Bizkaia,%,9.6
2021,,Bizkaia,%,8.4
2013,,Bizkaia,%,13.4
2019,,Bizkaia,%,8.5
2018,,Bizkaia,%,9.4
2020,,Bizkaia,%,9.2
2011,,Bizkaia,%,11.2
2018,,Gipuzkoa,%,7.6
2021,,Gipuzkoa,%,7.5
2019,,Gipuzkoa,%,7.0
2015,,Gipuzkoa,%,8.1
2010,,Gipuzkoa,%,9.3
2011,,Gipuzkoa,%,9.5
2020,,Gipuzkoa,%,7.1
2012,,Gipuzkoa,%,11.4
2014,,Gipuzkoa,%,9.0
2022,,Gipuzkoa,%,6.1
2016,,Gipuzkoa,%,8.8
2023,,Gipuzkoa,%,6.3
2013,,Gipuzkoa,%,12.8
2024,,Gipuzkoa,%,5.9
2017,,Gipuzkoa,%,9.6
2015,Emakumea,,%,7.9
2013,Emakumea,,%,13.0
2022,Emakumea,,%,7.9
2016,Emakumea,,%,9.2
2012,Emakumea,,%,11.1
2014,Emakumea,,%,9.3
2018,Emakumea,,%,9.2
2017,Emakumea,,%,9.6
2011,Emakumea,,%,9.7
2024,Emakumea,,%,6.8
2021,Emakumea,,%,7.3
2010,Emakumea,,%,9.6
2023,Emakumea,,%,8.5
2019,Emakumea,,%,8.3
2020,Emakumea,,%,8.5
2024,Emakumea,Araba / Álava,%,6.1
2022,Emakumea,Araba / Álava,%,7.6
2015,Emakumea,Araba / Álava,%,7.6
2020,Emakumea,Araba / Álava,%,7.3
2019,Emakumea,Araba / Álava,%,6.0
2017,Emakumea,Araba / Álava,%,11.8
2013,Emakumea,Araba / Álava,%,13.6
2011,Emakumea,Araba / Álava,%,11.1
2023,Emakumea,Araba / Álava,%,11.5
2012,Emakumea,Araba / Álava,%,12.4
2010,Emakumea,Araba / Álava,%,12.2
2014,Emakumea,Araba / Álava,%,10.6
2016,Emakumea,Araba / Álava,%,9.8
2021,Emakumea,Araba / Álava,%,7.2
2018,Emakumea,Araba / Álava,%,8.6
2023,Emakumea,Bizkaia,%,9.3
2024,Emakumea,Bizkaia,%,6.8
2021,Emakumea,Bizkaia,%,7.6
2020,Emakumea,Bizkaia,%,9.9
2017,Emakumea,Bizkaia,%,9.2
2019,Emakumea,Bizkaia,%,10.2
2018,Emakumea,Bizkaia,%,10.4
2015,Emakumea,Bizkaia,%,7.3
2013,Emakumea,Bizkaia,%,13.0
2012,Emakumea,Bizkaia,%,10.6
2011,Emakumea,Bizkaia,%,9.5
2014,Emakumea,Bizkaia,%,9.3
2010,Emakumea,Bizkaia,%,10.0
2022,Emakumea,Bizkaia,%,9.2
2016,Emakumea,Bizkaia,%,8.5
2023,Emakumea,Gipuzkoa,%,6.2
2022,Emakumea,Gipuzkoa,%,6.1
2021,Emakumea,Gipuzkoa,%,6.9
2020,Emakumea,Gipuzkoa,%,6.8
2019,Emakumea,Gipuzkoa,%,6.2
2018,Emakumea,Gipuzkoa,%,7.7
2017,Emakumea,Gipuzkoa,%,9.3
2016,Emakumea,Gipuzkoa,%,10.1
2010,Emakumea,Gipuzkoa,%,7.9
2015,Emakumea,Gipuzkoa,%,9.0
2014,Emakumea,Gipuzkoa,%,8.6
2013,Emakumea,Gipuzkoa,%,12.7
2012,Emakumea,Gipuzkoa,%,11.0
2011,Emakumea,Gipuzkoa,%,9.5
2024,Emakumea,Gipuzkoa,%,7.0
2012,Gizona,,%,12.0
2015,Gizona,,%,8.5
2022,Gizona,,%,9.3
2020,Gizona,,%,8.6
2013,Gizona,,%,13.4
2021,Gizona,,%,8.6
2016,Gizona,,%,9.1
2018,Gizona,,%,8.2
2019,Gizona,,%,7.8
2011,Gizona,,%,11.9
2014,Gizona,,%,10.5
2023,Gizona,,%,7.5
2024,Gizona,,%,6.6
2017,Gizona,,%,9.3
2010,Gizona,,%,12.1
2024,Gizona,Araba / Álava,%,6.5
2016,Gizona,Araba / Álava,%,7.3
2019,Gizona,Araba / Álava,%,12.0
2023,Gizona,Araba / Álava,%,6.8
2022,Gizona,Araba / Álava,%,9.5
2012,Gizona,Araba / Álava,%,13.5
2015,Gizona,Araba / Álava,%,8.7
2021,Gizona,Araba / Álava,%,8.1
2020,Gizona,Araba / Álava,%,11.5
2010,Gizona,Araba / Álava,%,13.0
2017,Gizona,Araba / Álava,%,12.2
2014,Gizona,Araba / Álava,%,8.2
2018,Gizona,Araba / Álava,%,8.8
2013,Gizona,Araba / Álava,%,13.7
2011,Gizona,Araba / Álava,%,14.0
2024,Gizona,Bizkaia,%,7.8
2023,Gizona,Bizkaia,%,8.4
2022,Gizona,Bizkaia,%,11.4
2021,Gizona,Bizkaia,%,9.1
2014,Gizona,Bizkaia,%,11.9
2020,Gizona,Bizkaia,%,8.5
2016,Gizona,Bizkaia,%,10.6
2019,Gizona,Bizkaia,%,6.7
2018,Gizona,Bizkaia,%,8.5
2017,Gizona,Bizkaia,%,8.1
2015,Gizona,Bizkaia,%,9.3
2013,Gizona,Bizkaia,%,13.7
2012,Gizona,Bizkaia,%,11.7
2011,Gizona,Bizkaia,%,12.9
2010,Gizona,Bizkaia,%,12.8
2018,Gizona,Gipuzkoa,%,7.6
2017,Gizona,Gipuzkoa,%,10.0
2016,Gizona,Gipuzkoa,%,7.6
2015,Gizona,Gipuzkoa,%,7.3
2011,Gizona,Gipuzkoa,%,9.4
2014,Gizona,Gipuzkoa,%,9.4
2013,Gizona,Gipuzkoa,%,12.9
2012,Gizona,Gipuzkoa,%,11.8
2010,Gizona,Gipuzkoa,%,10.6
2024,Gizona,Gipuzkoa,%,4.9
2023,Gizona,Gipuzkoa,%,6.4
2022,Gizona,Gipuzkoa,%,6.1
2021,Gizona,Gipuzkoa,%,8.0
2020,Gizona,Gipuzkoa,%,7.4
2019,Gizona,Gipuzkoa,%,7.7
