Year,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2022,,,,10.000 biztanleko,,4.6
2019,,,,10.000 biztanleko,,3.8
2023,,,,10.000 biztanleko,,5.7
2021,,,,10.000 biztanleko,,4.0
2020,,,,10.000 biztanleko,,3.1
2020,,,Abadiño,10.000 biztanleko,Abadiño,0.0
2021,,,Abadiño,10.000 biztanleko,Abadiño,5.2
2022,,,Abadiño,10.000 biztanleko,Abadiño,2.6
2023,,,Abadiño,10.000 biztanleko,Abadiño,5.1
2019,,,Abadiño,10.000 biztanleko,Abadiño,5.2
2019,,,Abaltzisketa,10.000 biztanleko,Abaltzisketa,0.0
2020,,,Abaltzisketa,10.000 biztanleko,Abaltzisketa,0.0
2023,,,Abaltzisketa,10.000 biztanleko,Abaltzisketa,0.0
2022,,,Abaltzisketa,10.000 biztanleko,Abaltzisketa,0.0
2021,,,Abaltzisketa,10.000 biztanleko,Abaltzisketa,0.0
2020,,,Abanto y Ciérvana-Abanto Zierbena,10.000 biztanleko,Abanto y Ciérvana-Abanto Zierbena,0.0
2021,,,Abanto y Ciérvana-Abanto Zierbena,10.000 biztanleko,Abanto y Ciérvana-Abanto Zierbena,0.0
2019,,,Abanto y Ciérvana-Abanto Zierbena,10.000 biztanleko,Abanto y Ciérvana-Abanto Zierbena,2.1
2022,,,Abanto y Ciérvana-Abanto Zierbena,10.000 biztanleko,Abanto y Ciérvana-Abanto Zierbena,0.0
2023,,,Abanto y Ciérvana-Abanto Zierbena,10.000 biztanleko,Abanto y Ciérvana-Abanto Zierbena,53.2
2020,,,Aduna,10.000 biztanleko,Aduna,0.0
2023,,,Aduna,10.000 biztanleko,Aduna,0.0
2022,,,Aduna,10.000 biztanleko,Aduna,0.0
2019,,,Aduna,10.000 biztanleko,Aduna,0.0
2021,,,Aduna,10.000 biztanleko,Aduna,0.0
2019,,,Agurain / Salvatierra,10.000 biztanleko,Agurain / Salvatierra,0.0
2021,,,Agurain / Salvatierra,10.000 biztanleko,Agurain / Salvatierra,3.9
2020,,,Agurain / Salvatierra,10.000 biztanleko,Agurain / Salvatierra,0.0
2023,,,Agurain / Salvatierra,10.000 biztanleko,Agurain / Salvatierra,11.6
2022,,,Agurain / Salvatierra,10.000 biztanleko,Agurain / Salvatierra,3.9
2020,,,Aia,10.000 biztanleko,Aia,10.5
2022,,,Aia,10.000 biztanleko,Aia,20.0
2019,,,Aia,10.000 biztanleko,Aia,0.0
2023,,,Aia,10.000 biztanleko,Aia,0.0
2021,,,Aia,10.000 biztanleko,Aia,0.0
2023,,,Aizarnazabal,10.000 biztanleko,Aizarnazabal,0.0
2020,,,Aizarnazabal,10.000 biztanleko,Aizarnazabal,0.0
2021,,,Aizarnazabal,10.000 biztanleko,Aizarnazabal,0.0
2022,,,Aizarnazabal,10.000 biztanleko,Aizarnazabal,0.0
2019,,,Aizarnazabal,10.000 biztanleko,Aizarnazabal,0.0
2022,,,Ajangiz,10.000 biztanleko,Ajangiz,0.0
2021,,,Ajangiz,10.000 biztanleko,Ajangiz,0.0
2023,,,Ajangiz,10.000 biztanleko,Ajangiz,0.0
2019,,,Ajangiz,10.000 biztanleko,Ajangiz,0.0
2020,,,Ajangiz,10.000 biztanleko,Ajangiz,0.0
2020,,,Albiztur,10.000 biztanleko,Albiztur,0.0
