Year,Lanbidea,Sexua,Lurralde historikoa,Units,Value
2020,,,,10.000 biztanleko,170.3
2014,,,,10.000 biztanleko,154.1
2021,,,,10.000 biztanleko,173.2
2016,,,,10.000 biztanleko,159.5
2013,,,,10.000 biztanleko,150.8
2017,,,,10.000 biztanleko,161.6
2023,,,,10.000 biztanleko,187.6
2015,,,,10.000 biztanleko,156.7
2011,,,,10.000 biztanleko,147.2
2018,,,,10.000 biztanleko,164.2
2012,,,,10.000 biztanleko,149.0
2010,,,,10.000 biztanleko,143.5
2019,,,,10.000 biztanleko,167.0
2022,,,,10.000 biztanleko,176.4
2015,,,Araba / Álava,10.000 biztanleko,162.3
2010,,,Araba / Álava,10.000 biztanleko,146.7
2014,,,Araba / Álava,10.000 biztanleko,160.3
2022,,,Araba / Álava,10.000 biztanleko,176.6
2019,,,Araba / Álava,10.000 biztanleko,170.0
2011,,,Araba / Álava,10.000 biztanleko,151.0
2012,,,Araba / Álava,10.000 biztanleko,152.9
2016,,,Araba / Álava,10.000 biztanleko,165.2
2017,,,Araba / Álava,10.000 biztanleko,167.5
2013,,,Araba / Álava,10.000 biztanleko,155.6
2021,,,Araba / Álava,10.000 biztanleko,174.4
2020,,,Araba / Álava,10.000 biztanleko,172.1
2018,,,Araba / Álava,10.000 biztanleko,169.5
2023,,,Araba / Álava,10.000 biztanleko,178.1
2022,,,Bizkaia,10.000 biztanleko,181.8
2023,,,Bizkaia,10.000 biztanleko,185.3
2014,,,Bizkaia,10.000 biztanleko,155.6
2013,,,Bizkaia,10.000 biztanleko,152.4
2015,,,Bizkaia,10.000 biztanleko,159.0
2011,,,Bizkaia,10.000 biztanleko,148.4
2018,,,Bizkaia,10.000 biztanleko,168.6
2012,,,Bizkaia,10.000 biztanleko,150.5
2016,,,Bizkaia,10.000 biztanleko,162.4
2017,,,Bizkaia,10.000 biztanleko,165.2
2019,,,Bizkaia,10.000 biztanleko,171.8
2010,,,Bizkaia,10.000 biztanleko,144.4
2020,,,Bizkaia,10.000 biztanleko,175.3
2021,,,Bizkaia,10.000 biztanleko,178.4
2020,,,Gipuzkoa,10.000 biztanleko,161.6
2015,,,Gipuzkoa,10.000 biztanleko,150.4
2021,,,Gipuzkoa,10.000 biztanleko,164.2
2013,,,Gipuzkoa,10.000 biztanleko,145.9
2023,,,Gipuzkoa,10.000 biztanleko,195.5
2018,,,Gipuzkoa,10.000 biztanleko,154.9
2014,,,Gipuzkoa,10.000 biztanleko,148.7
2010,,,Gipuzkoa,10.000 biztanleko,140.5
2019,,,Gipuzkoa,10.000 biztanleko,158.0
2016,,,Gipuzkoa,10.000 biztanleko,152.3
2012,,,Gipuzkoa,10.000 biztanleko,144.8
2011,,,Gipuzkoa,10.000 biztanleko,143.4
2017,,,Gipuzkoa,10.000 biztanleko,153.3
2022,,,Gipuzkoa,10.000 biztanleko,167.7
2020,,Emakumea,,10.000 biztanleko,244.5
2023,,Emakumea,,10.000 biztanleko,272.7
2016,,Emakumea,,10.000 biztanleko,228.7
2022,,Emakumea,,10.000 biztanleko,253.9
2013,,Emakumea,,10.000 biztanleko,214.9
2011,,Emakumea,,10.000 biztanleko,206.4
2021,,Emakumea,,10.000 biztanleko,249.0
2010,,Emakumea,,10.000 biztanleko,201.8
2017,,Emakumea,,10.000 biztanleko,232.0
2012,,Emakumea,,10.000 biztanleko,211.2
2018,,Emakumea,,10.000 biztanleko,235.7
2015,,Emakumea,,10.000 biztanleko,224.4
2014,,Emakumea,,10.000 biztanleko,219.9
2019,,Emakumea,,10.000 biztanleko,239.4
2015,,Emakumea,Araba / Álava,10.000 biztanleko,243.6
2022,,Emakumea,Araba / Álava,10.000 biztanleko,263.9
2020,,Emakumea,Araba / Álava,10.000 biztanleko,256.1
2013,,Emakumea,Araba / Álava,10.000 biztanleko,233.4
2014,,Emakumea,Araba / Álava,10.000 biztanleko,239.9
2012,,Emakumea,Araba / Álava,10.000 biztanleko,229.5
2023,,Emakumea,Araba / Álava,10.000 biztanleko,266.3
