Year,Territorio,Units,Value
2019,,PER_100000,68.0
2022,,PER_100000,52.2
2021,,PER_100000,56.5
2018,,PER_100000,71.4
2023,,PER_100000,51.4
2017,,PER_100000,73.8
2015,,PER_100000,82.2
2012,,PER_100000,98.2
2016,,PER_100000,78.5
2011,,PER_100000,101.0
2014,,PER_100000,83.7
2013,,PER_100000,89.4
2010,,PER_100000,103.5
2020,,PER_100000,62.1
2012,ES211,PER_100000,113.8
2013,ES211,PER_100000,102.4
2014,ES211,PER_100000,93.9
2010,ES211,PER_100000,122.5
2018,ES211,PER_100000,72.6
2017,ES211,PER_100000,76.0
2011,ES211,PER_100000,118.0
2020,ES211,PER_100000,63.2
2021,ES211,PER_100000,58.8
2015,ES211,PER_100000,91.6
2019,ES211,PER_100000,68.9
2022,ES211,PER_100000,54.4
2016,ES211,PER_100000,83.7
2023,ES211,PER_100000,53.7
2013,ES213,PER_100000,85.6
2015,ES213,PER_100000,78.3
2016,ES213,PER_100000,75.4
2017,ES213,PER_100000,71.0
2019,ES213,PER_100000,66.0
2020,ES213,PER_100000,59.5
2021,ES213,PER_100000,54.1
2023,ES213,PER_100000,49.6
2010,ES213,PER_100000,101.2
2011,ES213,PER_100000,98.8
2012,ES213,PER_100000,95.8
2022,ES213,PER_100000,50.4
2018,ES213,PER_100000,69.0
2014,ES213,PER_100000,79.4
2022,ES212,PER_100000,54.3
2023,ES212,PER_100000,53.3
2010,ES212,PER_100000,98.7
2011,ES212,PER_100000,97.0
2012,ES212,PER_100000,94.8
2013,ES212,PER_100000,89.7
2014,ES212,PER_100000,86.1
2015,ES212,PER_100000,84.4
2016,ES212,PER_100000,81.3
2017,ES212,PER_100000,77.5
2018,ES212,PER_100000,74.7
2019,ES212,PER_100000,70.8
2020,ES212,PER_100000,65.8
2021,ES212,PER_100000,59.4
