Year,Edad,Sexo,Territorio histórico,Units,Value
2018,5 años,,,%,100.0
2010,5 años,,,%,100.1
2014,5 años,,,%,99.3
2016,5 años,,,%,100.0
2012,5 años,,,%,99.7
2013,5 años,,,%,99.8
2022,5 años,,,%,99.6
2011,5 años,,,%,100.3
2020,5 años,,,%,99.8
2015,5 años,,,%,99.6
2021,5 años,,,%,99.1
2017,5 años,,,%,99.8
2019,5 años,,,%,99.8
2022,5 años,,Araba/Álava,%,98.6
2021,5 años,,Araba/Álava,%,99.0
2020,5 años,,Araba/Álava,%,99.5
2022,5 años,,Bizkaia,%,100.1
2021,5 años,,Bizkaia,%,99.4
2020,5 años,,Bizkaia,%,100.5
2020,5 años,,Gipuzkoa,%,98.9
2021,5 años,,Gipuzkoa,%,98.6
2022,5 años,,Gipuzkoa,%,99.5
2020,5 años,Mujer,,%,100.0
2014,5 años,Mujer,,%,98.9
2011,5 años,Mujer,,%,100.0
2022,5 años,Mujer,,%,98.9
2016,5 años,Mujer,,%,99.7
2015,5 años,Mujer,,%,99.5
2010,5 años,Mujer,,%,99.7
2019,5 años,Mujer,,%,99.9
2017,5 años,Mujer,,%,99.8
2013,5 años,Mujer,,%,99.6
2012,5 años,Mujer,,%,98.5
2018,5 años,Mujer,,%,99.9
2021,5 años,Mujer,,%,98.6
2022,5 años,Mujer,Araba/Álava,%,98.8
2020,5 años,Mujer,Araba/Álava,%,100.0
2021,5 años,Mujer,Araba/Álava,%,98.6
2022,5 años,Mujer,Bizkaia,%,99.0
2020,5 años,Mujer,Bizkaia,%,100.8
2021,5 años,Mujer,Bizkaia,%,99.0
2020,5 años,Mujer,Gipuzkoa,%,98.8
2021,5 años,Mujer,Gipuzkoa,%,98.0
2022,5 años,Mujer,Gipuzkoa,%,98.8
2021,5 años,Hombre,,%,99.5
2016,5 años,Hombre,,%,100.4
2017,5 años,Hombre,,%,99.8
2014,5 años,Hombre,,%,99.7
2019,5 años,Hombre,,%,99.8
2020,5 años,Hombre,,%,99.6
2011,5 años,Hombre,,%,100.6
2022,5 años,Hombre,,%,100.4
2015,5 años,Hombre,,%,99.6
2012,5 años,Hombre,,%,100.7
2010,5 años,Hombre,,%,100.6
2013,5 años,Hombre,,%,100.0
2018,5 años,Hombre,,%,100.2
2020,5 años,Hombre,Araba/Álava,%,99.0
2022,5 años,Hombre,Araba/Álava,%,98.4
2021,5 años,Hombre,Araba/Álava,%,99.4
2022,5 años,Hombre,Bizkaia,%,101.1
2020,5 años,Hombre,Bizkaia,%,100.1
2021,5 años,Hombre,Bizkaia,%,99.8
2020,5 años,Hombre,Gipuzkoa,%,99.0
2022,5 años,Hombre,Gipuzkoa,%,100.2
2021,5 años,Hombre,Gipuzkoa,%,99.2
