Year,Dimension of poverty,Units,Value
2008,Risk of poverty (monetary),PT,9.1
2009,Risk of poverty (monetary),PT,10.0
2010,Risk of poverty (monetary),PT,11.7
2011,Risk of poverty (monetary),PT,13.8
2012,Risk of poverty (monetary),PT,13.3
2013,Risk of poverty (monetary),PT,10.5
2014,Risk of poverty (monetary),PT,10.2
2015,Risk of poverty (monetary),PT,10.9
2016,Risk of poverty (monetary),PT,9.0
2017,Risk of poverty (monetary),PT,9.7
2018,Risk of poverty (monetary),PT,8.6
2019,Risk of poverty (monetary),PT,10.0
2020,Risk of poverty (monetary),PT,10.0
2021,Risk of poverty (monetary),PT,12.2
2022,Risk of poverty (monetary),PT,12.2
2023,Risk of poverty (monetary),PT,10.2
2024,Risk of poverty (monetary),PT,9.4
2014,Severe material and social deprivation,PT,5.1
2015,Severe material and social deprivation,PT,6.6
2016,Severe material and social deprivation,PT,4.8
2017,Severe material and social deprivation,PT,5.1
2018,Severe material and social deprivation,PT,4.3
2019,Severe material and social deprivation,PT,4.0
2020,Severe material and social deprivation,PT,3.3
2021,Severe material and social deprivation,PT,4.6
2022,Severe material and social deprivation,PT,3.7
2023,Severe material and social deprivation,PT,5.6
2024,Severe material and social deprivation,PT,4.7
2014,Low work intensity,PT,12.8
2015,Low work intensity,PT,13.9
2016,Low work intensity,PT,13.1
2017,Low work intensity,PT,7.6
2018,Low work intensity,PT,7.2
2019,Low work intensity,PT,10.0
2020,Low work intensity,PT,7.9
2021,Low work intensity,PT,7.5
2022,Low work intensity,PT,6.2
2023,Low work intensity,PT,7.6
2024,Low work intensity,PT,6.9
2014,,PT,16.2
2015,,PT,18.2
2016,,PT,15.9
2017,,PT,15.0
2018,,PT,12.2
2019,,PT,15.0
2020,,PT,13.6
2021,,PT,16.0
2022,,PT,15.7
2023,,PT,15.5
2024,,PT,14.8
