Year,Series,Territorio histórico,Units,Value
2017,PIB generado por el turismo en proporción al PIB total,,%,6.4
2021,PIB generado por el turismo en proporción al PIB total,,%,4.0
2015,PIB generado por el turismo en proporción al PIB total,,%,6.3
2018,PIB generado por el turismo en proporción al PIB total,,%,6.3
2012,PIB generado por el turismo en proporción al PIB total,,%,5.7
2016,PIB generado por el turismo en proporción al PIB total,,%,6.5
2014,PIB generado por el turismo en proporción al PIB total,,%,5.9
2013,PIB generado por el turismo en proporción al PIB total,,%,5.9
2020,PIB generado por el turismo en proporción al PIB total,,%,3.8
2011,PIB generado por el turismo en proporción al PIB total,,%,5.5
2022,PIB generado por el turismo en proporción al PIB total,,%,5.5
2010,PIB generado por el turismo en proporción al PIB total,,%,5.4
2019,PIB generado por el turismo en proporción al PIB total,,%,6.3
2023,PIB generado por el turismo en proporción al PIB total,,%,6.6
2012,PIB generado por el turismo en proporción al PIB total,Araba/Álava,%,5.2
2020,PIB generado por el turismo en proporción al PIB total,Araba/Álava,%,3.4
2011,PIB generado por el turismo en proporción al PIB total,Araba/Álava,%,4.8
2014,PIB generado por el turismo en proporción al PIB total,Araba/Álava,%,5.1
2021,PIB generado por el turismo en proporción al PIB total,Araba/Álava,%,3.7
2023,PIB generado por el turismo en proporción al PIB total,Araba/Álava,%,5.7
2019,PIB generado por el turismo en proporción al PIB total,Araba/Álava,%,5.1
2013,PIB generado por el turismo en proporción al PIB total,Araba/Álava,%,5.1
2010,PIB generado por el turismo en proporción al PIB total,Araba/Álava,%,4.6
2018,PIB generado por el turismo en proporción al PIB total,Araba/Álava,%,5.2
2017,PIB generado por el turismo en proporción al PIB total,Araba/Álava,%,5.3
2022,PIB generado por el turismo en proporción al PIB total,Araba/Álava,%,4.7
2015,PIB generado por el turismo en proporción al PIB total,Araba/Álava,%,5.3
2016,PIB generado por el turismo en proporción al PIB total,Araba/Álava,%,5.4
2020,PIB generado por el turismo en proporción al PIB total,Bizkaia,%,3.2
2014,PIB generado por el turismo en proporción al PIB total,Bizkaia,%,5.3
2021,PIB generado por el turismo en proporción al PIB total,Bizkaia,%,3.4
2018,PIB generado por el turismo en proporción al PIB total,Bizkaia,%,5.7
2013,PIB generado por el turismo en proporción al PIB total,Bizkaia,%,5.2
2016,PIB generado por el turismo en proporción al PIB total,Bizkaia,%,5.8
2011,PIB generado por el turismo en proporción al PIB total,Bizkaia,%,4.8
2010,PIB generado por el turismo en proporción al PIB total,Bizkaia,%,4.7
2012,PIB generado por el turismo en proporción al PIB total,Bizkaia,%,5.0
2017,PIB generado por el turismo en proporción al PIB total,Bizkaia,%,5.8
2019,PIB generado por el turismo en proporción al PIB total,Bizkaia,%,5.7
2022,PIB generado por el turismo en proporción al PIB total,Bizkaia,%,4.7
2015,PIB generado por el turismo en proporción al PIB total,Bizkaia,%,5.6
2023,PIB generado por el turismo en proporción al PIB total,Bizkaia,%,5.7
2013,PIB generado por el turismo en proporción al PIB total,Gipuzkoa,%,7.2
2011,PIB generado por el turismo en proporción al PIB total,Gipuzkoa,%,6.8
2012,PIB generado por el turismo en proporción al PIB total,Gipuzkoa,%,7.1
2010,PIB generado por el turismo en proporción al PIB total,Gipuzkoa,%,6.8
2017,PIB generado por el turismo en proporción al PIB total,Gipuzkoa,%,7.9
2015,PIB generado por el turismo en proporción al PIB total,Gipuzkoa,%,7.8
2023,PIB generado por el turismo en proporción al PIB total,Gipuzkoa,%,8.4
2022,PIB generado por el turismo en proporción al PIB total,Gipuzkoa,%,7.0
2020,PIB generado por el turismo en proporción al PIB total,Gipuzkoa,%,4.7
2019,PIB generado por el turismo en proporción al PIB total,Gipuzkoa,%,7.8
2021,PIB generado por el turismo en proporción al PIB total,Gipuzkoa,%,5.2
2018,PIB generado por el turismo en proporción al PIB total,Gipuzkoa,%,7.7
2016,PIB generado por el turismo en proporción al PIB total,Gipuzkoa,%,8.1
2014,PIB generado por el turismo en proporción al PIB total,Gipuzkoa,%,7.4
2010,Tasa de crecimiento del PIB generado por el turismo,,%,1.9
2019,Tasa de crecimiento del PIB generado por el turismo,,%,0.0
2022,Tasa de crecimiento del PIB generado por el turismo,,%,37.5
2016,Tasa de crecimiento del PIB generado por el turismo,,%,3.2
2020,Tasa de crecimiento del PIB generado por el turismo,,%,-39.7
2012,Tasa de crecimiento del PIB generado por el turismo,,%,3.6
2021,Tasa de crecimiento del PIB generado por el turismo,,%,5.3
2011,Tasa de crecimiento del PIB generado por el turismo,,%,1.9
2013,Tasa de crecimiento del PIB generado por el turismo,,%,3.5
2023,Tasa de crecimiento del PIB generado por el turismo,,%,20.0
2017,Tasa de crecimiento del PIB generado por el turismo,,%,-1.5
