Year,Series,Units,Value
2016,Domestic material consumption in absolute terms,Kilotons,21507.9
2011,Domestic material consumption in absolute terms,Kilotons,23308.8
2018,Domestic material consumption in absolute terms,Kilotons,28476.5
2015,Domestic material consumption in absolute terms,Kilotons,23794.7
2019,Domestic material consumption in absolute terms,Kilotons,27538.3
2013,Domestic material consumption in absolute terms,Kilotons,18163.8
2012,Domestic material consumption in absolute terms,Kilotons,21098.6
2014,Domestic material consumption in absolute terms,Kilotons,19620.0
2010,Domestic material consumption in absolute terms,Kilotons,30845.5
2017,Domestic material consumption in absolute terms,Kilotons,26656.6
2020,Domestic material consumption in absolute terms,Kilotons,22964.9
2020,Domestic material consumption per capita,Tons per capita,10.5
2016,Domestic material consumption per capita,Tons per capita,9.9
2014,Domestic material consumption per capita,Tons per capita,9.0
2013,Domestic material consumption per capita,Tons per capita,8.3
2018,Domestic material consumption per capita,Tons per capita,13.0
2011,Domestic material consumption per capita,Tons per capita,10.7
2012,Domestic material consumption per capita,Tons per capita,9.7
2017,Domestic material consumption per capita,Tons per capita,12.2
2015,Domestic material consumption per capita,Tons per capita,11.0
2019,Domestic material consumption per capita,Tons per capita,12.6
2010,Domestic material consumption per capita,Tons per capita,14.2
2010,Domestic material consumption per GDP,T_MILLON_EUR,456.3
2012,Domestic material consumption per GDP,T_MILLON_EUR,317.3
2011,Domestic material consumption per GDP,T_MILLON_EUR,343.6
2013,Domestic material consumption per GDP,T_MILLON_EUR,277.8
2014,Domestic material consumption per GDP,T_MILLON_EUR,295.3
2015,Domestic material consumption per GDP,T_MILLON_EUR,347.4
2016,Domestic material consumption per GDP,T_MILLON_EUR,304.0
2017,Domestic material consumption per GDP,T_MILLON_EUR,366.8
2018,Domestic material consumption per GDP,T_MILLON_EUR,379.7
2019,Domestic material consumption per GDP,T_MILLON_EUR,359.0
2020,Domestic material consumption per GDP,T_MILLON_EUR,332.6
