Year,Series,Province,Units,Value
2010,Value added by the manufacturing sector as a proportion of GDP,Araba/Álava,%,24.9
2011,Value added by the manufacturing sector as a proportion of GDP,Araba/Álava,%,25.9
2012,Value added by the manufacturing sector as a proportion of GDP,Araba/Álava,%,25.1
2013,Value added by the manufacturing sector as a proportion of GDP,Araba/Álava,%,25.7
2014,Value added by the manufacturing sector as a proportion of GDP,Araba/Álava,%,26.1
2015,Value added by the manufacturing sector as a proportion of GDP,Araba/Álava,%,26.2
2016,Value added by the manufacturing sector as a proportion of GDP,Araba/Álava,%,26.2
2017,Value added by the manufacturing sector as a proportion of GDP,Araba/Álava,%,26.4
2018,Value added by the manufacturing sector as a proportion of GDP,Araba/Álava,%,25.8
2019,Value added by the manufacturing sector as a proportion of GDP,Araba/Álava,%,25.0
2020,Value added by the manufacturing sector as a proportion of GDP,Araba/Álava,%,23.9
2021,Value added by the manufacturing sector as a proportion of GDP,Araba/Álava,%,24.3
2022,Value added by the manufacturing sector as a proportion of GDP,Araba/Álava,%,24.1
2023,Value added by the manufacturing sector as a proportion of GDP,Araba/Álava,%,24.3
2024,Value added by the manufacturing sector as a proportion of GDP,Araba/Álava,%,24.3
2010,Value added by the manufacturing sector as a proportion of GDP,Gipuzkoa,%,22.6
2011,Value added by the manufacturing sector as a proportion of GDP,Gipuzkoa,%,23.3
2012,Value added by the manufacturing sector as a proportion of GDP,Gipuzkoa,%,22.8
2013,Value added by the manufacturing sector as a proportion of GDP,Gipuzkoa,%,22.2
2014,Value added by the manufacturing sector as a proportion of GDP,Gipuzkoa,%,22.2
2015,Value added by the manufacturing sector as a proportion of GDP,Gipuzkoa,%,22.6
2016,Value added by the manufacturing sector as a proportion of GDP,Gipuzkoa,%,22.7
2017,Value added by the manufacturing sector as a proportion of GDP,Gipuzkoa,%,22.4
2018,Value added by the manufacturing sector as a proportion of GDP,Gipuzkoa,%,22.4
2019,Value added by the manufacturing sector as a proportion of GDP,Gipuzkoa,%,22.2
2020,Value added by the manufacturing sector as a proportion of GDP,Gipuzkoa,%,21.9
2021,Value added by the manufacturing sector as a proportion of GDP,Gipuzkoa,%,22.8
2022,Value added by the manufacturing sector as a proportion of GDP,Gipuzkoa,%,22.9
2023,Value added by the manufacturing sector as a proportion of GDP,Gipuzkoa,%,23.0
2024,Value added by the manufacturing sector as a proportion of GDP,Gipuzkoa,%,22.9
2010,Value added by the manufacturing sector as a proportion of GDP,Bizkaia,%,17.1
2011,Value added by the manufacturing sector as a proportion of GDP,Bizkaia,%,17.2
2012,Value added by the manufacturing sector as a proportion of GDP,Bizkaia,%,16.2
2013,Value added by the manufacturing sector as a proportion of GDP,Bizkaia,%,16.2
2014,Value added by the manufacturing sector as a proportion of GDP,Bizkaia,%,16.5
2015,Value added by the manufacturing sector as a proportion of GDP,Bizkaia,%,16.5
2016,Value added by the manufacturing sector as a proportion of GDP,Bizkaia,%,16.8
2017,Value added by the manufacturing sector as a proportion of GDP,Bizkaia,%,16.9
2018,Value added by the manufacturing sector as a proportion of GDP,Bizkaia,%,16.5
2019,Value added by the manufacturing sector as a proportion of GDP,Bizkaia,%,16.5
2020,Value added by the manufacturing sector as a proportion of GDP,Bizkaia,%,15.6
2021,Value added by the manufacturing sector as a proportion of GDP,Bizkaia,%,15.8
2022,Value added by the manufacturing sector as a proportion of GDP,Bizkaia,%,15.5
2023,Value added by the manufacturing sector as a proportion of GDP,Bizkaia,%,16.2
2024,Value added by the manufacturing sector as a proportion of GDP,Bizkaia,%,17.3
2010,Value added by the manufacturing sector as a proportion of GDP,,%,20.2
2011,Value added by the manufacturing sector as a proportion of GDP,,%,20.6
2012,Value added by the manufacturing sector as a proportion of GDP,,%,19.9
2013,Value added by the manufacturing sector as a proportion of GDP,,%,19.8
2014,Value added by the manufacturing sector as a proportion of GDP,,%,19.9
2015,Value added by the manufacturing sector as a proportion of GDP,,%,20.1
2016,Value added by the manufacturing sector as a proportion of GDP,,%,20.3
2017,Value added by the manufacturing sector as a proportion of GDP,,%,20.3
2018,Value added by the manufacturing sector as a proportion of GDP,,%,20.0
