Year,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2022,,,,Por 10.000,,39.9
2020,,,,Por 10.000,,33.9
2019,,,,Por 10.000,,36.5
2021,,,,Por 10.000,,34.3
2023,,,,Por 10.000,,42.8
2023,,,Abadiño,Por 10.000,Abadiño,20.5
2020,,,Abadiño,Por 10.000,Abadiño,18.2
2022,,,Abadiño,Por 10.000,Abadiño,23.3
2021,,,Abadiño,Por 10.000,Abadiño,31.0
2019,,,Abadiño,Por 10.000,Abadiño,28.6
2021,,,Abaltzisketa,Por 10.000,Abaltzisketa,0.0
2019,,,Abaltzisketa,Por 10.000,Abaltzisketa,0.0
2020,,,Abaltzisketa,Por 10.000,Abaltzisketa,68.7
2023,,,Abaltzisketa,Por 10.000,Abaltzisketa,0.0
2022,,,Abaltzisketa,Por 10.000,Abaltzisketa,0.0
2022,,,Abanto y Ciérvana-Abanto Zierbena,Por 10.000,Abanto y Ciérvana-Abanto Zierbena,52.4
2023,,,Abanto y Ciérvana-Abanto Zierbena,Por 10.000,Abanto y Ciérvana-Abanto Zierbena,55.2
2020,,,Abanto y Ciérvana-Abanto Zierbena,Por 10.000,Abanto y Ciérvana-Abanto Zierbena,49.7
2021,,,Abanto y Ciérvana-Abanto Zierbena,Por 10.000,Abanto y Ciérvana-Abanto Zierbena,52.2
2019,,,Abanto y Ciérvana-Abanto Zierbena,Por 10.000,Abanto y Ciérvana-Abanto Zierbena,32.9
2023,,,Aduna,Por 10.000,Aduna,0.0
2019,,,Aduna,Por 10.000,Aduna,0.0
2022,,,Aduna,Por 10.000,Aduna,0.0
2021,,,Aduna,Por 10.000,Aduna,0.0
2020,,,Aduna,Por 10.000,Aduna,136.1
2021,,,Agurain/Salvatierra,Por 10.000,Agurain/Salvatierra,18.8
2020,,,Agurain/Salvatierra,Por 10.000,Agurain/Salvatierra,49.1
2022,,,Agurain/Salvatierra,Por 10.000,Agurain/Salvatierra,30.6
2019,,,Agurain/Salvatierra,Por 10.000,Agurain/Salvatierra,22.7
2023,,,Agurain/Salvatierra,Por 10.000,Agurain/Salvatierra,58.1
2023,,,Aia,Por 10.000,Aia,20.1
2022,,,Aia,Por 10.000,Aia,0.0
2019,,,Aia,Por 10.000,Aia,31.8
2021,,,Aia,Por 10.000,Aia,0.0
