Year,Sex,Province,Units,Value
2019,,,Per million inhabitants,6162.8
2021,,,Per million inhabitants,6560.5
2023,,,Per million inhabitants,7408.0
2020,,,Per million inhabitants,6204.9
2022,,,Per million inhabitants,6953.0
2010,,,Per million inhabitants,5098.1
2016,,,Per million inhabitants,5481.3
2013,,,Per million inhabitants,5496.2
2014,,,Per million inhabitants,5536.2
2017,,,Per million inhabitants,5788.4
2015,,,Per million inhabitants,5564.5
2011,,,Per million inhabitants,5180.9
2012,,,Per million inhabitants,5399.2
2018,,,Per million inhabitants,6027.3
2010,,Araba/Álava,Per million inhabitants,3631.3
2017,,Araba/Álava,Per million inhabitants,5233.3
2019,,Araba/Álava,Per million inhabitants,4782.0
2013,,Araba/Álava,Per million inhabitants,4682.2
2012,,Araba/Álava,Per million inhabitants,4148.7
2016,,Araba/Álava,Per million inhabitants,4651.0
2023,,Araba/Álava,Per million inhabitants,5378.3
2011,,Araba/Álava,Per million inhabitants,3879.2
2018,,Araba/Álava,Per million inhabitants,5238.7
2022,,Araba/Álava,Per million inhabitants,5099.6
2014,,Araba/Álava,Per million inhabitants,4613.2
2015,,Araba/Álava,Per million inhabitants,4818.1
2020,,Araba/Álava,Per million inhabitants,4863.1
2021,,Araba/Álava,Per million inhabitants,4891.0
2011,,Bizkaia,Per million inhabitants,4782.9
2012,,Bizkaia,Per million inhabitants,5045.7
2013,,Bizkaia,Per million inhabitants,5116.9
2016,,Bizkaia,Per million inhabitants,4889.7
2022,,Bizkaia,Per million inhabitants,6289.1
2019,,Bizkaia,Per million inhabitants,5507.4
2014,,Bizkaia,Per million inhabitants,5167.9
2023,,Bizkaia,Per million inhabitants,6728.5
2020,,Bizkaia,Per million inhabitants,5535.1
2018,,Bizkaia,Per million inhabitants,5230.3
2010,,Bizkaia,Per million inhabitants,4751.5
2015,,Bizkaia,Per million inhabitants,5109.1
2021,,Bizkaia,Per million inhabitants,5837.9
2017,,Bizkaia,Per million inhabitants,4989.5
2017,,Gipuzkoa,Per million inhabitants,7317.1
2018,,Gipuzkoa,Per million inhabitants,7658.9
2022,,Gipuzkoa,Per million inhabitants,8865.0
2013,,Gipuzkoa,Per million inhabitants,6478.7
2021,,Gipuzkoa,Per million inhabitants,8478.4
2010,,Gipuzkoa,Per million inhabitants,6331.9
2019,,Gipuzkoa,Per million inhabitants,7839.7
2015,,Gipuzkoa,Per million inhabitants,6633.7
2016,,Gipuzkoa,Per million inhabitants,6805.1
2011,,Gipuzkoa,Per million inhabitants,6424.6
2012,,Gipuzkoa,Per million inhabitants,6543.7
2020,,Gipuzkoa,Per million inhabitants,7887.6
2023,,Gipuzkoa,Per million inhabitants,9429.7
2014,,Gipuzkoa,Per million inhabitants,6547.1
2016,Female,,Per million inhabitants,3765.8
2015,Female,,Per million inhabitants,3839.5
2013,Female,,Per million inhabitants,3752.6
2012,Female,,Per million inhabitants,3709.1
2014,Female,,Per million inhabitants,3768.1
2022,Female,,Per million inhabitants,4895.7
2021,Female,,Per million inhabitants,4618.4
2019,Female,,Per million inhabitants,4346.2
2017,Female,,Per million inhabitants,3992.2
