Year,Value,Units,Series
2016,49.3,%,"Kultura-bidaietako gastuaren proportzioa, aisia, jolas eta oporretako bidaietako gastuaren aldean"
2017,46.7,%,"Kultura-bidaietako gastuaren proportzioa, aisia, jolas eta oporretako bidaietako gastuaren aldean"
2018,36.1,%,"Kultura-bidaietako gastuaren proportzioa, aisia, jolas eta oporretako bidaietako gastuaren aldean"
2019,31.6,%,"Kultura-bidaietako gastuaren proportzioa, aisia, jolas eta oporretako bidaietako gastuaren aldean"
2020,28.5,%,"Kultura-bidaietako gastuaren proportzioa, aisia, jolas eta oporretako bidaietako gastuaren aldean"
2021,32.5,%,"Kultura-bidaietako gastuaren proportzioa, aisia, jolas eta oporretako bidaietako gastuaren aldean"
2022,36.5,%,"Kultura-bidaietako gastuaren proportzioa, aisia, jolas eta oporretako bidaietako gastuaren aldean"
2023,42.0,%,"Kultura-bidaietako gastuaren proportzioa, aisia, jolas eta oporretako bidaietako gastuaren aldean"
2024,49.6,%,"Kultura-bidaietako gastuaren proportzioa, aisia, jolas eta oporretako bidaietako gastuaren aldean"
2016,26.7,%,Kultura-bidaietako gastuaren proportzioa bidaietako gastuarekiko
2017,26.5,%,Kultura-bidaietako gastuaren proportzioa bidaietako gastuarekiko
2018,21.6,%,Kultura-bidaietako gastuaren proportzioa bidaietako gastuarekiko
2019,19.4,%,Kultura-bidaietako gastuaren proportzioa bidaietako gastuarekiko
2020,13.5,%,Kultura-bidaietako gastuaren proportzioa bidaietako gastuarekiko
2021,18.3,%,Kultura-bidaietako gastuaren proportzioa bidaietako gastuarekiko
2022,20.8,%,Kultura-bidaietako gastuaren proportzioa bidaietako gastuarekiko
2023,25.0,%,Kultura-bidaietako gastuaren proportzioa bidaietako gastuarekiko
2024,28.9,%,Kultura-bidaietako gastuaren proportzioa bidaietako gastuarekiko
