Year,Value,Units,Series,GeoCode
2024,75.6,%,Okupazio-tasa,
2010,68.3,%,Okupazio-tasa,
2013,66.0,%,Okupazio-tasa,
2014,66.4,%,Okupazio-tasa,
2012,66.3,%,Okupazio-tasa,
2011,67.7,%,Okupazio-tasa,
2023,74.6,%,Okupazio-tasa,
2018,72.0,%,Okupazio-tasa,
2019,72.6,%,Okupazio-tasa,
2017,70.0,%,Okupazio-tasa,
2016,68.9,%,Okupazio-tasa,
2015,67.6,%,Okupazio-tasa,
2021,72.2,%,Okupazio-tasa,
2020,70.9,%,Okupazio-tasa,
2022,74.0,%,Okupazio-tasa,
2010,13.7,Ehuneko puntuak,Genero-arrakala okupazioan,
2012,8.8,Ehuneko puntuak,Genero-arrakala okupazioan,
2011,10.8,Ehuneko puntuak,Genero-arrakala okupazioan,
2024,7.1,Ehuneko puntuak,Genero-arrakala okupazioan,
2015,7.7,Ehuneko puntuak,Genero-arrakala okupazioan,
2019,8.3,Ehuneko puntuak,Genero-arrakala okupazioan,
2017,8.0,Ehuneko puntuak,Genero-arrakala okupazioan,
2022,7.2,Ehuneko puntuak,Genero-arrakala okupazioan,
2023,6.8,Ehuneko puntuak,Genero-arrakala okupazioan,
2020,6.8,Ehuneko puntuak,Genero-arrakala okupazioan,
2016,7.7,Ehuneko puntuak,Genero-arrakala okupazioan,
2013,8.4,Ehuneko puntuak,Genero-arrakala okupazioan,
2021,6.3,Ehuneko puntuak,Genero-arrakala okupazioan,
2014,7.6,Ehuneko puntuak,Genero-arrakala okupazioan,
2018,8.8,Ehuneko puntuak,Genero-arrakala okupazioan,
