Year,Value,Units,Series,GeoCode
2010,33.73,%,Larrialdietarako udal-plan bat duten udalerrien proportzioa,
2023,34.52,%,Larrialdietarako udal-plan bat duten udalerrien proportzioa,
2018,34.13,%,Larrialdietarako udal-plan bat duten udalerrien proportzioa,
2021,34.52,%,Larrialdietarako udal-plan bat duten udalerrien proportzioa,
2014,34.13,%,Larrialdietarako udal-plan bat duten udalerrien proportzioa,
2013,33.73,%,Larrialdietarako udal-plan bat duten udalerrien proportzioa,
2016,34.13,%,Larrialdietarako udal-plan bat duten udalerrien proportzioa,
2020,34.13,%,Larrialdietarako udal-plan bat duten udalerrien proportzioa,
2011,33.73,%,Larrialdietarako udal-plan bat duten udalerrien proportzioa,
2017,34.13,%,Larrialdietarako udal-plan bat duten udalerrien proportzioa,
2024,35.32,%,Larrialdietarako udal-plan bat duten udalerrien proportzioa,
2022,34.52,%,Larrialdietarako udal-plan bat duten udalerrien proportzioa,
2015,34.13,%,Larrialdietarako udal-plan bat duten udalerrien proportzioa,
2019,34.13,%,Larrialdietarako udal-plan bat duten udalerrien proportzioa,
2012,33.73,%,Larrialdietarako udal-plan bat duten udalerrien proportzioa,
2022,100.0,%,Lurraldeko larrialdi-plan batek estalitako udalerrien proportzioa,
2020,100.0,%,Lurraldeko larrialdi-plan batek estalitako udalerrien proportzioa,
2021,100.0,%,Lurraldeko larrialdi-plan batek estalitako udalerrien proportzioa,
2019,100.0,%,Lurraldeko larrialdi-plan batek estalitako udalerrien proportzioa,
2013,100.0,%,Lurraldeko larrialdi-plan batek estalitako udalerrien proportzioa,
2016,100.0,%,Lurraldeko larrialdi-plan batek estalitako udalerrien proportzioa,
2010,100.0,%,Lurraldeko larrialdi-plan batek estalitako udalerrien proportzioa,
2015,100.0,%,Lurraldeko larrialdi-plan batek estalitako udalerrien proportzioa,
2014,100.0,%,Lurraldeko larrialdi-plan batek estalitako udalerrien proportzioa,
2017,100.0,%,Lurraldeko larrialdi-plan batek estalitako udalerrien proportzioa,
2023,100.0,%,Lurraldeko larrialdi-plan batek estalitako udalerrien proportzioa,
2024,100.0,%,Lurraldeko larrialdi-plan batek estalitako udalerrien proportzioa,
2012,100.0,%,Lurraldeko larrialdi-plan batek estalitako udalerrien proportzioa,
2011,100.0,%,Lurraldeko larrialdi-plan batek estalitako udalerrien proportzioa,
2018,100.0,%,Lurraldeko larrialdi-plan batek estalitako udalerrien proportzioa,
