Year,Value,Units,Series
2015,0.07,1.000 biztanleko,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko
2017,0.06,1.000 biztanleko,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko
2014,0.07,1.000 biztanleko,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko
2022,0.06,1.000 biztanleko,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko
2020,0.05,1.000 biztanleko,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko
2010,0.09,1.000 biztanleko,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko
2012,0.07,1.000 biztanleko,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko
2018,0.08,1.000 biztanleko,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko
2011,0.08,1.000 biztanleko,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko
2021,0.05,1.000 biztanleko,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko
2016,0.07,1.000 biztanleko,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko
2013,0.07,1.000 biztanleko,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko
2023,0.06,1.000 biztanleko,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko
2019,0.07,1.000 biztanleko,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko
