Year,Value,Units,Series,GeoCode
2016,99.9,%,Edateko ura duten etxebizitzen proportzioa,
2013,99.9,%,Edateko ura duten etxebizitzen proportzioa,
2023,99.9,%,Edateko ura duten etxebizitzen proportzioa,
2010,99.9,%,Edateko ura duten etxebizitzen proportzioa,
2018,99.9,%,Edateko ura duten etxebizitzen proportzioa,
2022,99.9,%,Edateko ura duten etxebizitzen proportzioa,
2020,99.9,%,Edateko ura duten etxebizitzen proportzioa,
2021,99.9,%,Edateko ura duten etxebizitzen proportzioa,
2019,99.9,%,Edateko ura duten etxebizitzen proportzioa,
2014,99.9,%,Edateko ura duten etxebizitzen proportzioa,
2015,99.9,%,Edateko ura duten etxebizitzen proportzioa,
2023,99.8,%,Bainugela duten etxebizitzen proportzioa,
2013,99.6,%,Bainugela duten etxebizitzen proportzioa,
2015,99.6,%,Bainugela duten etxebizitzen proportzioa,
2010,99.5,%,Bainugela duten etxebizitzen proportzioa,
2016,99.6,%,Bainugela duten etxebizitzen proportzioa,
2014,99.6,%,Bainugela duten etxebizitzen proportzioa,
2019,99.6,%,Bainugela duten etxebizitzen proportzioa,
2021,99.8,%,Bainugela duten etxebizitzen proportzioa,
2022,99.8,%,Bainugela duten etxebizitzen proportzioa,
2018,99.6,%,Bainugela duten etxebizitzen proportzioa,
2020,99.8,%,Bainugela duten etxebizitzen proportzioa,
