Year,Value,Units,Series
2017,3.1,100.000 biztanleko,Zirkulazio-istripuek eragindako lesioen ondoriozko heriotza-tasa
2013,3.7,100.000 biztanleko,Zirkulazio-istripuek eragindako lesioen ondoriozko heriotza-tasa
2010,4.1,100.000 biztanleko,Zirkulazio-istripuek eragindako lesioen ondoriozko heriotza-tasa
2018,2.8,100.000 biztanleko,Zirkulazio-istripuek eragindako lesioen ondoriozko heriotza-tasa
2011,3.7,100.000 biztanleko,Zirkulazio-istripuek eragindako lesioen ondoriozko heriotza-tasa
2020,2.7,100.000 biztanleko,Zirkulazio-istripuek eragindako lesioen ondoriozko heriotza-tasa
2019,3.1,100.000 biztanleko,Zirkulazio-istripuek eragindako lesioen ondoriozko heriotza-tasa
2015,3.5,100.000 biztanleko,Zirkulazio-istripuek eragindako lesioen ondoriozko heriotza-tasa
2012,4.0,100.000 biztanleko,Zirkulazio-istripuek eragindako lesioen ondoriozko heriotza-tasa
2023,3.0,100.000 biztanleko,Zirkulazio-istripuek eragindako lesioen ondoriozko heriotza-tasa
2021,2.9,100.000 biztanleko,Zirkulazio-istripuek eragindako lesioen ondoriozko heriotza-tasa
2022,3.7,100.000 biztanleko,Zirkulazio-istripuek eragindako lesioen ondoriozko heriotza-tasa
2014,2.6,100.000 biztanleko,Zirkulazio-istripuek eragindako lesioen ondoriozko heriotza-tasa
2016,3.8,100.000 biztanleko,Zirkulazio-istripuek eragindako lesioen ondoriozko heriotza-tasa
