Year,Tecnología de acceso,Territorio histórico,Units,Value
2018,,,Por 100 personas,35.4
2013,,,Por 100 personas,29.0
2022,,,Por 100 personas,39.3
2010,,,Por 100 personas,24.6
2021,,,Por 100 personas,38.8
2014,,,Por 100 personas,30.6
2012,,,Por 100 personas,26.9
2016,,,Por 100 personas,33.4
2020,,,Por 100 personas,37.3
2017,,,Por 100 personas,33.9
2015,,,Por 100 personas,32.0
2019,,,Por 100 personas,36.5
2011,,,Por 100 personas,26.0
2019,,Araba/Álava,Por 100 personas,35.9
2010,,Araba/Álava,Por 100 personas,24.9
2015,,Araba/Álava,Por 100 personas,31.9
2011,,Araba/Álava,Por 100 personas,26.1
2017,,Araba/Álava,Por 100 personas,34.7
2021,,Araba/Álava,Por 100 personas,39.1
2014,,Araba/Álava,Por 100 personas,30.6
2018,,Araba/Álava,Por 100 personas,35.9
2016,,Araba/Álava,Por 100 personas,34.3
2012,,Araba/Álava,Por 100 personas,26.6
2020,,Araba/Álava,Por 100 personas,36.2
2022,,Araba/Álava,Por 100 personas,39.1
2013,,Araba/Álava,Por 100 personas,29.0
2015,,Bizkaia,Por 100 personas,31.6
2020,,Bizkaia,Por 100 personas,37.4
2018,,Bizkaia,Por 100 personas,35.0
2012,,Bizkaia,Por 100 personas,26.5
2011,,Bizkaia,Por 100 personas,25.7
2019,,Bizkaia,Por 100 personas,36.5
2017,,Bizkaia,Por 100 personas,32.8
2016,,Bizkaia,Por 100 personas,32.8
2014,,Bizkaia,Por 100 personas,30.1
2010,,Bizkaia,Por 100 personas,24.2
2021,,Bizkaia,Por 100 personas,38.5
2022,,Bizkaia,Por 100 personas,39.0
2013,,Bizkaia,Por 100 personas,28.7
2022,,Gipuzkoa,Por 100 personas,39.9
2014,,Gipuzkoa,Por 100 personas,31.4
2018,,Gipuzkoa,Por 100 personas,35.6
2012,,Gipuzkoa,Por 100 personas,27.6
2021,,Gipuzkoa,Por 100 personas,39.2
2019,,Gipuzkoa,Por 100 personas,36.7
2015,,Gipuzkoa,Por 100 personas,32.7
2017,,Gipuzkoa,Por 100 personas,35.2
2013,,Gipuzkoa,Por 100 personas,29.5
2020,,Gipuzkoa,Por 100 personas,37.5
2010,,Gipuzkoa,Por 100 personas,25.2
2016,,Gipuzkoa,Por 100 personas,33.9
