Year,Series,Units,Value
2011,Net Official Development Aid from regional and local governments,Millions of euros,67.21
2014,Net Official Development Aid from regional and local governments,Millions of euros,49.62
2017,Net Official Development Aid from regional and local governments,Millions of euros,65.96
2020,Net Official Development Aid from regional and local governments,Millions of euros,65.98
2010,Net Official Development Aid from regional and local governments,Millions of euros,70.73
2022,Net Official Development Aid from regional and local governments,Millions of euros,78.48
2015,Net Official Development Aid from regional and local governments,Millions of euros,49.43
2016,Net Official Development Aid from regional and local governments,Millions of euros,52.35
2021,Net Official Development Aid from regional and local governments,Millions of euros,73.9
2018,Net Official Development Aid from regional and local governments,Millions of euros,60.66
2012,Net Official Development Aid from regional and local governments,Millions of euros,61.89
2019,Net Official Development Aid from regional and local governments,Millions of euros,63.9
2013,Net Official Development Aid from regional and local governments,Millions of euros,40.98
2010,Net Official Development Aid from regional and local governments as a proportion of GDP,PT,0.11
2011,Net Official Development Aid from regional and local governments as a proportion of GDP,PT,0.1
2012,Net Official Development Aid from regional and local governments as a proportion of GDP,PT,0.09
2013,Net Official Development Aid from regional and local governments as a proportion of GDP,PT,0.06
2014,Net Official Development Aid from regional and local governments as a proportion of GDP,PT,0.07
2015,Net Official Development Aid from regional and local governments as a proportion of GDP,PT,0.07
2016,Net Official Development Aid from regional and local governments as a proportion of GDP,PT,0.07
2017,Net Official Development Aid from regional and local governments as a proportion of GDP,PT,0.09
2018,Net Official Development Aid from regional and local governments as a proportion of GDP,PT,0.08
2019,Net Official Development Aid from regional and local governments as a proportion of GDP,PT,0.08
2020,Net Official Development Aid from regional and local governments as a proportion of GDP,PT,0.09
2021,Net Official Development Aid from regional and local governments as a proportion of GDP,PT,0.09
2022,Net Official Development Aid from regional and local governments as a proportion of GDP,PT,0.09
