Year,Administración pública,Units,Value
2021,Administración autonómica y local,Euro per cápita,30.2
2017,Administración autonómica y local,Euro per cápita,25.7
2018,Administración autonómica y local,Euro per cápita,27.6
2019,Administración autonómica y local,Euro per cápita,29.2
2015,Administración autonómica y local,Euro per cápita,25.7
2020,Administración autonómica y local,Euro per cápita,29.2
2022,Administración autonómica y local,Euro per cápita,37.7
2016,Administración autonómica y local,Euro per cápita,24.7
2020,Administración autonómica,Euro per cápita,9.6
2017,Administración autonómica,Euro per cápita,7.9
2010,Administración autonómica,Euro per cápita,14.1
2016,Administración autonómica,Euro per cápita,7.1
2014,Administración autonómica,Euro per cápita,15.2
2019,Administración autonómica,Euro per cápita,8.6
2018,Administración autonómica,Euro per cápita,8.4
2013,Administración autonómica,Euro per cápita,6.4
2021,Administración autonómica,Euro per cápita,9.1
2022,Administración autonómica,Euro per cápita,12.7
2015,Administración autonómica,Euro per cápita,7.3
2011,Administración autonómica,Euro per cápita,10.6
2012,Administración autonómica,Euro per cápita,8.2
2015,Administración local,Euro per cápita,18.4
2016,Administración local,Euro per cápita,17.6
2017,Administración local,Euro per cápita,17.9
2018,Administración local,Euro per cápita,19.2
2019,Administración local,Euro per cápita,20.5
2020,Administración local,Euro per cápita,19.6
2021,Administración local,Euro per cápita,21.1
2022,Administración local,Euro per cápita,25.1
