Year,Territorio histórico,Units,Value
2013,,%,26.8
2010,,%,25.8
2017,,%,23.7
2012,,%,25.9
2022,,%,19.9
2018,,%,23.0
2014,,%,25.9
2011,,%,26.0
2019,,%,22.4
2021,,%,21.1
2016,,%,23.4
2020,,%,22.2
2015,,%,23.9
2015,Araba/Álava,%,17.0
2016,Araba/Álava,%,17.2
2013,Araba/Álava,%,19.0
2019,Araba/Álava,%,16.3
2010,Araba/Álava,%,20.6
2017,Araba/Álava,%,17.4
2014,Araba/Álava,%,18.6
2018,Araba/Álava,%,16.7
2020,Araba/Álava,%,16.0
2022,Araba/Álava,%,15.1
2011,Araba/Álava,%,19.5
2021,Araba/Álava,%,15.1
2012,Araba/Álava,%,18.6
2011,Bizkaia,%,29.8
2015,Bizkaia,%,26.9
2017,Bizkaia,%,26.0
2018,Bizkaia,%,25.7
2019,Bizkaia,%,25.0
2021,Bizkaia,%,22.9
2022,Bizkaia,%,19.5
2010,Bizkaia,%,29.0
2012,Bizkaia,%,30.5
2013,Bizkaia,%,31.6
2014,Bizkaia,%,30.2
2020,Bizkaia,%,25.1
2016,Bizkaia,%,25.7
2020,Gipuzkoa,%,23.1
2021,Gipuzkoa,%,22.7
2022,Gipuzkoa,%,22.9
2010,Gipuzkoa,%,25.3
2011,Gipuzkoa,%,26.0
2012,Gipuzkoa,%,25.6
2013,Gipuzkoa,%,27.0
2014,Gipuzkoa,%,26.2
2015,Gipuzkoa,%,25.3
2016,Gipuzkoa,%,24.9
2017,Gipuzkoa,%,25.3
2018,Gipuzkoa,%,24.1
2019,Gipuzkoa,%,23.3
