Year,Series,Lurralde historikoa,Units,Value
2018,Elikagaien ekoizle txikien batez besteko diru-sarrerak,,Euro konstanteak,7612.6
2020,Elikagaien ekoizle txikien batez besteko diru-sarrerak,,Euro konstanteak,3757.6
2019,Elikagaien ekoizle txikien batez besteko diru-sarrerak,,Euro konstanteak,7899.9
2016,Elikagaien ekoizle txikien batez besteko diru-sarrerak,,Euro konstanteak,8479.1
2015,Elikagaien ekoizle txikien batez besteko diru-sarrerak,,Euro konstanteak,7680.2
2017,Elikagaien ekoizle txikien batez besteko diru-sarrerak,,Euro konstanteak,6744.6
2021,Elikagaien ekoizle txikien batez besteko diru-sarrerak,,Euro konstanteak,4033.8
2016,Elikagaien ekoizle txikien batez besteko diru-sarrerak,Araba / Álava,Euro konstanteak,17907.0
2021,Elikagaien ekoizle txikien batez besteko diru-sarrerak,Araba / Álava,Euro konstanteak,7234.3
2017,Elikagaien ekoizle txikien batez besteko diru-sarrerak,Araba / Álava,Euro konstanteak,12241.1
2019,Elikagaien ekoizle txikien batez besteko diru-sarrerak,Araba / Álava,Euro konstanteak,12267.3
2020,Elikagaien ekoizle txikien batez besteko diru-sarrerak,Araba / Álava,Euro konstanteak,7637.6
2018,Elikagaien ekoizle txikien batez besteko diru-sarrerak,Araba / Álava,Euro konstanteak,14879.2
2015,Elikagaien ekoizle txikien batez besteko diru-sarrerak,Araba / Álava,Euro konstanteak,18898.2
2018,Elikagaien ekoizle txikien batez besteko diru-sarrerak,Bizkaia,Euro konstanteak,7334.5
2015,Elikagaien ekoizle txikien batez besteko diru-sarrerak,Bizkaia,Euro konstanteak,6274.2
2017,Elikagaien ekoizle txikien batez besteko diru-sarrerak,Bizkaia,Euro konstanteak,5406.1
2019,Elikagaien ekoizle txikien batez besteko diru-sarrerak,Bizkaia,Euro konstanteak,11525.0
2016,Elikagaien ekoizle txikien batez besteko diru-sarrerak,Bizkaia,Euro konstanteak,7118.4
2021,Elikagaien ekoizle txikien batez besteko diru-sarrerak,Bizkaia,Euro konstanteak,5118.8
2020,Elikagaien ekoizle txikien batez besteko diru-sarrerak,Bizkaia,Euro konstanteak,7641.5
2015,Elikagaien ekoizle txikien batez besteko diru-sarrerak,Gipuzkoa,Euro konstanteak,4877.0
2021,Elikagaien ekoizle txikien batez besteko diru-sarrerak,Gipuzkoa,Euro konstanteak,2926.6
2018,Elikagaien ekoizle txikien batez besteko diru-sarrerak,Gipuzkoa,Euro konstanteak,6386.2
2020,Elikagaien ekoizle txikien batez besteko diru-sarrerak,Gipuzkoa,Euro konstanteak,1816.6
2017,Elikagaien ekoizle txikien batez besteko diru-sarrerak,Gipuzkoa,Euro konstanteak,6196.0
2019,Elikagaien ekoizle txikien batez besteko diru-sarrerak,Gipuzkoa,Euro konstanteak,5670.4
2016,Elikagaien ekoizle txikien batez besteko diru-sarrerak,Gipuzkoa,Euro konstanteak,6939.4
2018,Elikagaien ekoizle handien batez besteko diru-sarrerak,,Euro konstanteak,15931.4
2015,Elikagaien ekoizle handien batez besteko diru-sarrerak,,Euro konstanteak,13529.1
