Year,Series,Lurralde historikoa,Units,Value
2012,BPGren urte arteko aldakuntza-tasa,,%,-1.9
2013,BPGren urte arteko aldakuntza-tasa,,%,-1.7
2021,BPGren urte arteko aldakuntza-tasa,,%,6.0
2015,BPGren urte arteko aldakuntza-tasa,,%,3.0
2020,BPGren urte arteko aldakuntza-tasa,,%,-9.6
2018,BPGren urte arteko aldakuntza-tasa,,%,3.1
2016,BPGren urte arteko aldakuntza-tasa,,%,3.3
2014,BPGren urte arteko aldakuntza-tasa,,%,1.7
2010,BPGren urte arteko aldakuntza-tasa,,%,0.7
2017,BPGren urte arteko aldakuntza-tasa,,%,2.8
2019,BPGren urte arteko aldakuntza-tasa,,%,2.3
2022,BPGren urte arteko aldakuntza-tasa,,%,5.4
2011,BPGren urte arteko aldakuntza-tasa,,%,0.3
2010,BPGren urte arteko aldakuntza-tasa,Araba / Álava,%,1.2
2011,BPGren urte arteko aldakuntza-tasa,Araba / Álava,%,0.8
2017,BPGren urte arteko aldakuntza-tasa,Araba / Álava,%,2.1
2021,BPGren urte arteko aldakuntza-tasa,Araba / Álava,%,6.0
2016,BPGren urte arteko aldakuntza-tasa,Araba / Álava,%,3.1
2014,BPGren urte arteko aldakuntza-tasa,Araba / Álava,%,2.0
2013,BPGren urte arteko aldakuntza-tasa,Araba / Álava,%,-1.7
2012,BPGren urte arteko aldakuntza-tasa,Araba / Álava,%,-2.3
2022,BPGren urte arteko aldakuntza-tasa,Araba / Álava,%,4.3
2019,BPGren urte arteko aldakuntza-tasa,Araba / Álava,%,1.9
2020,BPGren urte arteko aldakuntza-tasa,Araba / Álava,%,-10.4
2015,BPGren urte arteko aldakuntza-tasa,Araba / Álava,%,3.0
2018,BPGren urte arteko aldakuntza-tasa,Araba / Álava,%,2.2
2021,BPGren urte arteko aldakuntza-tasa,Bizkaia,%,6.1
2015,BPGren urte arteko aldakuntza-tasa,Bizkaia,%,2.8
2012,BPGren urte arteko aldakuntza-tasa,Bizkaia,%,-2.2
2020,BPGren urte arteko aldakuntza-tasa,Bizkaia,%,-9.2
2022,BPGren urte arteko aldakuntza-tasa,Bizkaia,%,6.5
2018,BPGren urte arteko aldakuntza-tasa,Bizkaia,%,2.9
2014,BPGren urte arteko aldakuntza-tasa,Bizkaia,%,1.4
2019,BPGren urte arteko aldakuntza-tasa,Bizkaia,%,2.2
2011,BPGren urte arteko aldakuntza-tasa,Bizkaia,%,0.2
2010,BPGren urte arteko aldakuntza-tasa,Bizkaia,%,0.6
2016,BPGren urte arteko aldakuntza-tasa,Bizkaia,%,3.5
2017,BPGren urte arteko aldakuntza-tasa,Bizkaia,%,3.0
2013,BPGren urte arteko aldakuntza-tasa,Bizkaia,%,-1.5
2015,BPGren urte arteko aldakuntza-tasa,Gipuzkoa,%,3.4
2012,BPGren urte arteko aldakuntza-tasa,Gipuzkoa,%,-1.3
2018,BPGren urte arteko aldakuntza-tasa,Gipuzkoa,%,3.7
2010,BPGren urte arteko aldakuntza-tasa,Gipuzkoa,%,0.6
2013,BPGren urte arteko aldakuntza-tasa,Gipuzkoa,%,-1.9
2016,BPGren urte arteko aldakuntza-tasa,Gipuzkoa,%,3.3
2022,BPGren urte arteko aldakuntza-tasa,Gipuzkoa,%,4.3
2011,BPGren urte arteko aldakuntza-tasa,Gipuzkoa,%,0.3
2019,BPGren urte arteko aldakuntza-tasa,Gipuzkoa,%,2.6
2014,BPGren urte arteko aldakuntza-tasa,Gipuzkoa,%,1.7
2020,BPGren urte arteko aldakuntza-tasa,Gipuzkoa,%,-10.0
2021,BPGren urte arteko aldakuntza-tasa,Gipuzkoa,%,6.0
2017,BPGren urte arteko aldakuntza-tasa,Gipuzkoa,%,2.8
2018,Langabezia-tasa,,%,10.5
2013,Langabezia-tasa,,%,15.1
2014,Langabezia-tasa,,%,16.1
2021,Langabezia-tasa,,%,10.0
2023,Langabezia-tasa,,%,7.8
2016,Langabezia-tasa,,%,13.8
2015,Langabezia-tasa,,%,15.7
2022,Langabezia-tasa,,%,8.6
2010,Langabezia-tasa,,%,9.2
2017,Langabezia-tasa,,%,11.6
2012,Langabezia-tasa,,%,11.8
2019,Langabezia-tasa,,%,9.8
