Year,Series,Sexua,Units,Value
2015,Malariaren intzidentzia 1.000 biztanleko,,1.000 biztanleko,0
2017,Malariaren intzidentzia 1.000 biztanleko,,1.000 biztanleko,0
2014,Malariaren intzidentzia 1.000 biztanleko,,1.000 biztanleko,0
2022,Malariaren intzidentzia 1.000 biztanleko,,1.000 biztanleko,0
2020,Malariaren intzidentzia 1.000 biztanleko,,1.000 biztanleko,0
2010,Malariaren intzidentzia 1.000 biztanleko,,1.000 biztanleko,0
2012,Malariaren intzidentzia 1.000 biztanleko,,1.000 biztanleko,0
2018,Malariaren intzidentzia 1.000 biztanleko,,1.000 biztanleko,0
2011,Malariaren intzidentzia 1.000 biztanleko,,1.000 biztanleko,0
2021,Malariaren intzidentzia 1.000 biztanleko,,1.000 biztanleko,0
2016,Malariaren intzidentzia 1.000 biztanleko,,1.000 biztanleko,0
2013,Malariaren intzidentzia 1.000 biztanleko,,1.000 biztanleko,0
2023,Malariaren intzidentzia 1.000 biztanleko,,1.000 biztanleko,0
2019,Malariaren intzidentzia 1.000 biztanleko,,1.000 biztanleko,0
2017,Malariaren intzidentzia 1.000 biztanleko,Emakumea,1.000 biztanleko,0
2014,Malariaren intzidentzia 1.000 biztanleko,Emakumea,1.000 biztanleko,0
2023,Malariaren intzidentzia 1.000 biztanleko,Emakumea,1.000 biztanleko,0
2016,Malariaren intzidentzia 1.000 biztanleko,Emakumea,1.000 biztanleko,0
2021,Malariaren intzidentzia 1.000 biztanleko,Emakumea,1.000 biztanleko,0
2011,Malariaren intzidentzia 1.000 biztanleko,Emakumea,1.000 biztanleko,0
2020,Malariaren intzidentzia 1.000 biztanleko,Emakumea,1.000 biztanleko,0
2022,Malariaren intzidentzia 1.000 biztanleko,Emakumea,1.000 biztanleko,0
2019,Malariaren intzidentzia 1.000 biztanleko,Emakumea,1.000 biztanleko,0
2010,Malariaren intzidentzia 1.000 biztanleko,Emakumea,1.000 biztanleko,0
2015,Malariaren intzidentzia 1.000 biztanleko,Emakumea,1.000 biztanleko,0
2013,Malariaren intzidentzia 1.000 biztanleko,Emakumea,1.000 biztanleko,0
2018,Malariaren intzidentzia 1.000 biztanleko,Emakumea,1.000 biztanleko,0
2012,Malariaren intzidentzia 1.000 biztanleko,Emakumea,1.000 biztanleko,0
2018,Malariaren intzidentzia 1.000 biztanleko,Gizona,1.000 biztanleko,0
2019,Malariaren intzidentzia 1.000 biztanleko,Gizona,1.000 biztanleko,0
2021,Malariaren intzidentzia 1.000 biztanleko,Gizona,1.000 biztanleko,0
2014,Malariaren intzidentzia 1.000 biztanleko,Gizona,1.000 biztanleko,0
2020,Malariaren intzidentzia 1.000 biztanleko,Gizona,1.000 biztanleko,0
2015,Malariaren intzidentzia 1.000 biztanleko,Gizona,1.000 biztanleko,0
2010,Malariaren intzidentzia 1.000 biztanleko,Gizona,1.000 biztanleko,0
2011,Malariaren intzidentzia 1.000 biztanleko,Gizona,1.000 biztanleko,0
2012,Malariaren intzidentzia 1.000 biztanleko,Gizona,1.000 biztanleko,0
2013,Malariaren intzidentzia 1.000 biztanleko,Gizona,1.000 biztanleko,0
2017,Malariaren intzidentzia 1.000 biztanleko,Gizona,1.000 biztanleko,0
2023,Malariaren intzidentzia 1.000 biztanleko,Gizona,1.000 biztanleko,0
2022,Malariaren intzidentzia 1.000 biztanleko,Gizona,1.000 biztanleko,0
2016,Malariaren intzidentzia 1.000 biztanleko,Gizona,1.000 biztanleko,0
