Year,Lurralde historikoa,Units,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,Value
2014,,%,,,,,,,,,,,,1.8
2010,,%,,,,,,,,,,,,0.3
2018,,%,,,,,,,,,,,,2.8
2013,,%,,,,,,,,,,,,-1.6
2023,,%,,,,,,,,,,,,2.2
2019,,%,,,,,,,,,,,,1.8
2015,,%,,,,,,,,,,,,2.9
2011,,%,,,,,,,,,,,,-0.1
2020,,%,,,,,,,,,,,,-9.6
2022,,%,,,,,,,,,,,,5.6
2017,,%,,,,,,,,,,,,2.5
2021,,%,,,,,,,,,,,,6.4
2016,,%,,,,,,,,,,,,3.3
2016,Araba / Álava,%,,,,,,,,,,,,2.8
2017,Araba / Álava,%,,,,,,,,,,,,1.6
2014,Araba / Álava,%,,,,,,,,,,,,1.8
2020,Araba / Álava,%,,,,,,,,,,,,-10.7
2010,Araba / Álava,%,,,,,,,,,,,,0.2
2018,Araba / Álava,%,,,,,,,,,,,,1.5
2015,Araba / Álava,%,,,,,,,,,,,,2.5
2019,Araba / Álava,%,,,,,,,,,,,,1.3
2021,Araba / Álava,%,,,,,,,,,,,,7.3
2023,Araba / Álava,%,,,,,,,,,,,,2.2
2011,Araba / Álava,%,,,,,,,,,,,,-0.1
2022,Araba / Álava,%,,,,,,,,,,,,3.9
2013,Araba / Álava,%,,,,,,,,,,,,-1.5
2011,Bizkaia,%,,,,,,,,,,,,0.0
2016,Bizkaia,%,,,,,,,,,,,,3.6
2018,Bizkaia,%,,,,,,,,,,,,2.8
2019,Bizkaia,%,,,,,,,,,,,,1.8
2020,Bizkaia,%,,,,,,,,,,,,-8.8
2022,Bizkaia,%,,,,,,,,,,,,6.9
2023,Bizkaia,%,,,,,,,,,,,,1.9
2010,Bizkaia,%,,,,,,,,,,,,0.4
2013,Bizkaia,%,,,,,,,,,,,,-1.2
2014,Bizkaia,%,,,,,,,,,,,,1.8
2015,Bizkaia,%,,,,,,,,,,,,2.8
2021,Bizkaia,%,,,,,,,,,,,,6.3
2017,Bizkaia,%,,,,,,,,,,,,2.9
2021,Gipuzkoa,%,,,,,,,,,,,,6.2
2022,Gipuzkoa,%,,,,,,,,,,,,4.6
2023,Gipuzkoa,%,,,,,,,,,,,,2.6
2010,Gipuzkoa,%,,,,,,,,,,,,0.3
2011,Gipuzkoa,%,,,,,,,,,,,,-0.3
2013,Gipuzkoa,%,,,,,,,,,,,,-2.2
2014,Gipuzkoa,%,,,,,,,,,,,,1.6
2015,Gipuzkoa,%,,,,,,,,,,,,3.3
2016,Gipuzkoa,%,,,,,,,,,,,,3.1
2017,Gipuzkoa,%,,,,,,,,,,,,2.4
2018,Gipuzkoa,%,,,,,,,,,,,,3.5
2019,Gipuzkoa,%,,,,,,,,,,,,2.2
2020,Gipuzkoa,%,,,,,,,,,,,,-10.1
