Year,Okupazioa,Lurralde historikoa,Units,Value
2018,Zuzendaritza-kargua,,%,35.8
2022,Zuzendaritza-kargua,,%,32.3
2021,Zuzendaritza-kargua,,%,32.3
2017,Zuzendaritza-kargua,,%,35.6
2015,Zuzendaritza-kargua,,%,36.7
2012,Zuzendaritza-kargua,,%,29.0
2011,Zuzendaritza-kargua,,%,31.7
2013,Zuzendaritza-kargua,,%,31.3
2019,Zuzendaritza-kargua,,%,34.3
2023,Zuzendaritza-kargua,,%,33.9
2024,Zuzendaritza-kargua,,%,34.5
2014,Zuzendaritza-kargua,,%,28.7
2010,Zuzendaritza-kargua,,%,28.8
2020,Zuzendaritza-kargua,,%,31.8
2016,Zuzendaritza-kargua,,%,34.7
2011,Zuzendaritza-kargua,Araba / Álava,%,25.8
2016,Zuzendaritza-kargua,Araba / Álava,%,27.6
2019,Zuzendaritza-kargua,Araba / Álava,%,28.4
2012,Zuzendaritza-kargua,Araba / Álava,%,24.8
2023,Zuzendaritza-kargua,Araba / Álava,%,36.5
2024,Zuzendaritza-kargua,Araba / Álava,%,37.6
2018,Zuzendaritza-kargua,Araba / Álava,%,39.4
2015,Zuzendaritza-kargua,Araba / Álava,%,35.2
2010,Zuzendaritza-kargua,Araba / Álava,%,28.4
2021,Zuzendaritza-kargua,Araba / Álava,%,28.8
2020,Zuzendaritza-kargua,Araba / Álava,%,27.0
2017,Zuzendaritza-kargua,Araba / Álava,%,36.2
2013,Zuzendaritza-kargua,Araba / Álava,%,29.3
2022,Zuzendaritza-kargua,Araba / Álava,%,31.3
2014,Zuzendaritza-kargua,Araba / Álava,%,26.5
2013,Zuzendaritza-kargua,Bizkaia,%,30.6
2023,Zuzendaritza-kargua,Bizkaia,%,35.7
2020,Zuzendaritza-kargua,Bizkaia,%,31.5
2018,Zuzendaritza-kargua,Bizkaia,%,35.5
2015,Zuzendaritza-kargua,Bizkaia,%,37.1
2022,Zuzendaritza-kargua,Bizkaia,%,34.5
2021,Zuzendaritza-kargua,Bizkaia,%,30.2
2024,Zuzendaritza-kargua,Bizkaia,%,33.6
2012,Zuzendaritza-kargua,Bizkaia,%,29.4
2014,Zuzendaritza-kargua,Bizkaia,%,26.8
2019,Zuzendaritza-kargua,Bizkaia,%,35.3
2016,Zuzendaritza-kargua,Bizkaia,%,34.7
2011,Zuzendaritza-kargua,Bizkaia,%,33.2
2010,Zuzendaritza-kargua,Bizkaia,%,30.4
2017,Zuzendaritza-kargua,Bizkaia,%,35.5
2012,Zuzendaritza-kargua,Gipuzkoa,%,30.4
2024,Zuzendaritza-kargua,Gipuzkoa,%,34.8
2022,Zuzendaritza-kargua,Gipuzkoa,%,29.8
2016,Zuzendaritza-kargua,Gipuzkoa,%,38.6
2019,Zuzendaritza-kargua,Gipuzkoa,%,34.7
2011,Zuzendaritza-kargua,Gipuzkoa,%,31.0
2018,Zuzendaritza-kargua,Gipuzkoa,%,35.0
2023,Zuzendaritza-kargua,Gipuzkoa,%,30.3
2014,Zuzendaritza-kargua,Gipuzkoa,%,32.5
2010,Zuzendaritza-kargua,Gipuzkoa,%,26.4
2020,Zuzendaritza-kargua,Gipuzkoa,%,34.3
2021,Zuzendaritza-kargua,Gipuzkoa,%,37.0
2017,Zuzendaritza-kargua,Gipuzkoa,%,35.4
2015,Zuzendaritza-kargua,Gipuzkoa,%,36.6
2013,Zuzendaritza-kargua,Gipuzkoa,%,33.3
