Year,Sexua,Lurralde historikoa,Units,Value
2011,,,100.000 biztanleko,7.9
2010,,,100.000 biztanleko,6.0
2020,,,100.000 biztanleko,8.4
2014,,,100.000 biztanleko,8.6
2013,,,100.000 biztanleko,8.2
2024,,,100.000 biztanleko,7.7
2021,,,100.000 biztanleko,6.8
2019,,,100.000 biztanleko,6.6
2023,,,100.000 biztanleko,6.4
2016,,,100.000 biztanleko,8.3
2015,,,100.000 biztanleko,7.7
2018,,,100.000 biztanleko,7.5
2012,,,100.000 biztanleko,8.3
2017,,,100.000 biztanleko,8.3
2022,,,100.000 biztanleko,7.9
2015,,Araba / Álava,100.000 biztanleko,6.5
2023,,Araba / Álava,100.000 biztanleko,7.5
2016,,Araba / Álava,100.000 biztanleko,7.1
2021,,Araba / Álava,100.000 biztanleko,8.5
2024,,Araba / Álava,100.000 biztanleko,7.5
2017,,Araba / Álava,100.000 biztanleko,7.1
2018,,Araba / Álava,100.000 biztanleko,7.3
2019,,Araba / Álava,100.000 biztanleko,6.7
2011,,Araba / Álava,100.000 biztanleko,6.6
2012,,Araba / Álava,100.000 biztanleko,6.5
2014,,Araba / Álava,100.000 biztanleko,6.9
2020,,Araba / Álava,100.000 biztanleko,8.2
2013,,Araba / Álava,100.000 biztanleko,8.1
2010,,Araba / Álava,100.000 biztanleko,8.8
2022,,Araba / Álava,100.000 biztanleko,9.3
2015,,Bizkaia,100.000 biztanleko,8.2
2014,,Bizkaia,100.000 biztanleko,9.5
2017,,Bizkaia,100.000 biztanleko,8.6
2010,,Bizkaia,100.000 biztanleko,5.4
2023,,Bizkaia,100.000 biztanleko,5.3
2012,,Bizkaia,100.000 biztanleko,8.2
2022,,Bizkaia,100.000 biztanleko,8.0
2024,,Bizkaia,100.000 biztanleko,8.3
2016,,Bizkaia,100.000 biztanleko,7.6
2021,,Bizkaia,100.000 biztanleko,6.2
2013,,Bizkaia,100.000 biztanleko,7.8
2019,,Bizkaia,100.000 biztanleko,6.4
2018,,Bizkaia,100.000 biztanleko,7.7
2020,,Bizkaia,100.000 biztanleko,8.7
2011,,Bizkaia,100.000 biztanleko,7.8
2018,,Gipuzkoa,100.000 biztanleko,7.1
2021,,Gipuzkoa,100.000 biztanleko,6.8
2019,,Gipuzkoa,100.000 biztanleko,7.0
2015,,Gipuzkoa,100.000 biztanleko,7.3
2010,,Gipuzkoa,100.000 biztanleko,5.8
2011,,Gipuzkoa,100.000 biztanleko,8.7
2020,,Gipuzkoa,100.000 biztanleko,7.9
2012,,Gipuzkoa,100.000 biztanleko,9.1
2014,,Gipuzkoa,100.000 biztanleko,7.8
2022,,Gipuzkoa,100.000 biztanleko,7.2
2016,,Gipuzkoa,100.000 biztanleko,9.8
2023,,Gipuzkoa,100.000 biztanleko,7.6
2013,,Gipuzkoa,100.000 biztanleko,8.9
2024,,Gipuzkoa,100.000 biztanleko,6.9
2017,,Gipuzkoa,100.000 biztanleko,8.4
2015,Emakumea,,100.000 biztanleko,3.6
2013,Emakumea,,100.000 biztanleko,4.5
2022,Emakumea,,100.000 biztanleko,4.4
2016,Emakumea,,100.000 biztanleko,4.2
2012,Emakumea,,100.000 biztanleko,4.2
2014,Emakumea,,100.000 biztanleko,5.6
2018,Emakumea,,100.000 biztanleko,4.3
2017,Emakumea,,100.000 biztanleko,4.2
2011,Emakumea,,100.000 biztanleko,4.4
2024,Emakumea,,100.000 biztanleko,4.7
2021,Emakumea,,100.000 biztanleko,3.6
2010,Emakumea,,100.000 biztanleko,2.3
2023,Emakumea,,100.000 biztanleko,3.2
2019,Emakumea,,100.000 biztanleko,2.6
2020,Emakumea,,100.000 biztanleko,4.0
2024,Emakumea,Araba / Álava,100.000 biztanleko,7.0
2022,Emakumea,Araba / Álava,100.000 biztanleko,4.7
2015,Emakumea,Araba / Álava,100.000 biztanleko,4.3
2020,Emakumea,Araba / Álava,100.000 biztanleko,4.2
2019,Emakumea,Araba / Álava,100.000 biztanleko,1.2
2017,Emakumea,Araba / Álava,100.000 biztanleko,6.1
2013,Emakumea,Araba / Álava,100.000 biztanleko,5.0
2011,Emakumea,Araba / Álava,100.000 biztanleko,3.7
2023,Emakumea,Araba / Álava,100.000 biztanleko,4.1
2012,Emakumea,Araba / Álava,100.000 biztanleko,2.5
2010,Emakumea,Araba / Álava,100.000 biztanleko,2.5
2014,Emakumea,Araba / Álava,100.000 biztanleko,3.7
2016,Emakumea,Araba / Álava,100.000 biztanleko,2.4
2021,Emakumea,Araba / Álava,100.000 biztanleko,5.4
2018,Emakumea,Araba / Álava,100.000 biztanleko,4.2
2023,Emakumea,Bizkaia,100.000 biztanleko,3.4
2024,Emakumea,Bizkaia,100.000 biztanleko,4.5
2021,Emakumea,Bizkaia,100.000 biztanleko,3.9
2020,Emakumea,Bizkaia,100.000 biztanleko,3.7
2017,Emakumea,Bizkaia,100.000 biztanleko,4.1
2019,Emakumea,Bizkaia,100.000 biztanleko,3.0
2018,Emakumea,Bizkaia,100.000 biztanleko,4.1
2015,Emakumea,Bizkaia,100.000 biztanleko,3.6
2013,Emakumea,Bizkaia,100.000 biztanleko,3.9
2012,Emakumea,Bizkaia,100.000 biztanleko,5.4
2011,Emakumea,Bizkaia,100.000 biztanleko,4.5
2014,Emakumea,Bizkaia,100.000 biztanleko,6.4
2010,Emakumea,Bizkaia,100.000 biztanleko,2.5
2022,Emakumea,Bizkaia,100.000 biztanleko,4.4
2016,Emakumea,Bizkaia,100.000 biztanleko,4.2
2023,Emakumea,Gipuzkoa,100.000 biztanleko,2.4
2022,Emakumea,Gipuzkoa,100.000 biztanleko,4.4
2021,Emakumea,Gipuzkoa,100.000 biztanleko,2.5
2020,Emakumea,Gipuzkoa,100.000 biztanleko,4.3
2019,Emakumea,Gipuzkoa,100.000 biztanleko,2.4
2018,Emakumea,Gipuzkoa,100.000 biztanleko,4.6
2017,Emakumea,Gipuzkoa,100.000 biztanleko,3.6
2016,Emakumea,Gipuzkoa,100.000 biztanleko,5.0
2010,Emakumea,Gipuzkoa,100.000 biztanleko,1.7
2015,Emakumea,Gipuzkoa,100.000 biztanleko,3.3
2014,Emakumea,Gipuzkoa,100.000 biztanleko,5.3
2013,Emakumea,Gipuzkoa,100.000 biztanleko,5.3
2012,Emakumea,Gipuzkoa,100.000 biztanleko,3.1
2011,Emakumea,Gipuzkoa,100.000 biztanleko,4.5
2024,Emakumea,Gipuzkoa,100.000 biztanleko,4.1
2012,Gizona,,100.000 biztanleko,12.5
2015,Gizona,,100.000 biztanleko,12.0
2022,Gizona,,100.000 biztanleko,11.7
2020,Gizona,,100.000 biztanleko,13.0
2013,Gizona,,100.000 biztanleko,12.1
2021,Gizona,,100.000 biztanleko,10.1
2016,Gizona,,100.000 biztanleko,12.6
2018,Gizona,,100.000 biztanleko,10.9
2019,Gizona,,100.000 biztanleko,10.9
2011,Gizona,,100.000 biztanleko,11.6
2014,Gizona,,100.000 biztanleko,11.6
2023,Gizona,,100.000 biztanleko,9.8
2024,Gizona,,100.000 biztanleko,10.9
2017,Gizona,,100.000 biztanleko,12.7
2010,Gizona,,100.000 biztanleko,10.0
2024,Gizona,Araba / Álava,100.000 biztanleko,7.9
2016,Gizona,Araba / Álava,100.000 biztanleko,11.9
2019,Gizona,Araba / Álava,100.000 biztanleko,12.4
2023,Gizona,Araba / Álava,100.000 biztanleko,11.0
2022,Gizona,Araba / Álava,100.000 biztanleko,14.1
2012,Gizona,Araba / Álava,100.000 biztanleko,10.6
2015,Gizona,Araba / Álava,100.000 biztanleko,8.8
2021,Gizona,Araba / Álava,100.000 biztanleko,11.7
2020,Gizona,Araba / Álava,100.000 biztanleko,12.3
2010,Gizona,Araba / Álava,100.000 biztanleko,15.1
2017,Gizona,Araba / Álava,100.000 biztanleko,8.1
2014,Gizona,Araba / Álava,100.000 biztanleko,10.1
2018,Gizona,Araba / Álava,100.000 biztanleko,10.6
