Year,Series,Sexua,Lurralde historikoa,Units,Value
2013,Lesio okupazional hilgarriak,,,100.000 langileko,0.7
2021,Lesio okupazional hilgarriak,,,100.000 langileko,0.4
2018,Lesio okupazional hilgarriak,,,100.000 langileko,0.3
2019,Lesio okupazional hilgarriak,,,100.000 langileko,0.4
2017,Lesio okupazional hilgarriak,,,100.000 langileko,0.8
2016,Lesio okupazional hilgarriak,,,100.000 langileko,0.7
2022,Lesio okupazional hilgarriak,,,100.000 langileko,0.5
2015,Lesio okupazional hilgarriak,,,100.000 langileko,0.6
2020,Lesio okupazional hilgarriak,,,100.000 langileko,0.6
2014,Lesio okupazional hilgarriak,,,100.000 langileko,0.2
2024,Lesio okupazional hilgarriak,,,100.000 langileko,0.5
2023,Lesio okupazional hilgarriak,,,100.000 langileko,0.4
2016,Lesio okupazional hilgarriak,,Araba / Álava,100.000 langileko,0.7
2022,Lesio okupazional hilgarriak,,Araba / Álava,100.000 langileko,0.7
2023,Lesio okupazional hilgarriak,,Araba / Álava,100.000 langileko,0.0
2017,Lesio okupazional hilgarriak,,Araba / Álava,100.000 langileko,1.4
2021,Lesio okupazional hilgarriak,,Araba / Álava,100.000 langileko,0.7
2013,Lesio okupazional hilgarriak,,Araba / Álava,100.000 langileko,0.8
2019,Lesio okupazional hilgarriak,,Araba / Álava,100.000 langileko,0.7
2014,Lesio okupazional hilgarriak,,Araba / Álava,100.000 langileko,0.0
2015,Lesio okupazional hilgarriak,,Araba / Álava,100.000 langileko,0.0
2018,Lesio okupazional hilgarriak,,Araba / Álava,100.000 langileko,0.7
2024,Lesio okupazional hilgarriak,,Araba / Álava,100.000 langileko,0.7
2020,Lesio okupazional hilgarriak,,Araba / Álava,100.000 langileko,0.7
2014,Lesio okupazional hilgarriak,,Bizkaia,100.000 langileko,0.2
2021,Lesio okupazional hilgarriak,,Bizkaia,100.000 langileko,0.4
2017,Lesio okupazional hilgarriak,,Bizkaia,100.000 langileko,0.4
2013,Lesio okupazional hilgarriak,,Bizkaia,100.000 langileko,0.7
2016,Lesio okupazional hilgarriak,,Bizkaia,100.000 langileko,0.9
2019,Lesio okupazional hilgarriak,,Bizkaia,100.000 langileko,0.2
2022,Lesio okupazional hilgarriak,,Bizkaia,100.000 langileko,0.6
2024,Lesio okupazional hilgarriak,,Bizkaia,100.000 langileko,0.4
2018,Lesio okupazional hilgarriak,,Bizkaia,100.000 langileko,0.2
2015,Lesio okupazional hilgarriak,,Bizkaia,100.000 langileko,0.2
2020,Lesio okupazional hilgarriak,,Bizkaia,100.000 langileko,0.4
2023,Lesio okupazional hilgarriak,,Bizkaia,100.000 langileko,0.4
2016,Lesio okupazional hilgarriak,,Gipuzkoa,100.000 langileko,0.3
2020,Lesio okupazional hilgarriak,,Gipuzkoa,100.000 langileko,1.0
2015,Lesio okupazional hilgarriak,,Gipuzkoa,100.000 langileko,1.3
2017,Lesio okupazional hilgarriak,,Gipuzkoa,100.000 langileko,1.0
2018,Lesio okupazional hilgarriak,,Gipuzkoa,100.000 langileko,0.3
2013,Lesio okupazional hilgarriak,,Gipuzkoa,100.000 langileko,0.7
2019,Lesio okupazional hilgarriak,,Gipuzkoa,100.000 langileko,0.6
2014,Lesio okupazional hilgarriak,,Gipuzkoa,100.000 langileko,0.3
2021,Lesio okupazional hilgarriak,,Gipuzkoa,100.000 langileko,0.3
2024,Lesio okupazional hilgarriak,,Gipuzkoa,100.000 langileko,0.6
2023,Lesio okupazional hilgarriak,,Gipuzkoa,100.000 langileko,0.6
2022,Lesio okupazional hilgarriak,,Gipuzkoa,100.000 langileko,0.3
2017,Lesio okupazional hilgarriak,Emakumea,,100.000 langileko,0.2
2020,Lesio okupazional hilgarriak,Emakumea,,100.000 langileko,0.2
2013,Lesio okupazional hilgarriak,Emakumea,,100.000 langileko,0.0
2019,Lesio okupazional hilgarriak,Emakumea,,100.000 langileko,0.0
2022,Lesio okupazional hilgarriak,Emakumea,,100.000 langileko,0.4
2023,Lesio okupazional hilgarriak,Emakumea,,100.000 langileko,0.0
2016,Lesio okupazional hilgarriak,Emakumea,,100.000 langileko,0.2
2018,Lesio okupazional hilgarriak,Emakumea,,100.000 langileko,0.0
2015,Lesio okupazional hilgarriak,Emakumea,,100.000 langileko,0.2
2024,Lesio okupazional hilgarriak,Emakumea,,100.000 langileko,0.2
2021,Lesio okupazional hilgarriak,Emakumea,,100.000 langileko,0.2
2014,Lesio okupazional hilgarriak,Emakumea,,100.000 langileko,0.0
2023,Lesio okupazional hilgarriak,Emakumea,Araba / Álava,100.000 langileko,0.0
2024,Lesio okupazional hilgarriak,Emakumea,Araba / Álava,100.000 langileko,0.0
2013,Lesio okupazional hilgarriak,Emakumea,Araba / Álava,100.000 langileko,0.0
2019,Lesio okupazional hilgarriak,Emakumea,Araba / Álava,100.000 langileko,0.0
2018,Lesio okupazional hilgarriak,Emakumea,Araba / Álava,100.000 langileko,0.0
2020,Lesio okupazional hilgarriak,Emakumea,Araba / Álava,100.000 langileko,0.0
2022,Lesio okupazional hilgarriak,Emakumea,Araba / Álava,100.000 langileko,0.0
2015,Lesio okupazional hilgarriak,Emakumea,Araba / Álava,100.000 langileko,0.0
2017,Lesio okupazional hilgarriak,Emakumea,Araba / Álava,100.000 langileko,1.6
2014,Lesio okupazional hilgarriak,Emakumea,Araba / Álava,100.000 langileko,0.0
2021,Lesio okupazional hilgarriak,Emakumea,Araba / Álava,100.000 langileko,1.5
2016,Lesio okupazional hilgarriak,Emakumea,Araba / Álava,100.000 langileko,0.0
2013,Lesio okupazional hilgarriak,Emakumea,Bizkaia,100.000 langileko,0.0
2024,Lesio okupazional hilgarriak,Emakumea,Bizkaia,100.000 langileko,0.0
2020,Lesio okupazional hilgarriak,Emakumea,Bizkaia,100.000 langileko,0.0
2023,Lesio okupazional hilgarriak,Emakumea,Bizkaia,100.000 langileko,0.0
2015,Lesio okupazional hilgarriak,Emakumea,Bizkaia,100.000 langileko,0.0
2017,Lesio okupazional hilgarriak,Emakumea,Bizkaia,100.000 langileko,0.0
2018,Lesio okupazional hilgarriak,Emakumea,Bizkaia,100.000 langileko,0.0
2016,Lesio okupazional hilgarriak,Emakumea,Bizkaia,100.000 langileko,0.4
2014,Lesio okupazional hilgarriak,Emakumea,Bizkaia,100.000 langileko,0.0
2021,Lesio okupazional hilgarriak,Emakumea,Bizkaia,100.000 langileko,0.0
2022,Lesio okupazional hilgarriak,Emakumea,Bizkaia,100.000 langileko,0.4
2019,Lesio okupazional hilgarriak,Emakumea,Bizkaia,100.000 langileko,0.0
2018,Lesio okupazional hilgarriak,Emakumea,Gipuzkoa,100.000 langileko,0.0
2019,Lesio okupazional hilgarriak,Emakumea,Gipuzkoa,100.000 langileko,0.0
2024,Lesio okupazional hilgarriak,Emakumea,Gipuzkoa,100.000 langileko,0.6
2023,Lesio okupazional hilgarriak,Emakumea,Gipuzkoa,100.000 langileko,0.0
2016,Lesio okupazional hilgarriak,Emakumea,Gipuzkoa,100.000 langileko,0.0
2021,Lesio okupazional hilgarriak,Emakumea,Gipuzkoa,100.000 langileko,0.0
2020,Lesio okupazional hilgarriak,Emakumea,Gipuzkoa,100.000 langileko,0.7
2017,Lesio okupazional hilgarriak,Emakumea,Gipuzkoa,100.000 langileko,0.0
2022,Lesio okupazional hilgarriak,Emakumea,Gipuzkoa,100.000 langileko,0.7
2015,Lesio okupazional hilgarriak,Emakumea,Gipuzkoa,100.000 langileko,0.7
2014,Lesio okupazional hilgarriak,Emakumea,Gipuzkoa,100.000 langileko,0.0
2013,Lesio okupazional hilgarriak,Emakumea,Gipuzkoa,100.000 langileko,0.0
2014,Lesio okupazional hilgarriak,Gizona,,100.000 langileko,0.4
2013,Lesio okupazional hilgarriak,Gizona,,100.000 langileko,1.3
2020,Lesio okupazional hilgarriak,Gizona,,100.000 langileko,1.0
2024,Lesio okupazional hilgarriak,Gizona,,100.000 langileko,0.8
2023,Lesio okupazional hilgarriak,Gizona,,100.000 langileko,0.8
2022,Lesio okupazional hilgarriak,Gizona,,100.000 langileko,0.6
2021,Lesio okupazional hilgarriak,Gizona,,100.000 langileko,0.6
2019,Lesio okupazional hilgarriak,Gizona,,100.000 langileko,0.8
2016,Lesio okupazional hilgarriak,Gizona,,100.000 langileko,1.0
2018,Lesio okupazional hilgarriak,Gizona,,100.000 langileko,0.6
2017,Lesio okupazional hilgarriak,Gizona,,100.000 langileko,1.2
2015,Lesio okupazional hilgarriak,Gizona,,100.000 langileko,0.8
2015,Lesio okupazional hilgarriak,Gizona,Araba / Álava,100.000 langileko,0.0
2021,Lesio okupazional hilgarriak,Gizona,Araba / Álava,100.000 langileko,0.0
2014,Lesio okupazional hilgarriak,Gizona,Araba / Álava,100.000 langileko,0.0
2016,Lesio okupazional hilgarriak,Gizona,Araba / Álava,100.000 langileko,1.4
2020,Lesio okupazional hilgarriak,Gizona,Araba / Álava,100.000 langileko,1.3
2022,Lesio okupazional hilgarriak,Gizona,Araba / Álava,100.000 langileko,1.3
2017,Lesio okupazional hilgarriak,Gizona,Araba / Álava,100.000 langileko,1.3
2023,Lesio okupazional hilgarriak,Gizona,Araba / Álava,100.000 langileko,0.0
2024,Lesio okupazional hilgarriak,Gizona,Araba / Álava,100.000 langileko,1.2
2019,Lesio okupazional hilgarriak,Gizona,Araba / Álava,100.000 langileko,1.3
2018,Lesio okupazional hilgarriak,Gizona,Araba / Álava,100.000 langileko,1.3
2013,Lesio okupazional hilgarriak,Gizona,Araba / Álava,100.000 langileko,1.4
2013,Lesio okupazional hilgarriak,Gizona,Bizkaia,100.000 langileko,1.2
2019,Lesio okupazional hilgarriak,Gizona,Bizkaia,100.000 langileko,0.4
2024,Lesio okupazional hilgarriak,Gizona,Bizkaia,100.000 langileko,0.8
2021,Lesio okupazional hilgarriak,Gizona,Bizkaia,100.000 langileko,0.8
2018,Lesio okupazional hilgarriak,Gizona,Bizkaia,100.000 langileko,0.4
2023,Lesio okupazional hilgarriak,Gizona,Bizkaia,100.000 langileko,0.8
2022,Lesio okupazional hilgarriak,Gizona,Bizkaia,100.000 langileko,0.8
2017,Lesio okupazional hilgarriak,Gizona,Bizkaia,100.000 langileko,0.8
2020,Lesio okupazional hilgarriak,Gizona,Bizkaia,100.000 langileko,0.8
2016,Lesio okupazional hilgarriak,Gizona,Bizkaia,100.000 langileko,1.2
2015,Lesio okupazional hilgarriak,Gizona,Bizkaia,100.000 langileko,0.4
2014,Lesio okupazional hilgarriak,Gizona,Bizkaia,100.000 langileko,0.4
2020,Lesio okupazional hilgarriak,Gizona,Gipuzkoa,100.000 langileko,1.2
2016,Lesio okupazional hilgarriak,Gizona,Gipuzkoa,100.000 langileko,0.6
2023,Lesio okupazional hilgarriak,Gizona,Gipuzkoa,100.000 langileko,1.2
2013,Lesio okupazional hilgarriak,Gizona,Gipuzkoa,100.000 langileko,1.3
2021,Lesio okupazional hilgarriak,Gizona,Gipuzkoa,100.000 langileko,0.6
2022,Lesio okupazional hilgarriak,Gizona,Gipuzkoa,100.000 langileko,0.0
2017,Lesio okupazional hilgarriak,Gizona,Gipuzkoa,100.000 langileko,1.8
2019,Lesio okupazional hilgarriak,Gizona,Gipuzkoa,100.000 langileko,1.2
2014,Lesio okupazional hilgarriak,Gizona,Gipuzkoa,100.000 langileko,0.6
2018,Lesio okupazional hilgarriak,Gizona,Gipuzkoa,100.000 langileko,0.6
2024,Lesio okupazional hilgarriak,Gizona,Gipuzkoa,100.000 langileko,0.6
2015,Lesio okupazional hilgarriak,Gizona,Gipuzkoa,100.000 langileko,1.9
2018,Lesio okupazional ez-hilgarriak,,,100.000 langileko,6849.5
2013,Lesio okupazional ez-hilgarriak,,,100.000 langileko,5944.2
2023,Lesio okupazional ez-hilgarriak,,,100.000 langileko,6988.6
2014,Lesio okupazional ez-hilgarriak,,,100.000 langileko,6008.3
2017,Lesio okupazional ez-hilgarriak,,,100.000 langileko,6868.8
2021,Lesio okupazional ez-hilgarriak,,,100.000 langileko,7026.7
2022,Lesio okupazional ez-hilgarriak,,,100.000 langileko,7178.9
2015,Lesio okupazional ez-hilgarriak,,,100.000 langileko,6356.3
2016,Lesio okupazional ez-hilgarriak,,,100.000 langileko,6598.8
2020,Lesio okupazional ez-hilgarriak,,,100.000 langileko,6150.9
2024,Lesio okupazional ez-hilgarriak,,,100.000 langileko,7304.1
2019,Lesio okupazional ez-hilgarriak,,,100.000 langileko,7370.6
2018,Lesio okupazional ez-hilgarriak,,Araba / Álava,100.000 langileko,8200.6
2024,Lesio okupazional ez-hilgarriak,,Araba / Álava,100.000 langileko,9923.7
2013,Lesio okupazional ez-hilgarriak,,Araba / Álava,100.000 langileko,7277.4
2014,Lesio okupazional ez-hilgarriak,,Araba / Álava,100.000 langileko,7569.5
2019,Lesio okupazional ez-hilgarriak,,Araba / Álava,100.000 langileko,9053.3
2021,Lesio okupazional ez-hilgarriak,,Araba / Álava,100.000 langileko,8565.9
2023,Lesio okupazional ez-hilgarriak,,Araba / Álava,100.000 langileko,6950.6
2016,Lesio okupazional ez-hilgarriak,,Araba / Álava,100.000 langileko,8196.2
2017,Lesio okupazional ez-hilgarriak,,Araba / Álava,100.000 langileko,8154.9
2020,Lesio okupazional ez-hilgarriak,,Araba / Álava,100.000 langileko,7085.0
2022,Lesio okupazional ez-hilgarriak,,Araba / Álava,100.000 langileko,8421.5
2015,Lesio okupazional ez-hilgarriak,,Araba / Álava,100.000 langileko,7914.8
2018,Lesio okupazional ez-hilgarriak,,Bizkaia,100.000 langileko,6854.7
2020,Lesio okupazional ez-hilgarriak,,Bizkaia,100.000 langileko,6072.1
2021,Lesio okupazional ez-hilgarriak,,Bizkaia,100.000 langileko,6853.3
2015,Lesio okupazional ez-hilgarriak,,Bizkaia,100.000 langileko,6220.8
2019,Lesio okupazional ez-hilgarriak,,Bizkaia,100.000 langileko,7319.3
2024,Lesio okupazional ez-hilgarriak,,Bizkaia,100.000 langileko,6991.3
2013,Lesio okupazional ez-hilgarriak,,Bizkaia,100.000 langileko,5831.4
2014,Lesio okupazional ez-hilgarriak,,Bizkaia,100.000 langileko,5835.8
2017,Lesio okupazional ez-hilgarriak,,Bizkaia,100.000 langileko,6948.6
2022,Lesio okupazional ez-hilgarriak,,Bizkaia,100.000 langileko,7180.5
2016,Lesio okupazional ez-hilgarriak,,Bizkaia,100.000 langileko,6558.8
2023,Lesio okupazional ez-hilgarriak,,Bizkaia,100.000 langileko,7201.9
2020,Lesio okupazional ez-hilgarriak,,Gipuzkoa,100.000 langileko,5844.2
2013,Lesio okupazional ez-hilgarriak,,Gipuzkoa,100.000 langileko,5524.2
2022,Lesio okupazional ez-hilgarriak,,Gipuzkoa,100.000 langileko,6618.1
2018,Lesio okupazional ez-hilgarriak,,Gipuzkoa,100.000 langileko,6223.8
2024,Lesio okupazional ez-hilgarriak,,Gipuzkoa,100.000 langileko,6597.6
2014,Lesio okupazional ez-hilgarriak,,Gipuzkoa,100.000 langileko,5562.8
2021,Lesio okupazional ez-hilgarriak,,Gipuzkoa,100.000 langileko,6587.1
2023,Lesio okupazional ez-hilgarriak,,Gipuzkoa,100.000 langileko,6675.8
