Year,Sexua,Lurralde historikoa,Units,Value
2011,,,100.000 biztanleko,3.7
2010,,,100.000 biztanleko,4.1
2020,,,100.000 biztanleko,2.7
2014,,,100.000 biztanleko,2.6
2013,,,100.000 biztanleko,3.7
2024,,,100.000 biztanleko,2.8
2021,,,100.000 biztanleko,2.9
2019,,,100.000 biztanleko,3.1
2023,,,100.000 biztanleko,3.0
2016,,,100.000 biztanleko,3.8
2015,,,100.000 biztanleko,3.5
2018,,,100.000 biztanleko,2.8
2012,,,100.000 biztanleko,4.0
2017,,,100.000 biztanleko,3.1
2022,,,100.000 biztanleko,3.7
2015,,Araba / Álava,100.000 biztanleko,2.2
2023,,Araba / Álava,100.000 biztanleko,2.1
2016,,Araba / Álava,100.000 biztanleko,2.2
2021,,Araba / Álava,100.000 biztanleko,2.4
2024,,Araba / Álava,100.000 biztanleko,3.6
2017,,Araba / Álava,100.000 biztanleko,3.4
2018,,Araba / Álava,100.000 biztanleko,3.4
2019,,Araba / Álava,100.000 biztanleko,5.2
2011,,Araba / Álava,100.000 biztanleko,2.2
2012,,Araba / Álava,100.000 biztanleko,4.4
2014,,Araba / Álava,100.000 biztanleko,3.7
2020,,Araba / Álava,100.000 biztanleko,1.5
2013,,Araba / Álava,100.000 biztanleko,4.1
2010,,Araba / Álava,100.000 biztanleko,3.1
2022,,Araba / Álava,100.000 biztanleko,3.9
2015,,Bizkaia,100.000 biztanleko,2.6
2014,,Bizkaia,100.000 biztanleko,2.4
2017,,Bizkaia,100.000 biztanleko,1.9
2010,,Bizkaia,100.000 biztanleko,4.1
2023,,Bizkaia,100.000 biztanleko,2.2
2012,,Bizkaia,100.000 biztanleko,4.4
2022,,Bizkaia,100.000 biztanleko,3.4
2024,,Bizkaia,100.000 biztanleko,1.9
2016,,Bizkaia,100.000 biztanleko,4.1
2021,,Bizkaia,100.000 biztanleko,3.1
2013,,Bizkaia,100.000 biztanleko,3.2
2019,,Bizkaia,100.000 biztanleko,3.0
2018,,Bizkaia,100.000 biztanleko,2.5
2020,,Bizkaia,100.000 biztanleko,2.9
2011,,Bizkaia,100.000 biztanleko,3.6
2018,,Gipuzkoa,100.000 biztanleko,3.1
2021,,Gipuzkoa,100.000 biztanleko,2.8
2019,,Gipuzkoa,100.000 biztanleko,2.5
2015,,Gipuzkoa,100.000 biztanleko,5.3
2010,,Gipuzkoa,100.000 biztanleko,4.4
2011,,Gipuzkoa,100.000 biztanleko,4.4
2020,,Gipuzkoa,100.000 biztanleko,2.9
2012,,Gipuzkoa,100.000 biztanleko,3.1
2014,,Gipuzkoa,100.000 biztanleko,2.5
2022,,Gipuzkoa,100.000 biztanleko,4.2
2016,,Gipuzkoa,100.000 biztanleko,3.9
2023,,Gipuzkoa,100.000 biztanleko,4.7
2013,,Gipuzkoa,100.000 biztanleko,4.2
2024,,Gipuzkoa,100.000 biztanleko,3.9
2017,,Gipuzkoa,100.000 biztanleko,4.9
2015,Emakumea,,100.000 biztanleko,1.4
2013,Emakumea,,100.000 biztanleko,1.4
2022,Emakumea,,100.000 biztanleko,1.6
2016,Emakumea,,100.000 biztanleko,1.3
2012,Emakumea,,100.000 biztanleko,1.9
2014,Emakumea,,100.000 biztanleko,1.2
2018,Emakumea,,100.000 biztanleko,1.4
2017,Emakumea,,100.000 biztanleko,1.8
2011,Emakumea,,100.000 biztanleko,1.9
2024,Emakumea,,100.000 biztanleko,1.8
2021,Emakumea,,100.000 biztanleko,1.0
2010,Emakumea,,100.000 biztanleko,1.6
2023,Emakumea,,100.000 biztanleko,1.0
2019,Emakumea,,100.000 biztanleko,1.1
2020,Emakumea,,100.000 biztanleko,1.5
2024,Emakumea,Araba / Álava,100.000 biztanleko,2.3
2022,Emakumea,Araba / Álava,100.000 biztanleko,1.8
2015,Emakumea,Araba / Álava,100.000 biztanleko,1.2
2020,Emakumea,Araba / Álava,100.000 biztanleko,0.6
2019,Emakumea,Araba / Álava,100.000 biztanleko,1.8
2017,Emakumea,Araba / Álava,100.000 biztanleko,3.0
2013,Emakumea,Araba / Álava,100.000 biztanleko,1.9
2011,Emakumea,Araba / Álava,100.000 biztanleko,0.6
2023,Emakumea,Araba / Álava,100.000 biztanleko,1.2
2012,Emakumea,Araba / Álava,100.000 biztanleko,2.5
2010,Emakumea,Araba / Álava,100.000 biztanleko,1.9
2014,Emakumea,Araba / Álava,100.000 biztanleko,1.2
2016,Emakumea,Araba / Álava,100.000 biztanleko,0.0
2021,Emakumea,Araba / Álava,100.000 biztanleko,2.4
