Year,Series,Units,Value
2016,"Kultura-bidaietako gastuaren proportzioa, aisia, jolas eta oporretako bidaietako gastuaren aldean",%,49.3
2017,"Kultura-bidaietako gastuaren proportzioa, aisia, jolas eta oporretako bidaietako gastuaren aldean",%,46.7
2018,"Kultura-bidaietako gastuaren proportzioa, aisia, jolas eta oporretako bidaietako gastuaren aldean",%,36.1
2019,"Kultura-bidaietako gastuaren proportzioa, aisia, jolas eta oporretako bidaietako gastuaren aldean",%,31.6
2020,"Kultura-bidaietako gastuaren proportzioa, aisia, jolas eta oporretako bidaietako gastuaren aldean",%,28.5
2021,"Kultura-bidaietako gastuaren proportzioa, aisia, jolas eta oporretako bidaietako gastuaren aldean",%,32.5
2022,"Kultura-bidaietako gastuaren proportzioa, aisia, jolas eta oporretako bidaietako gastuaren aldean",%,36.5
2023,"Kultura-bidaietako gastuaren proportzioa, aisia, jolas eta oporretako bidaietako gastuaren aldean",%,42.0
2024,"Kultura-bidaietako gastuaren proportzioa, aisia, jolas eta oporretako bidaietako gastuaren aldean",%,49.6
2016,Kultura-bidaietako gastuaren proportzioa bidaietako gastuarekiko,%,26.7
2017,Kultura-bidaietako gastuaren proportzioa bidaietako gastuarekiko,%,26.5
2018,Kultura-bidaietako gastuaren proportzioa bidaietako gastuarekiko,%,21.6
2019,Kultura-bidaietako gastuaren proportzioa bidaietako gastuarekiko,%,19.4
2020,Kultura-bidaietako gastuaren proportzioa bidaietako gastuarekiko,%,13.5
2021,Kultura-bidaietako gastuaren proportzioa bidaietako gastuarekiko,%,18.3
2022,Kultura-bidaietako gastuaren proportzioa bidaietako gastuarekiko,%,20.8
2023,Kultura-bidaietako gastuaren proportzioa bidaietako gastuarekiko,%,25.0
2024,Kultura-bidaietako gastuaren proportzioa bidaietako gastuarekiko,%,28.9
