Year,Series,Lurralde historikoa,Units,Value
2018,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,,100.000 biztanleko,71.2
2012,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,,100.000 biztanleko,98.3
2016,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,,100.000 biztanleko,78.5
2022,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,,100.000 biztanleko,52.0
2014,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,,100.000 biztanleko,83.7
2011,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,,100.000 biztanleko,101.0
2021,Kutxazain automatikoak 15 urte eta gehiagoko 100.000 biztanleko,,100.000 biztanleko,123.3
2023,Kutxazain automatikoak 15 urte eta gehiagoko 100.000 biztanleko,,100.000 biztanleko,117.2
2023,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,,100.000 biztanleko,50.8
2022,Kutxazain automatikoak 15 urte eta gehiagoko 100.000 biztanleko,,100.000 biztanleko,119.0
2013,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,,100.000 biztanleko,89.6
2019,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,,100.000 biztanleko,67.7
2021,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,,100.000 biztanleko,56.5
2024,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,,100.000 biztanleko,50.2
2020,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,,100.000 biztanleko,62.1
2024,Kutxazain automatikoak 15 urte eta gehiagoko 100.000 biztanleko,,100.000 biztanleko,111.5
2017,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,,100.000 biztanleko,73.7
2015,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,,100.000 biztanleko,82.2
2010,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,,100.000 biztanleko,103.5
2021,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,Araba / Álava,100.000 biztanleko,58.6
2020,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,Araba / Álava,100.000 biztanleko,63.1
2021,Kutxazain automatikoak 15 urte eta gehiagoko 100.000 biztanleko,Araba / Álava,100.000 biztanleko,109.6
2018,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,Araba / Álava,100.000 biztanleko,72.2
2023,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,Araba / Álava,100.000 biztanleko,53.0
2016,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,Araba / Álava,100.000 biztanleko,83.6
2022,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,Araba / Álava,100.000 biztanleko,54.1
2010,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,Araba / Álava,100.000 biztanleko,122.4
2011,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,Araba / Álava,100.000 biztanleko,117.6
2023,Kutxazain automatikoak 15 urte eta gehiagoko 100.000 biztanleko,Araba / Álava,100.000 biztanleko,103.6
2024,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,Araba / Álava,100.000 biztanleko,52.2
2017,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,Araba / Álava,100.000 biztanleko,75.8
2014,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,Araba / Álava,100.000 biztanleko,93.7
2024,Kutxazain automatikoak 15 urte eta gehiagoko 100.000 biztanleko,Araba / Álava,100.000 biztanleko,97.6
2015,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,Araba / Álava,100.000 biztanleko,91.6
2013,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,Araba / Álava,100.000 biztanleko,102.6
2012,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,Araba / Álava,100.000 biztanleko,114.3
2022,Kutxazain automatikoak 15 urte eta gehiagoko 100.000 biztanleko,Araba / Álava,100.000 biztanleko,105.2
2019,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,Araba / Álava,100.000 biztanleko,68.5
2022,Kutxazain automatikoak 15 urte eta gehiagoko 100.000 biztanleko,Bizkaia,100.000 biztanleko,114.1
2013,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,Bizkaia,100.000 biztanleko,85.9
2024,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,Bizkaia,100.000 biztanleko,48.2
2012,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,Bizkaia,100.000 biztanleko,96.1
2011,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,Bizkaia,100.000 biztanleko,98.8
2022,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,Bizkaia,100.000 biztanleko,50.2
2010,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,Bizkaia,100.000 biztanleko,101.3
2023,Kutxazain automatikoak 15 urte eta gehiagoko 100.000 biztanleko,Bizkaia,100.000 biztanleko,111.9
2023,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,Bizkaia,100.000 biztanleko,49.0
2019,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,Bizkaia,100.000 biztanleko,65.8
2024,Kutxazain automatikoak 15 urte eta gehiagoko 100.000 biztanleko,Bizkaia,100.000 biztanleko,106.4
2015,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,Bizkaia,100.000 biztanleko,78.4
2014,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,Bizkaia,100.000 biztanleko,79.5
2017,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,Bizkaia,100.000 biztanleko,70.9
2020,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,Bizkaia,100.000 biztanleko,59.6
2016,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,Bizkaia,100.000 biztanleko,75.3
2021,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,Bizkaia,100.000 biztanleko,54.1
2021,Kutxazain automatikoak 15 urte eta gehiagoko 100.000 biztanleko,Bizkaia,100.000 biztanleko,116.1
2018,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,Bizkaia,100.000 biztanleko,68.9
2013,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,Gipuzkoa,100.000 biztanleko,89.7
2022,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,Gipuzkoa,100.000 biztanleko,54.0
2015,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,Gipuzkoa,100.000 biztanleko,84.3
2020,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,Gipuzkoa,100.000 biztanleko,65.8
2019,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,Gipuzkoa,100.000 biztanleko,70.6
2011,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,Gipuzkoa,100.000 biztanleko,96.9
2010,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,Gipuzkoa,100.000 biztanleko,98.7
2018,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,Gipuzkoa,100.000 biztanleko,74.5
2021,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,Gipuzkoa,100.000 biztanleko,59.4
2024,Kutxazain automatikoak 15 urte eta gehiagoko 100.000 biztanleko,Gipuzkoa,100.000 biztanleko,126.1
2023,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,Gipuzkoa,100.000 biztanleko,52.6
2022,Kutxazain automatikoak 15 urte eta gehiagoko 100.000 biztanleko,Gipuzkoa,100.000 biztanleko,133.1
2017,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,Gipuzkoa,100.000 biztanleko,77.3
2023,Kutxazain automatikoak 15 urte eta gehiagoko 100.000 biztanleko,Gipuzkoa,100.000 biztanleko,131.9
2016,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,Gipuzkoa,100.000 biztanleko,81.2
2014,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,Gipuzkoa,100.000 biztanleko,86.0
2021,Kutxazain automatikoak 15 urte eta gehiagoko 100.000 biztanleko,Gipuzkoa,100.000 biztanleko,141.1
2012,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,Gipuzkoa,100.000 biztanleko,94.7
2024,Merkataritza-bankuen sukurtsalak 15 urte eta gehiagoko 100.000 biztanleko,Gipuzkoa,100.000 biztanleko,52.4
