Year,Series,Units,Value
2014,Nekazaritzara bideratutako Garapenerako Laguntza Ofiziala (guztizko ordainketa gordina),Milioi euroak,6.71
2015,Nekazaritzara bideratutako Garapenerako Laguntza Ofiziala (guztizko ordainketa gordina),Milioi euroak,5.61
2016,Nekazaritzara bideratutako Garapenerako Laguntza Ofiziala (guztizko ordainketa gordina),Milioi euroak,7.37
2017,Nekazaritzara bideratutako Garapenerako Laguntza Ofiziala (guztizko ordainketa gordina),Milioi euroak,6.58
2018,Nekazaritzara bideratutako Garapenerako Laguntza Ofiziala (guztizko ordainketa gordina),Milioi euroak,3.69
2019,Nekazaritzara bideratutako Garapenerako Laguntza Ofiziala (guztizko ordainketa gordina),Milioi euroak,2.72
2020,Nekazaritzara bideratutako Garapenerako Laguntza Ofiziala (guztizko ordainketa gordina),Milioi euroak,3.49
2021,Nekazaritzara bideratutako Garapenerako Laguntza Ofiziala (guztizko ordainketa gordina),Milioi euroak,5.28
2022,Nekazaritzara bideratutako Garapenerako Laguntza Ofiziala (guztizko ordainketa gordina),Milioi euroak,5.56
2023,Nekazaritzara bideratutako Garapenerako Laguntza Ofiziala (guztizko ordainketa gordina),Milioi euroak,5.94
2024,Nekazaritzara bideratutako Garapenerako Laguntza Ofiziala (guztizko ordainketa gordina),Milioi euroak,5.39
