Year,Series,Hezkuntza-maila,Units,Value
2016,Amaiera-tasa (beheko bigarren hezkuntza eta goi-mailako bigarren hezkuntza),Bigarren hezkuntzako lehenengo etapa,%,95.5
2022,Amaiera-tasa (beheko bigarren hezkuntza eta goi-mailako bigarren hezkuntza),Bigarren hezkuntzako lehenengo etapa,%,94.9
2020,Amaiera-tasa (beheko bigarren hezkuntza eta goi-mailako bigarren hezkuntza),Bigarren hezkuntzako lehenengo etapa,%,99.4
2015,Amaiera-tasa (beheko bigarren hezkuntza eta goi-mailako bigarren hezkuntza),Bigarren hezkuntzako lehenengo etapa,%,94.7
2021,Amaiera-tasa (beheko bigarren hezkuntza eta goi-mailako bigarren hezkuntza),Bigarren hezkuntzako lehenengo etapa,%,98.1
2019,Amaiera-tasa (beheko bigarren hezkuntza eta goi-mailako bigarren hezkuntza),Bigarren hezkuntzako lehenengo etapa,%,97.0
2018,Amaiera-tasa (beheko bigarren hezkuntza eta goi-mailako bigarren hezkuntza),Bigarren hezkuntzako lehenengo etapa,%,95.2
2017,Amaiera-tasa (beheko bigarren hezkuntza eta goi-mailako bigarren hezkuntza),Bigarren hezkuntzako lehenengo etapa,%,96.0
2016,Amaiera-tasa (beheko bigarren hezkuntza eta goi-mailako bigarren hezkuntza),Bigarren hezkuntzako bigarren etapa,%,79.1
2018,Amaiera-tasa (beheko bigarren hezkuntza eta goi-mailako bigarren hezkuntza),Bigarren hezkuntzako bigarren etapa,%,80.9
2019,Amaiera-tasa (beheko bigarren hezkuntza eta goi-mailako bigarren hezkuntza),Bigarren hezkuntzako bigarren etapa,%,82.7
2020,Amaiera-tasa (beheko bigarren hezkuntza eta goi-mailako bigarren hezkuntza),Bigarren hezkuntzako bigarren etapa,%,81.5
2021,Amaiera-tasa (beheko bigarren hezkuntza eta goi-mailako bigarren hezkuntza),Bigarren hezkuntzako bigarren etapa,%,82.9
2015,Amaiera-tasa (beheko bigarren hezkuntza eta goi-mailako bigarren hezkuntza),Bigarren hezkuntzako bigarren etapa,%,79.4
2017,Amaiera-tasa (beheko bigarren hezkuntza eta goi-mailako bigarren hezkuntza),Bigarren hezkuntzako bigarren etapa,%,77.9
2022,Amaiera-tasa (beheko bigarren hezkuntza eta goi-mailako bigarren hezkuntza),Bigarren hezkuntzako bigarren etapa,%,84.7
