Year,Series,Lurralde historikoa,Units,Value
2012,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,,Milioi biztanleko,5399.2
2014,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,,Milioi biztanleko,5536.2
2022,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,,Milioi biztanleko,6949.4
2011,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,,Milioi biztanleko,5180.9
2010,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,,Milioi biztanleko,5098.1
2013,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,,Milioi biztanleko,5496.2
2017,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,,Milioi biztanleko,5788.4
2021,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,,Milioi biztanleko,6560.5
2020,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,,Milioi biztanleko,6204.9
2016,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,,Milioi biztanleko,5481.3
2015,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,,Milioi biztanleko,5564.5
2018,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,,Milioi biztanleko,6027.3
2019,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,,Milioi biztanleko,6162.8
2012,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Araba / Álava,Milioi biztanleko,4148.7
2018,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Araba / Álava,Milioi biztanleko,5238.7
2021,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Araba / Álava,Milioi biztanleko,4891.1
2015,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Araba / Álava,Milioi biztanleko,4818.1
2014,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Araba / Álava,Milioi biztanleko,4613.2
