Year,Erakundea,Lurralde historikoa,Units,Value
2023,Legebiltzar autonomikoko hautetsiak,,%,49.3
2024,Legebiltzar autonomikoko hautetsiak,,%,52.0
2019,Legebiltzar autonomikoko hautetsiak,,%,53.3
2018,Legebiltzar autonomikoko hautetsiak,,%,53.3
2016,Legebiltzar autonomikoko hautetsiak,,%,53.3
2014,Legebiltzar autonomikoko hautetsiak,,%,49.3
2015,Legebiltzar autonomikoko hautetsiak,,%,49.3
2020,Legebiltzar autonomikoko hautetsiak,,%,50.7
2017,Legebiltzar autonomikoko hautetsiak,,%,53.3
2022,Legebiltzar autonomikoko hautetsiak,,%,50.7
2012,Legebiltzar autonomikoko hautetsiak,,%,49.3
2013,Legebiltzar autonomikoko hautetsiak,,%,49.3
2011,Legebiltzar autonomikoko hautetsiak,,%,45.3
2010,Legebiltzar autonomikoko hautetsiak,,%,45.3
2021,Legebiltzar autonomikoko hautetsiak,,%,50.7
2017,Sailburuak gobernu autonomikoan,,%,41.7
2016,Sailburuak gobernu autonomikoan,,%,50.0
2023,Sailburuak gobernu autonomikoan,,%,45.5
2013,Sailburuak gobernu autonomikoan,,%,50.0
2021,Sailburuak gobernu autonomikoan,,%,45.5
2024,Sailburuak gobernu autonomikoan,,%,46.7
2014,Sailburuak gobernu autonomikoan,,%,50.0
2019,Sailburuak gobernu autonomikoan,,%,63.6
2012,Sailburuak gobernu autonomikoan,,%,50.0
2010,Sailburuak gobernu autonomikoan,,%,45.5
2022,Sailburuak gobernu autonomikoan,,%,45.5
2011,Sailburuak gobernu autonomikoan,,%,50.0
2020,Sailburuak gobernu autonomikoan,,%,45.5
2015,Sailburuak gobernu autonomikoan,,%,50.0
2018,Sailburuak gobernu autonomikoan,,%,41.7
2015,Foru-gobernuetako sailburuak,,%,50.0
2016,Foru-gobernuetako sailburuak,,%,50.0
2013,Foru-gobernuetako sailburuak,,%,42.3
2020,Foru-gobernuetako sailburuak,,%,55.2
2017,Foru-gobernuetako sailburuak,,%,50.0
2018,Foru-gobernuetako sailburuak,,%,50.0
2021,Foru-gobernuetako sailburuak,,%,55.2
2011,Foru-gobernuetako sailburuak,,%,42.3
