Year,Series,Units,Value
2017,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua,Milioi eurotan,363.0
2020,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua,Milioi eurotan,424.0
2016,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua,Milioi eurotan,333.6
2014,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua,Milioi eurotan,319.8
2012,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua,Milioi eurotan,527.1
2021,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua,Milioi eurotan,405.3
2018,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua,Milioi eurotan,358.1
2010,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua,Milioi eurotan,94.6
2013,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua,Milioi eurotan,321.7
2011,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua,Milioi eurotan,399.9
2019,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua,Milioi eurotan,408.7
2015,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua,Milioi eurotan,341.3
2010,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko",%,0.9
2011,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko",%,4.0
2012,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko",%,5.2
2013,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko",%,3.4
2015,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko",%,3.4
2016,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko",%,3.2
2020,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko",%,3.6
2014,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko",%,3.2
2017,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko",%,3.4
2018,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko",%,3.1
2019,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko",%,3.4
2021,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko",%,3.2
