Year,Value,Units,Series
2016,12.2,Pernoctaciones por habitante,Pernoctaciones de turistas por habitante
2017,10.8,Pernoctaciones por habitante,Pernoctaciones de turistas por habitante
2018,10.4,Pernoctaciones por habitante,Pernoctaciones de turistas por habitante
2019,10.0,Pernoctaciones por habitante,Pernoctaciones de turistas por habitante
2020,6.0,Pernoctaciones por habitante,Pernoctaciones de turistas por habitante
2021,7.3,Pernoctaciones por habitante,Pernoctaciones de turistas por habitante
2022,9.3,Pernoctaciones por habitante,Pernoctaciones de turistas por habitante
2023,10.5,Pernoctaciones por habitante,Pernoctaciones de turistas por habitante
2024,11.0,Pernoctaciones por habitante,Pernoctaciones de turistas por habitante
2016,9.3,Pernoctaciones por habitante,Pernoctaciones de turistas no residentes por habitante
2017,8.5,Pernoctaciones por habitante,Pernoctaciones de turistas no residentes por habitante
2018,8.0,Pernoctaciones por habitante,Pernoctaciones de turistas no residentes por habitante
2019,7.4,Pernoctaciones por habitante,Pernoctaciones de turistas no residentes por habitante
2020,3.6,Pernoctaciones por habitante,Pernoctaciones de turistas no residentes por habitante
2021,4.7,Pernoctaciones por habitante,Pernoctaciones de turistas no residentes por habitante
2022,7.6,Pernoctaciones por habitante,Pernoctaciones de turistas no residentes por habitante
2023,8.7,Pernoctaciones por habitante,Pernoctaciones de turistas no residentes por habitante
2024,8.9,Pernoctaciones por habitante,Pernoctaciones de turistas no residentes por habitante
2016,33.7,%,Proporción de pernoctaciones de turistas en los dos meses de máxima ocupación sobre el total de pernoctaciones de turistas
2017,30.7,%,Proporción de pernoctaciones de turistas en los dos meses de máxima ocupación sobre el total de pernoctaciones de turistas
2018,31.2,%,Proporción de pernoctaciones de turistas en los dos meses de máxima ocupación sobre el total de pernoctaciones de turistas
2019,27.8,%,Proporción de pernoctaciones de turistas en los dos meses de máxima ocupación sobre el total de pernoctaciones de turistas
2020,36.8,%,Proporción de pernoctaciones de turistas en los dos meses de máxima ocupación sobre el total de pernoctaciones de turistas
2021,40.6,%,Proporción de pernoctaciones de turistas en los dos meses de máxima ocupación sobre el total de pernoctaciones de turistas
2022,27.9,%,Proporción de pernoctaciones de turistas en los dos meses de máxima ocupación sobre el total de pernoctaciones de turistas
2023,28.6,%,Proporción de pernoctaciones de turistas en los dos meses de máxima ocupación sobre el total de pernoctaciones de turistas
2024,28.0,%,Proporción de pernoctaciones de turistas en los dos meses de máxima ocupación sobre el total de pernoctaciones de turistas
2016,32.1,%,Proporción de pernoctaciones de turistas no residentes en los dos meses de máxima ocupación sobre el total de pernoctaciones de turistas no residentes
2017,30.5,%,Proporción de pernoctaciones de turistas no residentes en los dos meses de máxima ocupación sobre el total de pernoctaciones de turistas no residentes
2018,30.6,%,Proporción de pernoctaciones de turistas no residentes en los dos meses de máxima ocupación sobre el total de pernoctaciones de turistas no residentes
2019,27.4,%,Proporción de pernoctaciones de turistas no residentes en los dos meses de máxima ocupación sobre el total de pernoctaciones de turistas no residentes
2020,40.0,%,Proporción de pernoctaciones de turistas no residentes en los dos meses de máxima ocupación sobre el total de pernoctaciones de turistas no residentes
2021,40.9,%,Proporción de pernoctaciones de turistas no residentes en los dos meses de máxima ocupación sobre el total de pernoctaciones de turistas no residentes
2022,29.8,%,Proporción de pernoctaciones de turistas no residentes en los dos meses de máxima ocupación sobre el total de pernoctaciones de turistas no residentes
2023,26.6,%,Proporción de pernoctaciones de turistas no residentes en los dos meses de máxima ocupación sobre el total de pernoctaciones de turistas no residentes
2024,27.1,%,Proporción de pernoctaciones de turistas no residentes en los dos meses de máxima ocupación sobre el total de pernoctaciones de turistas no residentes
