Year,Value,Units,Series,GeoCode
2024,75.6,%,Tasa de ocupación,
2010,68.3,%,Tasa de ocupación,
2013,66.0,%,Tasa de ocupación,
2014,66.4,%,Tasa de ocupación,
2012,66.3,%,Tasa de ocupación,
2011,67.7,%,Tasa de ocupación,
2023,74.6,%,Tasa de ocupación,
2018,72.0,%,Tasa de ocupación,
2019,72.6,%,Tasa de ocupación,
2017,70.0,%,Tasa de ocupación,
2016,68.9,%,Tasa de ocupación,
2015,67.6,%,Tasa de ocupación,
2021,72.2,%,Tasa de ocupación,
2020,70.9,%,Tasa de ocupación,
2022,74.0,%,Tasa de ocupación,
2010,13.7,Puntos porcentuales,Brecha de género en la ocupación,
2012,8.8,Puntos porcentuales,Brecha de género en la ocupación,
2011,10.8,Puntos porcentuales,Brecha de género en la ocupación,
2024,7.1,Puntos porcentuales,Brecha de género en la ocupación,
2015,7.7,Puntos porcentuales,Brecha de género en la ocupación,
2019,8.3,Puntos porcentuales,Brecha de género en la ocupación,
2017,8.0,Puntos porcentuales,Brecha de género en la ocupación,
2022,7.2,Puntos porcentuales,Brecha de género en la ocupación,
2023,6.8,Puntos porcentuales,Brecha de género en la ocupación,
2020,6.8,Puntos porcentuales,Brecha de género en la ocupación,
2016,7.7,Puntos porcentuales,Brecha de género en la ocupación,
2013,8.4,Puntos porcentuales,Brecha de género en la ocupación,
2021,6.3,Puntos porcentuales,Brecha de género en la ocupación,
2014,7.6,Puntos porcentuales,Brecha de género en la ocupación,
2018,8.8,Puntos porcentuales,Brecha de género en la ocupación,
