Year,Value,Units,Series,GeoCode
2019,9.6,%,Tasa de mortalidad prematura (entre 30 y 70 años),
2015,10.3,%,Tasa de mortalidad prematura (entre 30 y 70 años),
2010,11.0,%,Tasa de mortalidad prematura (entre 30 y 70 años),
2015,651.4,Por 100.000 habitantes,Tasa de mortalidad por 100.000 habitantes,
2017,647.2,Por 100.000 habitantes,Tasa de mortalidad por 100.000 habitantes,
2014,620.7,Por 100.000 habitantes,Tasa de mortalidad por 100.000 habitantes,
2016,641.2,Por 100.000 habitantes,Tasa de mortalidad por 100.000 habitantes,
2010,616.2,Por 100.000 habitantes,Tasa de mortalidad por 100.000 habitantes,
2022,626.3,Por 100.000 habitantes,Tasa de mortalidad por 100.000 habitantes,
2018,648.9,Por 100.000 habitantes,Tasa de mortalidad por 100.000 habitantes,
2020,607.8,Por 100.000 habitantes,Tasa de mortalidad por 100.000 habitantes,
2013,613.0,Por 100.000 habitantes,Tasa de mortalidad por 100.000 habitantes,
2023,613.1,Por 100.000 habitantes,Tasa de mortalidad por 100.000 habitantes,
2012,628.5,Por 100.000 habitantes,Tasa de mortalidad por 100.000 habitantes,
2011,626.3,Por 100.000 habitantes,Tasa de mortalidad por 100.000 habitantes,
2021,622.4,Por 100.000 habitantes,Tasa de mortalidad por 100.000 habitantes,
2019,631.2,Por 100.000 habitantes,Tasa de mortalidad por 100.000 habitantes,
