Year,Value,Units,Series,GeoCode
2010,59.13,%,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),
2023,100.0,%,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),
2018,88.89,%,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),
2021,100.0,%,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),
2014,67.46,%,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),
2013,67.46,%,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),
2016,67.46,%,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),
2020,88.89,%,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),
2011,59.13,%,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),
2017,88.89,%,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),
2024,100.0,%,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),
2022,100.0,%,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),
2015,67.46,%,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),
2019,88.89,%,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),
2012,67.46,%,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),
2022,100.0,%,Proporción de municipios que disponen de un planeamiento urbanístico municipal (PGOU o NNSS),
2020,100.0,%,Proporción de municipios que disponen de un planeamiento urbanístico municipal (PGOU o NNSS),
2021,100.0,%,Proporción de municipios que disponen de un planeamiento urbanístico municipal (PGOU o NNSS),
2019,100.0,%,Proporción de municipios que disponen de un planeamiento urbanístico municipal (PGOU o NNSS),
2013,100.0,%,Proporción de municipios que disponen de un planeamiento urbanístico municipal (PGOU o NNSS),
2016,100.0,%,Proporción de municipios que disponen de un planeamiento urbanístico municipal (PGOU o NNSS),
2010,100.0,%,Proporción de municipios que disponen de un planeamiento urbanístico municipal (PGOU o NNSS),
2015,100.0,%,Proporción de municipios que disponen de un planeamiento urbanístico municipal (PGOU o NNSS),
2014,100.0,%,Proporción de municipios que disponen de un planeamiento urbanístico municipal (PGOU o NNSS),
2017,100.0,%,Proporción de municipios que disponen de un planeamiento urbanístico municipal (PGOU o NNSS),
2023,100.0,%,Proporción de municipios que disponen de un planeamiento urbanístico municipal (PGOU o NNSS),
2024,100.0,%,Proporción de municipios que disponen de un planeamiento urbanístico municipal (PGOU o NNSS),
2012,100.0,%,Proporción de municipios que disponen de un planeamiento urbanístico municipal (PGOU o NNSS),
2011,100.0,%,Proporción de municipios que disponen de un planeamiento urbanístico municipal (PGOU o NNSS),
2018,100.0,%,Proporción de municipios que disponen de un planeamiento urbanístico municipal (PGOU o NNSS),
