Year,Series,Units,Value
2013,Total greenhouse gas emissions per year,Tons of CO2 equivalent,18730509.76
2015,Total greenhouse gas emissions per year,Tons of CO2 equivalent,19384671.9
2021,Total greenhouse gas emissions per year,Tons of CO2 equivalent,17631879.42
2012,Total greenhouse gas emissions per year,Tons of CO2 equivalent,20427113.19
2018,Total greenhouse gas emissions per year,Tons of CO2 equivalent,19040478.44
2020,Total greenhouse gas emissions per year,Tons of CO2 equivalent,16478502.65
2019,Total greenhouse gas emissions per year,Tons of CO2 equivalent,18574722.02
2011,Total greenhouse gas emissions per year,Tons of CO2 equivalent,20209426.39
2014,Total greenhouse gas emissions per year,Tons of CO2 equivalent,18756524.65
2017,Total greenhouse gas emissions per year,Tons of CO2 equivalent,19695350.67
2022,Total greenhouse gas emissions per year,Tons of CO2 equivalent,18461387.31
2010,Total greenhouse gas emissions per year,Tons of CO2 equivalent,21706181.17
2016,Total greenhouse gas emissions per year,Tons of CO2 equivalent,18688513.07
2010,Total greenhouse gas emissions per unit of GDP,Kg of CO2 equivalent per euro of GDP,0.29
2015,Total greenhouse gas emissions per unit of GDP,Kg of CO2 equivalent per euro of GDP,0.25
2018,Total greenhouse gas emissions per unit of GDP,Kg of CO2 equivalent per euro of GDP,0.23
2022,Total greenhouse gas emissions per unit of GDP,Kg of CO2 equivalent per euro of GDP,0.21
2014,Total greenhouse gas emissions per unit of GDP,Kg of CO2 equivalent per euro of GDP,0.25
2020,Total greenhouse gas emissions per unit of GDP,Kg of CO2 equivalent per euro of GDP,0.21
2021,Total greenhouse gas emissions per unit of GDP,Kg of CO2 equivalent per euro of GDP,0.21
2017,Total greenhouse gas emissions per unit of GDP,Kg of CO2 equivalent per euro of GDP,0.24
2019,Total greenhouse gas emissions per unit of GDP,Kg of CO2 equivalent per euro of GDP,0.22
2012,Total greenhouse gas emissions per unit of GDP,Kg of CO2 equivalent per euro of GDP,0.27
2013,Total greenhouse gas emissions per unit of GDP,Kg of CO2 equivalent per euro of GDP,0.26
2011,Total greenhouse gas emissions per unit of GDP,Kg of CO2 equivalent per euro of GDP,0.27
2016,Total greenhouse gas emissions per unit of GDP,Kg of CO2 equivalent per euro of GDP,0.24
2010,Total greenhouse gas emissions per capita,Tons of CO2 equivalent per capita,10.0
2011,Total greenhouse gas emissions per capita,Tons of CO2 equivalent per capita,9.28
2012,Total greenhouse gas emissions per capita,Tons of CO2 equivalent per capita,9.37
2013,Total greenhouse gas emissions per capita,Tons of CO2 equivalent per capita,8.61
2014,Total greenhouse gas emissions per capita,Tons of CO2 equivalent per capita,8.63
2016,Total greenhouse gas emissions per capita,Tons of CO2 equivalent per capita,8.6
2015,Total greenhouse gas emissions per capita,Tons of CO2 equivalent per capita,8.92
2017,Total greenhouse gas emissions per capita,Tons of CO2 equivalent per capita,9.04
2021,Total greenhouse gas emissions per capita,Tons of CO2 equivalent per capita,8.05
2019,Total greenhouse gas emissions per capita,Tons of CO2 equivalent per capita,8.47
2020,Total greenhouse gas emissions per capita,Tons of CO2 equivalent per capita,7.5
2018,Total greenhouse gas emissions per capita,Tons of CO2 equivalent per capita,8.72
2022,Total greenhouse gas emissions per capita,Tons of CO2 equivalent per capita,8.43
2010,Greenhouse gas emissions compared to 1990,%,4.85
2011,Greenhouse gas emissions compared to 1990,%,-2.38
2012,Greenhouse gas emissions compared to 1990,%,-1.33
2013,Greenhouse gas emissions compared to 1990,%,-9.52
2014,Greenhouse gas emissions compared to 1990,%,-9.4
2015,Greenhouse gas emissions compared to 1990,%,-6.36
2016,Greenhouse gas emissions compared to 1990,%,-9.73
2017,Greenhouse gas emissions compared to 1990,%,-4.86
2018,Greenhouse gas emissions compared to 1990,%,-8.02
2019,Greenhouse gas emissions compared to 1990,%,-10.27
2020,Greenhouse gas emissions compared to 1990,%,-20.4
2021,Greenhouse gas emissions compared to 1990,%,-14.83
2022,Greenhouse gas emissions compared to 1990,%,-10.82
2011,Greenhouse gas emissions compared to 2005,%,-20.49
2012,Greenhouse gas emissions compared to 2005,%,-19.63
2020,Greenhouse gas emissions compared to 2005,%,-35.17
2013,Greenhouse gas emissions compared to 2005,%,-26.31
2014,Greenhouse gas emissions compared to 2005,%,-26.21
2015,Greenhouse gas emissions compared to 2005,%,-23.73
2016,Greenhouse gas emissions compared to 2005,%,-26.47
2010,Greenhouse gas emissions compared to 2005,%,-14.6
2017,Greenhouse gas emissions compared to 2005,%,-22.51
2018,Greenhouse gas emissions compared to 2005,%,-25.09
2019,Greenhouse gas emissions compared to 2005,%,-26.92
2021,Greenhouse gas emissions compared to 2005,%,-30.63
2022,Greenhouse gas emissions compared to 2005,%,-27.37
