Year,Series,Units,Value
2016,Consumo doméstico de materiales en términos absolutos,Kilotoneladas,21507.9
2017,Consumo doméstico de materiales en términos absolutos,Kilotoneladas,26656.6
2020,Consumo doméstico de materiales en términos absolutos,Kilotoneladas,22965.0
2013,Consumo doméstico de materiales en términos absolutos,Kilotoneladas,18163.8
2018,Consumo doméstico de materiales en términos absolutos,Kilotoneladas,28476.5
2015,Consumo doméstico de materiales en términos absolutos,Kilotoneladas,23794.7
2022,Consumo doméstico de materiales en términos absolutos,Kilotoneladas,22897.1
2011,Consumo doméstico de materiales en términos absolutos,Kilotoneladas,23308.8
2012,Consumo doméstico de materiales en términos absolutos,Kilotoneladas,21098.6
2019,Consumo doméstico de materiales en términos absolutos,Kilotoneladas,27538.3
2010,Consumo doméstico de materiales en términos absolutos,Kilotoneladas,30845.5
2014,Consumo doméstico de materiales en términos absolutos,Kilotoneladas,19620.0
2021,Consumo doméstico de materiales en términos absolutos,Kilotoneladas,26738.0
2020,Consumo doméstico de materiales per cápita,Toneladas per cápita,10.5
2013,Consumo doméstico de materiales per cápita,Toneladas per cápita,8.3
2016,Consumo doméstico de materiales per cápita,Toneladas per cápita,9.9
2015,Consumo doméstico de materiales per cápita,Toneladas per cápita,11.0
2022,Consumo doméstico de materiales per cápita,Toneladas per cápita,10.5
2012,Consumo doméstico de materiales per cápita,Toneladas per cápita,9.7
2011,Consumo doméstico de materiales per cápita,Toneladas per cápita,10.7
2014,Consumo doméstico de materiales per cápita,Toneladas per cápita,9.0
2021,Consumo doméstico de materiales per cápita,Toneladas per cápita,12.2
2018,Consumo doméstico de materiales per cápita,Toneladas per cápita,13.0
2010,Consumo doméstico de materiales per cápita,Toneladas per cápita,14.2
2019,Consumo doméstico de materiales per cápita,Toneladas per cápita,12.6
2017,Consumo doméstico de materiales per cápita,Toneladas per cápita,12.2
2010,Consumo doméstico de materiales por PIB,Kg por euro de PIB,407.5
2011,Consumo doméstico de materiales por PIB,Kg por euro de PIB,307.2
2012,Consumo doméstico de materiales por PIB,Kg por euro de PIB,283.9
2015,Consumo doméstico de materiales por PIB,Kg por euro de PIB,311.8
2013,Consumo doméstico de materiales por PIB,Kg por euro de PIB,249.1
2014,Consumo doméstico de materiales por PIB,Kg por euro de PIB,264.6
2016,Consumo doméstico de materiales por PIB,Kg por euro de PIB,272.9
2017,Consumo doméstico de materiales por PIB,Kg por euro de PIB,329.1
2018,Consumo doméstico de materiales por PIB,Kg por euro de PIB,341.0
2019,Consumo doméstico de materiales por PIB,Kg por euro de PIB,322.4
2020,Consumo doméstico de materiales por PIB,Kg por euro de PIB,296.9
2021,Consumo doméstico de materiales por PIB,Kg por euro de PIB,325.9
2022,Consumo doméstico de materiales por PIB,Kg por euro de PIB,264.1
