Year,Sexua,Lurralde historikoa,Units,Value
2014,,,%,7.8
2015,,,%,9.4
2019,,,%,12.7
2016,,,%,10.2
2023,,,%,12.9
2020,,,%,12.1
2021,,,%,10.4
2022,,,%,11.2
2012,,,%,12.8
2013,,,%,9.3
2024,,,%,12.3
2017,,,%,10.2
2018,,,%,13.0
2014,,Araba / Álava,%,5.5
2012,,Araba / Álava,%,9.4
2021,,Araba / Álava,%,7.9
2020,,Araba / Álava,%,8.1
2013,,Araba / Álava,%,6.6
2022,,Araba / Álava,%,7.7
2016,,Araba / Álava,%,6.1
2017,,Araba / Álava,%,6.0
2019,,Araba / Álava,%,9.1
2024,,Araba / Álava,%,9.4
2023,,Araba / Álava,%,9.5
2015,,Araba / Álava,%,5.5
2018,,Araba / Álava,%,8.6
2024,,Bizkaia,%,15.0
2021,,Bizkaia,%,13.2
2013,,Bizkaia,%,13.6
2015,,Bizkaia,%,14.5
2016,,Bizkaia,%,15.0
2014,,Bizkaia,%,11.4
2023,,Bizkaia,%,15.8
2012,,Bizkaia,%,17.4
2019,,Bizkaia,%,18.1
2020,,Bizkaia,%,13.3
2022,,Bizkaia,%,15.5
2018,,Bizkaia,%,16.2
2017,,Bizkaia,%,12.7
2012,,Gipuzkoa,%,15.4
2023,,Gipuzkoa,%,17.7
2017,,Gipuzkoa,%,17.7
2019,,Gipuzkoa,%,16.5
2016,,Gipuzkoa,%,16.7
2021,,Gipuzkoa,%,13.9
2018,,Gipuzkoa,%,20.2
2020,,Gipuzkoa,%,21.3
2024,,Gipuzkoa,%,16.2
2015,,Gipuzkoa,%,13.9
2014,,Gipuzkoa,%,9.2
2013,,Gipuzkoa,%,10.5
2022,,Gipuzkoa,%,15.4
2017,Emakumea,,%,7.5
2014,Emakumea,,%,4.4
2013,Emakumea,,%,9.8
2018,Emakumea,,%,8.9
2024,Emakumea,,%,7.2
2021,Emakumea,,%,7.0
2022,Emakumea,,%,8.1
2016,Emakumea,,%,6.5
2023,Emakumea,,%,6.7
2015,Emakumea,,%,3.0
2019,Emakumea,,%,9.3
2020,Emakumea,,%,6.0
2012,Emakumea,,%,7.6
2024,Emakumea,Araba / Álava,%,7.0
2012,Emakumea,Araba / Álava,%,6.7
2015,Emakumea,Araba / Álava,%,4.2
2022,Emakumea,Araba / Álava,%,6.3
2019,Emakumea,Araba / Álava,%,10.2
2023,Emakumea,Araba / Álava,%,6.5
2021,Emakumea,Araba / Álava,%,5.4
2020,Emakumea,Araba / Álava,%,6.9
2018,Emakumea,Araba / Álava,%,9.5
2017,Emakumea,Araba / Álava,%,5.4
2016,Emakumea,Araba / Álava,%,6.6
2013,Emakumea,Araba / Álava,%,9.7
2014,Emakumea,Araba / Álava,%,6.3
2016,Emakumea,Bizkaia,%,0.0
2015,Emakumea,Bizkaia,%,0.0
2023,Emakumea,Bizkaia,%,0.0
2019,Emakumea,Bizkaia,%,0.0
