Year,Sexo,Units,Value
2013,,%,8.5
2018,,%,11.3
2016,,%,9.8
2017,,%,9.5
2014,,%,7.5
2019,,%,8.8
2011,,%,9.0
2012,,%,7.8
2015,,%,10.2
2010,,%,10.8
2012,Mujer,%,7.2
2011,Mujer,%,9.3
2014,Mujer,%,6.8
2013,Mujer,%,8.2
2010,Mujer,%,8.9
2015,Mujer,%,7.3
2016,Mujer,%,10.0
2017,Mujer,%,8.7
2018,Mujer,%,9.7
2019,Mujer,%,8.0
2017,Hombre,%,10.3
2013,Hombre,%,8.8
2011,Hombre,%,8.7
2010,Hombre,%,12.5
2018,Hombre,%,12.8
2019,Hombre,%,9.6
2014,Hombre,%,8.2
2015,Hombre,%,13.0
2012,Hombre,%,8.2
2016,Hombre,%,9.6
