Year,Series,Province,Units,Value
2022,Number of organizations with an Environmental Management and Audit Scheme (EMAS),,Organizations,93
2023,Number of organizations with an Environmental Management and Audit Scheme (EMAS),,Organizations,99
2021,Number of organizations with an Environmental Management and Audit Scheme (EMAS),,Organizations,85
2023,Number of organizations with an Environmental Management and Audit Scheme (EMAS),Araba/Álava,Organizations,9
2021,Number of organizations with an Environmental Management and Audit Scheme (EMAS),Araba/Álava,Organizations,8
2022,Number of organizations with an Environmental Management and Audit Scheme (EMAS),Araba/Álava,Organizations,9
2021,Number of organizations with an Environmental Management and Audit Scheme (EMAS),Bizkaia,Organizations,47
2023,Number of organizations with an Environmental Management and Audit Scheme (EMAS),Bizkaia,Organizations,53
2022,Number of organizations with an Environmental Management and Audit Scheme (EMAS),Bizkaia,Organizations,48
2021,Number of organizations with an Environmental Management and Audit Scheme (EMAS),Gipuzkoa,Organizations,30
2022,Number of organizations with an Environmental Management and Audit Scheme (EMAS),Gipuzkoa,Organizations,36
2023,Number of organizations with an Environmental Management and Audit Scheme (EMAS),Gipuzkoa,Organizations,37
2021,Number of Ecolabel licenses (European Ecolabel),,Licenses,57
2017,Number of Ecolabel licenses (European Ecolabel),,Licenses,43
2023,Number of Ecolabel licenses (European Ecolabel),,Licenses,61
2020,Number of Ecolabel licenses (European Ecolabel),,Licenses,55
2013,Number of Ecolabel licenses (European Ecolabel),,Licenses,18
2010,Number of Ecolabel licenses (European Ecolabel),,Licenses,13
2018,Number of Ecolabel licenses (European Ecolabel),,Licenses,52
2016,Number of Ecolabel licenses (European Ecolabel),,Licenses,40
2015,Number of Ecolabel licenses (European Ecolabel),,Licenses,19
2012,Number of Ecolabel licenses (European Ecolabel),,Licenses,16
2022,Number of Ecolabel licenses (European Ecolabel),,Licenses,58
2019,Number of Ecolabel licenses (European Ecolabel),,Licenses,51
2011,Number of Ecolabel licenses (European Ecolabel),,Licenses,15
2014,Number of Ecolabel licenses (European Ecolabel),,Licenses,19
2022,Number of Ecolabel licenses (European Ecolabel),Araba/Álava,Licenses,14
2021,Number of Ecolabel licenses (European Ecolabel),Araba/Álava,Licenses,14
2021,Number of Ecolabel licenses (European Ecolabel),Bizkaia,Licenses,26
2022,Number of Ecolabel licenses (European Ecolabel),Bizkaia,Licenses,25
2022,Number of Ecolabel licenses (European Ecolabel),Gipuzkoa,Licenses,19
2021,Number of Ecolabel licenses (European Ecolabel),Gipuzkoa,Licenses,17
