Year,Series,Territorio,Units,Value
2017,ST_GDP_ZS,,PT,6.4
2021,ST_GDP_ZS,,PT,4.0
2015,ST_GDP_ZS,,PT,6.3
2018,ST_GDP_ZS,,PT,6.3
2012,ST_GDP_ZS,,PT,5.7
2016,ST_GDP_ZS,,PT,6.5
2014,ST_GDP_ZS,,PT,5.9
2013,ST_GDP_ZS,,PT,5.9
2020,ST_GDP_ZS,,PT,3.8
2011,ST_GDP_ZS,,PT,5.5
2022,ST_GDP_ZS,,PT,5.5
2010,ST_GDP_ZS,,PT,5.4
2019,ST_GDP_ZS,,PT,6.3
2023,ST_GDP_ZS,,PT,6.6
2012,ST_GDP_ZS,ES211,PT,5.2
2020,ST_GDP_ZS,ES211,PT,3.4
2011,ST_GDP_ZS,ES211,PT,4.8
2014,ST_GDP_ZS,ES211,PT,5.1
2021,ST_GDP_ZS,ES211,PT,3.7
2023,ST_GDP_ZS,ES211,PT,5.7
2019,ST_GDP_ZS,ES211,PT,5.1
2013,ST_GDP_ZS,ES211,PT,5.1
2010,ST_GDP_ZS,ES211,PT,4.6
2018,ST_GDP_ZS,ES211,PT,5.2
2017,ST_GDP_ZS,ES211,PT,5.3
2022,ST_GDP_ZS,ES211,PT,4.7
2015,ST_GDP_ZS,ES211,PT,5.3
2016,ST_GDP_ZS,ES211,PT,5.4
2020,ST_GDP_ZS,ES213,PT,3.2
2014,ST_GDP_ZS,ES213,PT,5.3
2021,ST_GDP_ZS,ES213,PT,3.4
2018,ST_GDP_ZS,ES213,PT,5.7
2013,ST_GDP_ZS,ES213,PT,5.2
2016,ST_GDP_ZS,ES213,PT,5.8
2011,ST_GDP_ZS,ES213,PT,4.8
2010,ST_GDP_ZS,ES213,PT,4.7
2012,ST_GDP_ZS,ES213,PT,5.0
2017,ST_GDP_ZS,ES213,PT,5.8
2019,ST_GDP_ZS,ES213,PT,5.7
2022,ST_GDP_ZS,ES213,PT,4.7
2015,ST_GDP_ZS,ES213,PT,5.6
2023,ST_GDP_ZS,ES213,PT,5.7
2013,ST_GDP_ZS,ES212,PT,7.2
2011,ST_GDP_ZS,ES212,PT,6.8
2012,ST_GDP_ZS,ES212,PT,7.1
2010,ST_GDP_ZS,ES212,PT,6.8
2017,ST_GDP_ZS,ES212,PT,7.9
2015,ST_GDP_ZS,ES212,PT,7.8
2023,ST_GDP_ZS,ES212,PT,8.4
2022,ST_GDP_ZS,ES212,PT,7.0
2020,ST_GDP_ZS,ES212,PT,4.7
