Year,Sexo,Territorio histórico,Units,Value
2011,,,%,22.8
2010,,,%,22.9
2020,,,%,20.5
2014,,,%,20.5
2013,,,%,21.1
2024,,,%,19.0
2021,,,%,20.0
2019,,,%,20.5
2023,,,%,18.9
2016,,,%,19.8
2015,,,%,19.7
2018,,,%,20.9
2012,,,%,22.3
2017,,,%,20.3
2022,,,%,19.2
2015,,Araba/Álava,%,27.3
2023,,Araba/Álava,%,23.4
2016,,Araba/Álava,%,27.5
2021,,Araba/Álava,%,25.3
2024,,Araba/Álava,%,25.4
2017,,Araba/Álava,%,24.9
2018,,Araba/Álava,%,23.5
2019,,Araba/Álava,%,24.5
2011,,Araba/Álava,%,27.5
2012,,Araba/Álava,%,27.1
2014,,Araba/Álava,%,23.7
2020,,Araba/Álava,%,25.3
2013,,Araba/Álava,%,24.4
2010,,Araba/Álava,%,28.0
2022,,Araba/Álava,%,24.7
2015,,Bizkaia,%,15.7
2014,,Bizkaia,%,17.8
2017,,Bizkaia,%,17.4
2010,,Bizkaia,%,18.6
2023,,Bizkaia,%,14.6
2012,,Bizkaia,%,18.9
2022,,Bizkaia,%,14.9
2024,,Bizkaia,%,15.0
2016,,Bizkaia,%,15.9
2021,,Bizkaia,%,15.8
2013,,Bizkaia,%,18.3
2019,,Bizkaia,%,15.8
2018,,Bizkaia,%,17.3
2020,,Bizkaia,%,15.8
2011,,Bizkaia,%,18.8
2018,,Gipuzkoa,%,25.2
2021,,Gipuzkoa,%,24.1
2019,,Gipuzkoa,%,25.9
2015,,Gipuzkoa,%,22.3
2010,,Gipuzkoa,%,27.1
2011,,Gipuzkoa,%,26.9
2020,,Gipuzkoa,%,25.5
2012,,Gipuzkoa,%,25.3
2014,,Gipuzkoa,%,23.1
2022,,Gipuzkoa,%,23.4
2016,,Gipuzkoa,%,22.4
2023,,Gipuzkoa,%,23.5
2013,,Gipuzkoa,%,24.1
2024,,Gipuzkoa,%,22.3
2017,,Gipuzkoa,%,22.7
2015,Mujer,,%,8.8
2013,Mujer,,%,8.6
2022,Mujer,,%,8.6
2016,Mujer,,%,8.6
2012,Mujer,,%,10.0
2014,Mujer,,%,8.4
2018,Mujer,,%,9.3
2017,Mujer,,%,8.6
2011,Mujer,,%,9.7
2024,Mujer,,%,8.0
2021,Mujer,,%,9.1
2010,Mujer,,%,10.2
2023,Mujer,,%,7.9
2019,Mujer,,%,9.4
2020,Mujer,,%,9.1
2024,Mujer,Araba/Álava,%,11.7
2022,Mujer,Araba/Álava,%,10.0
2015,Mujer,Araba/Álava,%,13.2
2020,Mujer,Araba/Álava,%,11.1
2019,Mujer,Araba/Álava,%,11.3
2017,Mujer,Araba/Álava,%,7.9
2013,Mujer,Araba/Álava,%,10.5
2011,Mujer,Araba/Álava,%,11.5
2023,Mujer,Araba/Álava,%,10.5
2012,Mujer,Araba/Álava,%,12.4
2010,Mujer,Araba/Álava,%,11.5
2014,Mujer,Araba/Álava,%,8.6
2016,Mujer,Araba/Álava,%,10.5
2021,Mujer,Araba/Álava,%,11.3
2018,Mujer,Araba/Álava,%,10.0
2023,Mujer,Bizkaia,%,5.6
2024,Mujer,Bizkaia,%,5.8
2021,Mujer,Bizkaia,%,7.1
2020,Mujer,Bizkaia,%,6.6
2017,Mujer,Bizkaia,%,7.8
2019,Mujer,Bizkaia,%,6.7
2018,Mujer,Bizkaia,%,7.6
2015,Mujer,Bizkaia,%,7.0
2013,Mujer,Bizkaia,%,7.3
2012,Mujer,Bizkaia,%,8.3
2011,Mujer,Bizkaia,%,7.6
2014,Mujer,Bizkaia,%,7.9
2010,Mujer,Bizkaia,%,8.3
2022,Mujer,Bizkaia,%,6.2
2016,Mujer,Bizkaia,%,7.3
2023,Mujer,Gipuzkoa,%,10.4
2022,Mujer,Gipuzkoa,%,11.9
2021,Mujer,Gipuzkoa,%,11.4
2020,Mujer,Gipuzkoa,%,12.2
2019,Mujer,Gipuzkoa,%,12.7
2018,Mujer,Gipuzkoa,%,11.7
2017,Mujer,Gipuzkoa,%,10.1
2016,Mujer,Gipuzkoa,%,9.8
2010,Mujer,Gipuzkoa,%,12.6
2015,Mujer,Gipuzkoa,%,9.8
2014,Mujer,Gipuzkoa,%,9.2
2013,Mujer,Gipuzkoa,%,9.8
2012,Mujer,Gipuzkoa,%,11.7
2011,Mujer,Gipuzkoa,%,12.2
2024,Mujer,Gipuzkoa,%,9.7
2012,Hombre,,%,32.8
2015,Hombre,,%,29.3
2022,Hombre,,%,28.9
2020,Hombre,,%,30.9
2013,Hombre,,%,32.0
2021,Hombre,,%,30.0
2016,Hombre,,%,29.9
2018,Hombre,,%,31.3
2019,Hombre,,%,30.5
2011,Hombre,,%,33.9
2014,Hombre,,%,31.3
2023,Hombre,,%,29.0
2024,Hombre,,%,29.2
2017,Hombre,,%,30.8
2010,Hombre,,%,33.1
2024,Hombre,Araba/Álava,%,37.5
2016,Hombre,Araba/Álava,%,41.8
2019,Hombre,Araba/Álava,%,35.8
2023,Hombre,Araba/Álava,%,34.7
2022,Hombre,Araba/Álava,%,37.7
2012,Hombre,Araba/Álava,%,39.0
2015,Hombre,Araba/Álava,%,38.9
2021,Hombre,Araba/Álava,%,37.4
2020,Hombre,Araba/Álava,%,37.1
2010,Hombre,Araba/Álava,%,41.3
2017,Hombre,Araba/Álava,%,39.5
2014,Hombre,Araba/Álava,%,36.5
2018,Hombre,Araba/Álava,%,35.5
2013,Hombre,Araba/Álava,%,35.7
2011,Hombre,Araba/Álava,%,40.3
2024,Hombre,Bizkaia,%,23.4
2023,Hombre,Bizkaia,%,23.1
2022,Hombre,Bizkaia,%,23.1
2021,Hombre,Bizkaia,%,24.0
2014,Hombre,Bizkaia,%,26.8
2020,Hombre,Bizkaia,%,24.5
2016,Hombre,Bizkaia,%,24.1
2019,Hombre,Bizkaia,%,24.1
2018,Hombre,Bizkaia,%,26.2
2017,Hombre,Bizkaia,%,26.1
2015,Hombre,Bizkaia,%,23.8
2013,Hombre,Bizkaia,%,27.9
2012,Hombre,Bizkaia,%,28.1
2011,Hombre,Bizkaia,%,28.4
2010,Hombre,Bizkaia,%,27.1
2018,Hombre,Gipuzkoa,%,37.0
2017,Hombre,Gipuzkoa,%,34.0
2016,Hombre,Gipuzkoa,%,33.2
2015,Hombre,Gipuzkoa,%,33.3
2011,Hombre,Gipuzkoa,%,39.4
2014,Hombre,Gipuzkoa,%,35.5
2013,Hombre,Gipuzkoa,%,36.7
2012,Hombre,Gipuzkoa,%,37.3
2010,Hombre,Gipuzkoa,%,38.9
2024,Hombre,Gipuzkoa,%,34.1
2023,Hombre,Gipuzkoa,%,35.5
2022,Hombre,Gipuzkoa,%,33.6
2021,Hombre,Gipuzkoa,%,35.7
2020,Hombre,Gipuzkoa,%,37.5
2019,Hombre,Gipuzkoa,%,37.7
